protein_set	TMT18plex_label	sample_name
1	126	C002-1
1	127N	C002-2
1	127C	C002-3
1	128N	C004-1
1	128C	C004-2
1	129N	C004-3
1	129C	C002-1
1	130N	C002-2
1	130C	C002-3
1	131N	C004-1
1	131C	C004-2
1	132N	C004-3
1	132C	C002-1
1	133N	C002-2
1	133C	C002-3
1	134N	C004-1
1	134C	C004-2
1	135N	C004-3
2	126	C027-1
2	127N	C027-2
2	127C	C027-3
2	128N	C043-1
2	128C	C043-2
2	129N	C043-3
2	129C	C027-1
2	130N	C027-2
2	130C	C027-3
2	131N	C043-1
2	131C	C043-2
2	132N	C043-3
2	132C	C027-1
2	133N	C027-2
2	133C	C027-3
2	134N	C043-1
2	134C	C043-2
2	135N	C043-3
3	126	C065-1
3	127N	C065-2
3	127C	C065-3
3	128N	C071-1
3	128C	C071-2
3	129N	C071-3
3	129C	C065-1
3	130N	C065-2
3	130C	C065-3
3	131N	C071-1
3	131C	C071-2
3	132N	C071-3
3	132C	C065-1
3	133N	C065-2
3	133C	C065-3
3	134N	C071-1
3	134C	C071-2
3	135N	C071-3
4	126	C022-1
4	127N	C022-2
4	127C	C022-3
4	128N	C076-1
4	128C	C076-2
4	129N	C076-3
4	129C	C022-1
4	130N	C022-2
4	130C	C022-3
4	131N	C076-1
4	131C	C076-2
4	132N	C076-3
4	132C	C022-1
4	133N	C022-2
4	133C	C022-3
4	134N	C076-1
4	134C	C076-2
4	135N	C076-3
