protein_id,log2FC_2022,padj_2022,DAP_2022,log2FC_2019,padj_2019,DAP_2019
Td00001aa000021_T002,-0.03883624256260149,0.05666428253506744,NS,-0.510457064357526,0.130268436742722,NS
Td00001aa000041_T001,0.7248552773685136,0.006434339393452012,NS,-0.00868224309980088,0.657912005488087,NS
Td00001aa000042_T001,6.340706742857219e-4,0.8061835952720717,NS,0.618238655595455,0.341692672395724,NS
Td00001aa000049_T001,-0.34592346395568296,0.08973510962134677,NS,-0.522840788813359,0.0509077450826476,NS
Td00001aa000068_T001,0.27612397670579986,0.00776003282182076,NS,0.133563525741106,0.477597511667863,NS
Td00001aa000081_T004,0.5676807006082965,0.08976882033871152,NS,0.523060061795249,0.347379817785383,NS
Td00001aa000082_T002,-0.22627857989233402,0.4038455826184813,NS,0.6535186707536,0.302916351148056,NS
Td00001aa000084_T001,-0.05700751537042032,0.10006707534760642,NS,-0.209227962138,0.276676968217253,NS
Td00001aa000086_T002,-0.19329966210636587,0.17052621677858004,NS,0.713695814843359,0.0931877675818175,NS
Td00001aa000108_T001,-1.0843487272570635,4.5511604449756306e-4,Down,-0.57132159005177,0.692181881267832,NS
Td00001aa000109_T003,0.34229795626539006,0.008559941804923853,NS,0.321928094887362,0.410004502480129,NS
Td00001aa000119_T001,-0.42810343385404015,0.0016606371342261731,NS,-0.139235797371172,0.586033974039394,NS
Td00001aa000122_T001,0.3993449105427758,0.1307617006606257,NS,-0.109358756036556,0.569229357030759,NS
Td00001aa000125_T004,-1.841016741915726,0.004186861756202477,Down,-0.753895990116083,0.328280096318213,NS
Td00001aa000146_T001,-0.33074613891857896,1.0311087256524663e-4,NS,-0.161653263478769,0.128928888499372,NS
Td00001aa000149_T001,-0.03928425876612654,0.5659590161525746,NS,-0.77595972578207,0.0943110054478743,NS
Td00001aa000157_T001,-0.2967313468156846,0.0011606044710306383,NS,-0.364013496254377,0.229487662135035,NS
Td00001aa000161_T001,-0.5574055376649523,7.810820919022487e-4,NS,-0.330973234490369,0.00535542097466423,NS
Td00001aa000234_T001,-0.41539900681676534,1.0594204824116922e-4,NS,-0.62148837674627,0.00573764133359751,NS
Td00001aa000235_T002,-0.22423836325017169,0.018607263161873323,NS,-0.217591435072627,0.137658610194552,NS
Td00001aa000236_T001,0.7848516208846911,0.0021933096498146106,NS,1.47248777146274,0.00677164230814281,Up
Td00001aa000271_T002,-0.19031668746349745,0.23823102661340725,NS,0.13224779829844,0.78097990627386,NS
Td00001aa000272_T006,-0.1982095326448325,0.0444308488151838,NS,-0.558516520417355,0.0160176048915723,NS
Td00001aa000301_T001,-0.5646065463015483,0.009372469789421743,NS,-0.295128035543647,0.385745297447952,NS
Td00001aa000336_T002,0.04893471707577843,0.677195257733184,NS,0.895302621333307,0.00264060412071757,NS
Td00001aa000346_T001,0.8371778046669027,0.0012277283440587901,NS,0.0935601761623378,0.461818050544471,NS
Td00001aa000350_T001,0.4063791250372603,0.017208884163866154,NS,0.151858816727005,0.302618679629292,NS
Td00001aa000354_T001,0.1763369089639586,0.28498900855798215,NS,-0.125006361067033,0.230832723205931,NS
Td00001aa000358_T001,0.019850041003194537,0.2540116846837922,NS,-0.118726938570751,0.246179606017294,NS
Td00001aa000380_T001,-0.5560663336039213,0.04118533148733969,NS,-0.0320936297098533,0.853549992665621,NS
Td00001aa000422_T001,-0.06148327415945425,0.32709786179095884,NS,0.569491091958716,0.0633277029469168,NS
Td00001aa000432_T001,0.024403042124852368,0.34080239869812434,NS,0.172487515510134,0.699949734170081,NS
Td00001aa000433_T001,0.08188134469886679,0.02287198805859769,NS,0.399444564589458,0.0304509077297422,NS
Td00001aa000441_T001,-0.2137106154634435,0.3807235216221988,NS,-2.01741705307741,0.00700905780875302,Down
Td00001aa000442_T001,-0.08791504908840989,0.1267440730321633,NS,-0.524915117051217,0.294366779525471,NS
Td00001aa000457_T002,-0.2098054991267423,0.044139178977447714,NS,0.10701824988212,0.843811907072907,NS
Td00001aa000466_T003,0.022272074280199238,0.3559227963315032,NS,0.482332020747376,0.0488995419043143,NS
Td00001aa000490_T002,0.24721932820872608,0.3752782977521618,NS,-0.192645077942396,0.431235280850399,NS
Td00001aa000499_T001,-0.2803492575543445,0.014750925058949198,NS,0.00719550140420377,0.853316755365532,NS
