"analysis_ID"	"analysis_ID_plastome"	"species_orig"	"acc_species"	"acc_species_author"	"acc_genus"	"acc_genus_author"	"publication"	"data_type"	"isolate"	"voucher_ID"	"germplasm_ID"	"repo_accession"	"plastome_accession"	"removed_nuclear"	"removed_plastome"	"soreng2022_genus"	"subtribe"	"tribe"	"subfamily"	"major.clade"
"GAP_81105__Cynochloris_reynoldensis"	NA	"× Cynochloris reynoldsensis"	"× Cynochloris reynoldsensis"	"B.K.Simon"	"× Cynochloris"	"Clifford & Everist"	"https://www.genomicsforaustralianplants.com/"	"sequence capture (Angiosperms353)"	NA	"BRI: B.K. Simon 3804"	NA	NA	NA	NA	"data thresholds"	"Cynodon"	"Eleusininae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"Hibanobambusa_tranquillans1510__MD"	"Hibanobambusa_tranquillans1510__MD"	"Hibanobambusa tranquillans"	"× Phyllosasa tranquillans"	"(Koidz.) Demoly"	"× Phyllosasa"	"Demoly"	"Unpublished"	"shotgun"	NA	NA	NA	NA	NA	"data thresholds"	NA	"Phyllostachys"	"Arundinariinae"	"Arundinarieae"	"Bambusoideae"	"BOP"
"PAFTOL_6377__Aakia_tuerckheimii"	"PAFTOL_6377__Aakia_tuerckheimii"	"Aakia tuerckheimii"	"Aakia tuerckheimii"	"(Hack.) J.R.Grande"	"Aakia"	"J.R.Grande"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Stevens, W.D.; Martinez, E.  25890"	NA	"INSDC: ERR7619915"	NA	NA	NA	"Aakia"	"Paspalinae"	"Paspaleae"	"Panicoideae"	"PACMAD"
"Achnatherum_chingii_Z16027__HM"	NA	"Achnatherum chingii"	"Achnatherum chingii"	"(Hitchc.) Keng"	"Achnatherum"	"P.Beauv."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z16027"	NA	NA	"INSDC: SRR16234968"	NA	NA	"data thresholds"	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Achnatherum_inebrians_Z18089__HM"	NA	"Achnatherum inebrians"	"Achnatherum inebrians"	"(Hance) Keng"	"Achnatherum"	"P.Beauv."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z18089"	NA	NA	"INSDC: SRR16483096"	NA	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
NA	"MW423581.1__Achnatherum_inebrians"	"Achnatherum inebrians"	"Achnatherum inebrians"	"(Hance) Keng"	"Achnatherum"	"P.Beauv."	NA	"plastome"	NA	NA	NA	NA	"INSDC: MW423581"	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Achnatherum_pekinense_ZY050__HM"	NA	"Achnatherum pekinense"	"Achnatherum pekinense"	"(Hance) Ohwi"	"Achnatherum"	"P.Beauv."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: ZY050"	NA	NA	"INSDC: SRR16483088"	NA	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
NA	"NC_058870.1__Achnatherum_pekinense"	"Achnatherum pekinense"	"Achnatherum pekinense"	"(Hance) Ohwi"	"Achnatherum"	"P.Beauv."	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_058870"	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Achnatherum_sibiricum_Z18063__HM"	NA	"Achnatherum sibiricum"	"Achnatherum sibiricum"	"(L.) Keng ex Tzvelev"	"Achnatherum"	"P.Beauv."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z18063"	NA	NA	"INSDC: SRR16234948"	NA	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Stipa_sibirica__SRA"	NA	"Stipa sibirica"	"Achnatherum sibiricum"	"(L.) Keng ex Tzvelev"	"Achnatherum"	"P.Beauv."	"data from SRA"	"shotgun"	"LN1_plant"	NA	NA	"INSDC: SRR8208359"	NA	NA	"data thresholds"	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
