Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
GLYMA_06G186100	glycine max	E-MTAB-4352	'drought; drought sensitive; 6 hour' vs 'control; drought sensitive; 0 hour'	-2.7	0.0000124999851364512	
SORBI_3006G243500	sorghum bicolor	E-GEOD-140928	'moderate saline-alkali soil stress, 3 percent salt' vs 'none'	2.1	3.4534738041278e-16	
SORBI_3001G366800	sorghum bicolor	E-GEOD-140928	'moderate saline-alkali soil stress, 3 percent salt' vs 'none'	2.1	0.0000225274707768105	
GLYMA_06G186100	glycine max	E-MTAB-4352	'drought; drought tolerant; 6 hour' vs 'control; drought tolerant; 0 hour'	-2	0.0000107406526800666	
Zm00001eb068240	zea mays	E-GEOD-122866	'warm/hot temperature regimen' vs 'none' in 'CM1'	1.9	0.0000227268268859042	
POPTR_012G075900v3	populus trichocarpa	E-MTAB-5540	'prolonged heat stress' vs 'control' in 'stem xylem'	1.8	2.82443241931899e-14	
BRADI_5g24207v3	brachypodium distachyon	E-MTAB-6445	'continuous dark (no light) regimen' vs 'continuous light regimen'	1.8	6.45439721445741e-13	
POPTR_012G075900v3	populus trichocarpa	E-MTAB-5540	'short term heat stress' vs 'control' in 'stem xylem'	1.8	1.21546936700945e-12	
GLYMA_06G186100	glycine max	E-MTAB-4352	'drought; drought sensitive; 24 hour' vs 'control; drought sensitive; 0 hour'	-1.8	0.000296945311320382	
POPTR_012G075900v3	populus trichocarpa	E-MTAB-5540	'short term cold temperature regimen' vs 'control' in 'vascular leaf'	-1.8	0.000396682532843832	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'prolonged drought environment' vs 'control' in 'stem xylem'	-1.6	2.44501059395641e-14	
GLYMA_10G091000	glycine max	E-MTAB-4352	'drought; drought sensitive; 24 hour' vs 'control; drought sensitive; 0 hour'	-1.6	0.00000232349318181671	
GLYMA_06G186100	glycine max	E-MTAB-4352	'drought; drought sensitive; 12 hour' vs 'control; drought sensitive; 0 hour'	-1.6	0.000719444243835022	
GLYMA_06G186000	glycine max	E-MTAB-4352	'drought; drought tolerant; 6 hour' vs 'control; drought tolerant; 0 hour'	-1.6	0.00951678634009916	
POPTR_012G075900v3	populus trichocarpa	E-MTAB-5540	'prolonged cold temperature regimen' vs 'control' in 'vascular leaf'	-1.5	0.000810947503969868	
SORBI_3001G366800	sorghum bicolor	E-GEOD-140928	'severe saline-alkali soil stress, 5 percent salt' vs 'none'	1.5	0.00268646720356299	
Zm00001eb068240	zea mays	E-GEOD-122866	'warm/hot temperature regimen' vs 'none' in 'An'nong 591 F1'	1.5	0.00289162619851534	
POPTR_012G075900v3	populus trichocarpa	E-MTAB-5540	'prolonged salt treatment' vs 'control' in 'vascular leaf'	-1.4	0.0005949553307871	
GLYMA_06G186100	glycine max	E-MTAB-4352	'drought; drought tolerant; 12 hour' vs 'control; drought tolerant; 0 hour'	-1.4	0.0016895336704497	
Os04g0650900	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	-1.4	0.00913509264800038	
GLYMA_06G186100	glycine max	E-MTAB-4352	'drought; drought tolerant; 24 hour' vs 'control; drought tolerant; 0 hour'	-1.4	0.0224255337584739	
HORVU2Hr1G113190	hordeum vulgare	E-GEOD-83676	'wound; 2 hour' vs 'none'	-1.3	2.05772220265485e-9	
BGIOSGA014208	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	-1.3	5.38943138604046e-8	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'prolonged heat stress' vs 'control' in 'stem xylem'	-1.2	3.20377066293811e-10	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'prolonged cold temperature regimen' vs 'control' in 'stem xylem'	-1.2	2.67629754292055e-9	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'short term heat stress' vs 'control' in 'stem xylem'	-1.2	2.1215530971622e-7	
Zm00001eb394460	zea mays	E-GEOD-122866	'warm/hot temperature regimen' vs 'none' in 'CM1'	-1.1	1.45002653100602e-9	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'short term cold temperature regimen' vs 'control' in 'vascular leaf'	-1.1	0.00000416097100365981	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'short term cold temperature regimen' vs 'control' in 'stem xylem'	-1.1	0.00000504451288985612	
SORBI_3006G243500	sorghum bicolor	E-GEOD-54705	'CK60; low-nitrogen sensitive' vs 'high-NUE bulk; low-nitrogen tolerant'	1.1	0.0142914280981492	
POPTR_009G058100v3	populus trichocarpa	E-MTAB-5540	'prolonged salt treatment' vs 'control' in 'stem xylem'	-1	3.00412710404501e-9	
POPTR_012G075900v3	populus trichocarpa	E-MTAB-5540	'prolonged heat stress' vs 'control' in 'root'	1	1.44592661987497e-8	
Os04g0650900	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	-1	0.000933827753403054	
