protein_id,log2FC,padj,neg_log10padj,DAP
Ag00001aa121662_T001,-0.7036894392919076,0.901386023034322,0.04508918041872371,NS
Ag00001aa096403_T001,0.2078928516413329,0.487048992428398,0.3124273507542879,NS
Ag00001aa096932_T001,-0.7983661388303496,0.884596000667917,0.05325502844344559,NS
Ag00001aa122153_T002,-0.33097323449036925,1,-0,NS
Ag00001aa081313_T003,-0.7538959901160834,0.646472921515234,0.18944966147624318,NS
Ag00001aa016177_T002,1.0908534304511135,0.0672049938477323,1.172598454328134,NS
Ag00001aa127002_T002,-0.04692104738749257,1,-0,NS
Ag00001aa038464_T002,0.9358368736840253,0.00305750071933148,2.5146334321161556,NS
Ag00001aa128941_T002,-0.1124747292584125,1,-0,NS
Ag00001aa073318_T002,0.35727047567955944,0.35806560448103403,0.4460373949934655,NS
Ag00001aa047169_T001,1.415217824888839,0.0207926349507337,1.6820904711277889,Up
Ag00001aa068456_T001,-0.20589610144025206,0.429673284659944,0.36686164814400873,NS
Ag00001aa028041_T002,-0.8416629728328994,0.835550991670721,0.07802704101240544,NS
Ag00001aa033498_T001,-0.23616354110904858,1,-0,NS
Ag00001aa104405_T001,0.48336436071334926,0.785893818116899,0.10463612739698779,NS
Ag00001aa022279_T001,1.892196710465485,0.0398858821811321,1.3991807979424307,Up
Ag00001aa019394_T001,1.7154541271157178,0.0375000955100153,1.42596762615442,Up
Ag00001aa107870_T003,-0.08161376555365212,1,-0,NS
Ag00001aa102535_T001,1.0207688650945719,0.678364177187468,0.16853709421328697,NS
Ag00001aa117824_T003,0.06212171190779749,1,-0,NS
Ag00001aa070570_T002,-0.6170561304310095,1,-0,NS
Ag00001aa114201_T003,-0.16974467583231706,1,-0,NS
Ag00001aa009508_T001,0.8367320804591358,1,-0,NS
Ag00001aa034482_T001,-0.08314123530024586,1,-0,NS
Ag00001aa009517_T001,0.776525151421912,0.372216567010805,0.4292043007343991,NS
Ag00001aa072751_T001,-2.0588936890535687,0.00218801572501737,2.659949561102898,Down
Ag00001aa086826_T001,-3.023269779322847,0.00956851271167974,2.0191555618373136,Down
Ag00001aa148957_T001,-0.1281563514906822,1,-0,NS
Ag00001aa079692_T001,0.7476022302749431,0.054481163605303,1.2637536253616886,NS
Ag00001aa026660_T001,-0.19925537606322247,1,-0,NS
Ag00001aa115120_T001,-0.40545145044964576,0.0536254453114337,1.270629088364415,NS
Ag00001aa094012_T001,0.12829340100981756,0.410822735154874,0.3863455303155274,NS
Ag00001aa016826_T001,-0.8598757760909294,1,-0,NS
Ag00001aa041819_T003,0.31266517355839435,1,-0,NS
Ag00001aa091179_T001,-0.38458370273712994,0.044577306307096,1.3508861783705668,NS
