protein_id,log2FC,padj,neg_log10padj,DAP
Misin01G002300.1.v7.1,0.47463018152692055,0.54325561624538,0.2649957751928596,NS
Misin01G003900.1.v7.1,-0.8251569301968387,0.416632176111695,0.38024719293808457,NS
Misin01G004800.1.v7.1,-0.04619482287860554,1,-0,NS
Misin01G004900.1.v7.1,0.08901335452940728,0.937346350106686,0.02809990735453561,NS
Misin01G005300.1.v7.1,-0.31331067728474055,0.36858339382406,0.43346423540299506,NS
Misin01G008300.1.v7.1,-0.18150893029989076,1,-0,NS
Misin01G008900.1.v7.1,0.005570258042945991,1,-0,NS
Misin01G014900.1.v7.1,0.2752576614567049,1,-0,NS
Misin01G015200.1.v7.1,0.008381694110950067,1,-0,NS
Misin01G015600.1.v7.1,-0.6987429841502879,0.00341121785196963,2.4670905441847757,NS
Misin01G017800.1.v7.1,-0.012795605305088211,1,-0,NS
Misin01G018100.1.v7.1,-0.3421966923933497,0.862755136270818,0.06411244652800392,NS
Misin01G018500.1.v7.1,1.1465203971073687,0.00360593205897966,2.4429824602781203,Up
Misin01G023800.1.v7.1,-0.09123236981970485,1,-0,NS
Misin01G024600.1.v7.1,-0.37356872452277123,0.412437662827827,0.38464168283700495,NS
Misin01G025100.1.v7.1,0.5110308834037285,0.193312730764973,0.713739544218115,NS
Misin01G025300.1.v7.1,-0.20058327389011152,1,-0,NS
Misin01G026000.1.v7.1,-0.6954794916560959,0.00485876591102959,2.313474024171629,NS
Misin01G026400.1.v7.1,-0.3555480623797766,0.435126058285438,0.361384907443439,NS
Misin01G027800.1.v7.1,-0.5671758728628544,1,-0,NS
Misin01G028600.1.v7.1,-0.1582401442894514,0.759515419944485,0.11946340451505885,NS
Misin01G032000.1.v7.1,-0.43152102725577157,0.549842821583724,0.2597614404595788,NS
Misin01G032900.1.v7.1,-1.0842901447076596,0.0144537263408979,1.8400201722389529,Down
Misin01G033100.1.v7.1,-0.3749893386387762,0.651647210823756,0.18598745926606702,NS
Misin01G033200.1.v7.1,-0.22529231184224255,1,-0,NS
Misin01G034500.1.v7.1,-0.38187063534364446,0.0161347008856549,1.7922390813858056,NS
Misin01G035600.1.v7.1,0.042825187954628426,1,-0,NS
Misin01G036300.1.v7.1,-0.12311386684536381,1,-0,NS
Misin01G038500.1.v7.1,0.11814940296517183,1,-0,NS
Misin01G039500.1.v7.1,0.62637199869135185,0.0333187738418603,1.4773109893634602,NS
Misin01G039600.1.v7.1,0.08603618577557894,0.351242111443491,0.4543934208093792,NS
Misin01G039900.1.v7.1,-0.6483043262894082,0.440811968052108,0.3557466228939512,NS
Misin01G041900.1.v7.1,-0.4470832262096521,0.0708929030654939,1.1493972389179692,NS
Misin01G042000.1.v7.1,0.14181202344538926,0.60925413896635,0.2152015117548248,NS
Misin01G045900.1.v7.1,-0.2878895945200697,1,-0,NS
Misin01G047500.1.v7.1,-0.11193327868313688,1,-0,NS
Misin01G050000.1.v7.1,-0.3175273948583168,0.823305103469322,0.0844391924936228,NS
Misin01G050100.1.v7.1,0.985965087771229,0.187126348567934,0.7278650567971782,NS
Misin01G050700.1.v7.1,1.542149417182183,0.00735949533890633,2.1331519654237296,Up
Misin01G052300.1.v7.1,-0.2370391973008493,1,-0,NS
Misin01G056700.1.v7.1,0.19281813558560557,1,-0,NS
Misin01G059400.1.v7.1,-0.2611546726155712,1,-0,NS
Misin01G059500.1.v7.1,0.05325430596250347,1,-0,NS
Misin01G063000.1.v7.1,-1.0811133893805243,0.304679740270584,0.5161564233001976,NS
Misin01G063200.1.v7.1,1.1974774787026394,0.578430524945259,0.23774879651316977,NS
