protein_id,log2FC,padj,neg_log10padj,DAP
PvWBCH1.3KG314100.1.v1.1,0.6144742828377008,1.9825110035398e-4,3.7027843935370397,NS
PvWBCH1.3NG294700.1.v1.1,0.7048719644563528,0.0456531290566982,1.3405294506491552,NS
PvWBCH1.5KG363600.1.v1.1,1.9645834627768646,7.3685387069289e-4,3.1326186307897403,Up
PvWBCH1.3KG417800.2.v1.1,-0.4699292577749161,0.88285252101179,0.05411183850639717,NS
PvWBCH1.3NG353800.1.v1.1,-0.4739311883324124,0.00170375034145257,2.7685940441192938,NS
PvWBCH1.3NG393300.8.v1.1,-0.4759363242227893,0.854826213015027,0.06812216878074277,NS
PvWBCH1.5NG350300.1.v1.1,2.142740172116082,1.3502611418567e-4,3.869582230394172,Up
PvWBCH1.4NG013300.1.v1.1,0.7824085649273732,0.0244651938963115,1.6114513379353343,NS
PvWBCH1.9NG404600.1.v1.1,0.662661255475094,0.574429718451396,0.24076309971007692,NS
PvWBCH1.9KG135900.2.v1.1,0.06488285158485439,1,-0,NS
PvWBCH1.3NG220600.1.v1.1,0.9267585319864651,0.0349340766469308,1.4567507312257917,NS
PvWBCH1.3KG231500.1.v1.1,1.4662355621504046,0.120218605603355,0.9200283136513856,NS
PvWBCH1.4KG275100.1.v1.1,1.8615584195720287,0.00278023687205082,2.5559182012609942,Up
PvWBCH1.4KG024900.1.v1.1,0.9206744110416182,0.0611391669107804,1.2136804833154582,NS
PvWBCH1.9KG414100.1.v1.1,1.7642612182171138,0.649176170470157,0.18763743034805094,NS
PvWBCH1.9KG074200.1.v1.1,1.5577776713949258,0.0456170324237285,1.3408729707892997,Up
PvWBCH1.5KG262500.1.v1.1,-0.15521264992094005,1,-0,NS
PvWBCH1.5NG250300.1.v1.1,0.021479727410451392,1,-0,NS
PvWBCH1.3KG170200.1.v1.1,-0.28103566424046145,1,-0,NS
PvWBCH1.9KG029100.1.v1.1,-0.5416179958439868,1,-0,NS
PvWBCH1.3NG174600.1.v1.1,0.5350575948948424,0.00781969214936941,2.1068103441859107,NS
PvWBCH1.6NG024700.1.v1.1,0.7145752388516257,0.948910716505064,0.02277464864047743,NS
PvWBCH1.5NG333800.1.v1.1,0.3862591411333461,0.00846783298973578,2.0722277161168954,NS
PvWBCH1.6NG181400.1.v1.1,0.15185881672700494,0.613694151038918,0.21204801584532934,NS
PvWBCH1.4NG014400.2.v1.1,0.6489255594531212,1,-0,NS
PvWBCH1.9KG415900.1.v1.1,0.9191493632876745,0.00764678876956352,2.116520906343043,NS
PvWBCH1.3KG182000.1.v1.1,0.13619138628714403,1,-0,NS
PvWBCH1.5KG347500.2.v1.1,0.5160151470036647,0.0225143722085584,1.6475401584127995,NS
PvWBCH1.6KG027900.1.v1.1,0.5945485495503542,0.592433828007036,0.2273601512019027,NS
PvWBCH1.6KG203900.1.v1.1,0.08814159686901755,0.510879663828965,0.2916813845806903,NS
PvWBCH1.9NG074900.1.v1.1,0.7450221490372645,1,-0,NS
PvWBCH1.4NG206200.1.v1.1,1.8265993302731018,0.00127762102676218,2.89359794930254,Up
PvWBCH1.4NG246900.1.v1.1,0.9686437559647169,0.163357273771009,0.7868615230294884,NS
PvWBCH1.7KG276300.1.v1.1,0.048236185652847624,1,-0,NS
PvWBCH1.4KG237100.3.v1.1,1.0982847957234225,0.00724896971100281,2.139723714894175,Up
PvWBCH1.6KG068800.1.v1.1,0.1686420355588392,1,-0,NS
PvWBCH1.1KG010200.1.v1.1,-0.2705559931663367,0.363232517413171,0.4398152793663597,NS
PvWBCH1.1NG008700.1.v1.1,-0.2636115992965395,1,-0,NS
PvWBCH1.1NG049400.1.v1.1,-0.3997302464909953,0.455322541513225,0.3416808486760477,NS
PvWBCH1.1KG054900.1.v1.1,-0.5585165204173551,9.815382996634e-4,3.0080927495454293,NS
PvWBCH1.6NG063700.2.v1.1,-0.189351252217354,1,-0,NS
PvWBCH1.8NG002500.1.v1.1,-0.7784322114615907,2.261802629366e-4,3.64554529539512,NS
PvWBCH1.3KG190900.1.v1.1,1.8964656161894258,0.0405908610817032,1.3915717355990591,Up
PvWBCH1.1NG146000.1.v1.1,0.18650055764449475,0.410618412657504,0.38656158020590076,NS
