protein_id,log2FC,padj,neg_log10padj,DAP
Sn00001aa050232_T001,-0.720231578406405,0.0298073022581924,1.5256773284758613,NS
Sn00001aa093981_T001,-0.7131188522118385,0.135955609932091,0.8666028674270916,NS
Sn00001aa064277_T001,0.4604804700400108,0.0888134846116766,1.0515210899890024,NS
Sn00001aa010671_T001,0.7501777055930572,0.0329717239335946,1.481858345083898,NS
Sn00001aa062351_T001,-0.7685675915520349,0.125063561455587,0.9028692080039377,NS
Sn00001aa023006_T001,-1.0291463456595165,1,-0,NS
Sn00001aa064829_T001,-0.33278908751912917,0.768846096132555,0.11416058645310924,NS
Sn00001aa004935_T002,-1.0086822430998008,0.00639467611458901,2.19418144730869,Down
Sn00001aa024307_T003,0.19156265070075562,0.948628334124555,0.022903907756917054,NS
Sn00001aa046543_T001,-0.33825040018929514,1,-0,NS
Sn00001aa024308_T002,-0.10469737866669324,1,-0,NS
Sn00001aa048196_T001,-0.3455644591546006,0.0751894766144129,1.1238429382394537,NS
Sn00001aa064974_T001,1.3645724322958561,0.105588867729959,0.9763818672027943,NS
Sn00001aa099108_T001,0.10969486482592981,1,-0,NS
Sn00001aa015148_T002,0.25701061820602394,1,-0,NS
Sn00001aa006715_T002,-0.33642766458247736,0.0522064071062235,1.2822761943133825,NS
Sn00001aa068797_T001,0.3021727997407522,1,-0,NS
Sn00001aa000312_T002,0.5300707422250839,0.0317201526445424,1.4986647314262198,NS
Sn00001aa049818_T002,0.002882508533121365,1,-0,NS
Sn00001aa023952_T001,0.28451413324424535,0.948628334124555,0.022903907756917054,NS
Sn00001aa034470_T002,-0.1376478004679799,1,-0,NS
Sn00001aa098268_T001,-0.17788172527065546,1,-0,NS
Sn00001aa004363_T004,0.16607267594670594,1,-0,NS
Sn00001aa051421_T001,0.11370049916472831,1,-0,NS
Sn00001aa012502_T002,-0.15200309344504995,1,-0,NS
Sn00001aa071502_T002,0.057970068637329945,1,-0,NS
Sn00001aa093821_T001,-1.3075728019102921,0.0207876137367144,1.6821953615803702,Down
Sn00001aa089982_T001,0.3091761874785146,0.686442284738589,0.16339597186241672,NS
Sn00001aa042595_T002,-0.6082322800440033,1,-0,NS
Sn00001aa049430_T002,0.31266517355839435,0.0789326780311522,1.1027431621835937,NS
Sn00001aa052972_T001,-0.49005085369568935,0.126248599050444,0.89877343244128,NS
Sn00001aa041293_T003,-0.1648843847417823,0.986605330853834,0.0058565422753075,NS
Sn00001aa039203_T001,-1.6082322800440032,0.0693764194332028,1.1587881181654678,NS
Sn00001aa061628_T001,0.7990873060740036,0.0279686136440513,1.5533290603235184,NS
Sn00001aa085765_T001,-0.2636115992965395,0.201838649339892,0.6949956686844695,NS
Sn00001aa035051_T001,-0.5022599113909069,0.0869196963201015,1.0608817996862412,NS
Sn00001aa009014_T001,-2.4035418604410146,0.0383190026530392,1.4165858030360394,Down
Sn00001aa022665_T003,0.3402774047662543,0.261506970899988,0.5825167298060843,NS
Sn00001aa063797_T001,-0.3695945285176767,0.446730624963035,0.34995427408613206,NS
Sn00001aa034793_T001,-0.9186603725480612,0.00616742863225881,2.2098958673421607,NS
Sn00001aa052930_T001,1.84197311892718,0.835691041774021,0.07795425324620718,NS
Sn00001aa091888_T001,-0.008682243099800882,1,-0,NS
Sn00001aa019307_T001,-0.3695945285176767,1,-0,NS
Sn00001aa101124_T002,0.007195501404203766,1,-0,NS
Sn00001aa005134_T001,0.5129853348136765,0.948628334124555,0.022903907756917054,NS
Sn00001aa034403_T001,0.24000896473507027,1,-0,NS
Sn00001aa001477_T001,-2.4266254735540556,0.138154981555668,0.8596334507899406,NS
Sn00001aa038027_T002,0.021479727410451392,1,-0,NS
Sn00001aa028541_T001,-2.2584251525812045,0.0827058206322943,1.0824639247941048,NS
Sn00001aa048184_T002,0.12829340100981756,1,-0,NS
Sn00001aa058482_T001,0.16607267594670594,1,-0,NS
Sn00001aa005703_T001,-0.3183258582071667,0.644266274049348,0.19093460243857954,NS
Sn00001aa023787_T002,-0.06491747668133854,1,-0,NS
Sn00001aa077806_T001,-0.2276920250415967,0.620543711483257,0.20722762111553597,NS
Sn00001aa052612_T002,0.04963076772460043,1,-0,NS
Sn00001aa032281_T001,-0.8836352433082154,0.00485526233648111,2.313787299595696,NS
Sn00001aa019110_T001,0.23633953916837358,0.369596163244554,0.4322725458133144,NS
Sn00001aa066243_T001,0.38183708390604737,0.941016746075415,0.026402647918721694,NS
Sn00001aa067140_T001,3.5874850104898672,0.214603433294817,0.6683633343315474,NS
Sn00001aa060307_T001,0.2485348361386787,1,-0,NS
Sn00001aa047580_T002,0.2485348361386787,0.676898505016677,0.16947644507503382,NS
Sn00001aa070350_T002,-0.3057883922321094,0.653416871341782,0.18480965615375028,NS
Sn00001aa005988_T001,0.24000896473507027,1,-0,NS
Sn00001aa024183_T001,-0.962969269055033,0.0130943457216583,1.882916196862444,NS
Sn00001aa057772_T002,0.21785109681113138,1,-0,NS
Sn00001aa027810_T001,0.3862591411333461,0.270358200951543,0.5680604521509334,NS
Sn00001aa011039_T001,-0.4719288354212646,0.944338170572729,0.02487245558115606,NS
Sn00001aa002809_T001,0.060739157857678534,1,-0,NS
Sn00001aa008900_T003,-0.45600928033515,0.100893146770803,0.9961383324816758,NS
Sn00001aa029689_T001,0.6480051798104932,0.301117137746263,0.5212645263974695,NS
Sn00001aa000688_T003,-0.2863041851566411,0.101947243754131,0.99162451131353,NS
Sn00001aa083836_T001,-0.5104570643575265,0.188445484750544,0.7248142640059158,NS
Sn00001aa074251_T003,0.595503660502742,0.563807555615334,0.24886910842174179,NS
Sn00001aa008187_T001,-0.1648843847417823,1,-0,NS
Sn00001aa051040_T001,0.21163525332714944,0.790279626503762,0.10221921407626905,NS
Sn00001aa004606_T002,-0.5416179958439868,0.0522064071062235,1.2822761943133825,NS
Sn00001aa058446_T001,0.662661255475094,0.283907142132609,0.5468236819730312,NS
Sn00001aa036805_T001,-0.33642766458247736,0.445812054621877,0.35084819250678573,NS
Sn00001aa075314_T001,0.03843618165610792,1,-0,NS
Sn00001aa045572_T001,0.2630344058337938,1,-0,NS
Sn00001aa028219_T002,-0.7369655941662062,0.0623579334169341,1.205108286050446,NS
Sn00001aa069934_T002,-0.058893689053568565,1,-0,NS
