protein_id,log2FC_2019,padj_2019,neg_log10padj_2019,DAP_2019,log2FC_2022,padj_2022,neg_log10padj_2022,DAP_2022,mean_log2FC,fisher_combined_padj,neg_log10padj,DAP
Td00001aa000021_T002,-0.510457064357526,0.130268436742722,0.88516079847763,NS,-0.0388362425626015,0.293373749407435,0.532578748698362,NS,-0.2746466534600638,0.26598480062325214,0.5751431798879164,NS
Td00001aa000041_T001,-0.00868224309980088,0.657912005488087,0.181832188584336,NS,0.724855277368514,0.0029533268066275,2.52968849260083,NS,0.3580865171343566,0.033699926950329556,1.4723710405263812,NS
Td00001aa000042_T001,0.618238655595455,0.341692672395724,0.466364334552788,NS,6.3407067428572e-4,0.999154383321993,3.6740201960376e-4,NS,0.30943636313487033,0.8143325811486208,0.08919818889623088,NS
Td00001aa000049_T001,-0.522840788813359,0.0509077450826476,1.2932161392591,NS,-0.345923463955683,0.32368594048772,0.489876164054974,NS,-0.434382126384521,0.1571523055262081,0.8036792432180504,NS
Td00001aa000068_T001,0.133563525741106,0.477597511667863,0.320937944591693,NS,0.2761239767058,0.0355633945468108,1.44899679206099,NS,0.204843751223453,0.15990688703920947,0.7961328311961383,NS
Td00001aa000081_T004,0.523060061795249,0.347379817785383,0.459195416974276,NS,0.567680700608296,0.740951019852107,0.130210499862801,NS,0.5453703812017725,0.7285393844999416,0.13754696550187168,NS
Td00001aa000082_T002,0.6535186707536,0.302916351148056,0.518677283214811,NS,-0.226278579892334,0.983001977416172,0.00744560853605536,NS,0.21362004543063304,0.7733381325183161,0.11163057467390712,NS
Td00001aa000084_T001,-0.209227962138,0.276676968217253,0.558026991897981,NS,-0.0570075153704203,0.627205677741884,0.202590018881001,NS,-0.13311773875421015,0.6098868372067903,0.2147507396381098,NS
Td00001aa000086_T002,0.713695814843359,0.0931877675818175,1.03064109215649,NS,-0.193299662106366,0.515069461917698,0.288134198350417,NS,0.26019807636849646,0.3036328131520099,0.5176512966737744,NS
Td00001aa000108_T001,-0.57132159005177,0.692181881267832,0.159779773097926,NS,-1.08434872725706,2.57911559108549e-6,5.58852919316814,Down,-0.827835158654415,1.3853961872021408e-4,3.8584260119347435,NS
