orthogroup,log2FC,padj,species,DAP,rank
OG0000006,-1.577766999316952,0.155105599377638,Ag,NS,2223
OG0000012,-0.07887567660974312,0.791266286787057,Ag,NS,992
OG0000013,1.0426443374084935,1,Ag,NS,97
OG0000014,-1.3051935781215855,0.0470481969298305,Ag,DOWN,2199
OG0000017,-0.46822599072282767,0.122842367595967,Ag,NS,1774
OG0000034,0.9778320085450787,0.00305750071933148,Ag,NS,104
OG0000037,-0.3688249140813722,0.198056846685052,Ag,NS,1597
OG0000047,-0.6396658401965992,0.0847837383515174,Ag,NS,1949
OG0000056,-0.6035889784992245,0.0685986115613743,Ag,NS,1916
OG0000059,-1.6259342817774622,1,Ag,NS,2227
OG0000104,0.18629991002977891,0.884934800204294,Ag,NS,503
OG0000110,0.49240913356001476,0.031423668161717,Ag,NS,251
OG0000122,-0.5858011939150833,0.0217159373467857,Ag,NS,1900
OG0000161,-1.6816191343338707,0.0212805407110421,Ag,DOWN,2231
OG0000166,0.15833702716710066,1,Ag,NS,551
OG0000173,0.22215542710944675,1,Ag,NS,454
OG0000175,-0.6425330550364374,0.280134238955694,Ag,NS,1951
OG0000197,-0.439595782999863,0.896012273633124,Ag,NS,1738
OG0000200,-0.1456053222468993,1,Ag,NS,1126
OG0000213,0.4308204965197715,1,Ag,NS,282
OG0000224,0.527642259093632,0.0536254453114337,Ag,NS,234
OG0000229,0.1471195091294129,5.3076157246977e-4,Ag,NS,569
OG0000231,0.04404433270602122,1,Ag,NS,761
OG0000246,-0.25897032015000077,0.385633922341535,Ag,NS,1366
OG0000247,-0.5994620704162712,0.549388502058205,Ag,NS,1914
OG0000260,-0.5269819482413606,0.164591244488091,Ag,NS,1833
OG0000267,-0.195946441032647,0.940535177737036,Ag,NS,1250
OG0000270,0.02856915219677092,1,Ag,NS,782
OG0000273,0.8007446239367776,1,Ag,NS,140
OG0000286,0.1986290132999861,0.698949367310445,Ag,NS,486
OG0000288,2.1891538487995357,0.00217309480965639,Ag,UP,11
OG0000289,1.2682632122397117,0.00574845484869436,Ag,UP,71
OG0000291,-0.1648843847417823,1,Ag,NS,1183
OG0000300,-0.14568300305566473,0.777868662485813,Ag,NS,1130
OG0000301,-0.41311518714781525,1,Ag,NS,1686
OG0000305,-1.6084427522645226,2.8107022831052e-4,Ag,DOWN,2226
OG0000306,-0.7393720918733014,0.0536254453114337,Ag,NS,2016
OG0000316,0.18553092122365675,1,Ag,NS,504
OG0000323,-0.1818170569881138,1,Ag,NS,1219
OG0000331,-0.5563933485243852,0.0548346824774358,Ag,NS,1874
OG0000332,0.5186246342785842,0.619898316863877,Ag,NS,238
OG0000336,-0.5950968778548693,0.106499948373213,Ag,NS,1909
OG0000338,-0.4208198518728499,0.988440753912069,Ag,NS,1706
OG0000343,-0.23107466443624883,1,Ag,NS,1308
OG0000355,-0.050597652057351186,0.374823852859717,Ag,NS,935
OG0000358,-0.8390798118188968,0.0223282346505309,Ag,NS,2072
OG0000380,0.688403563416724,1,Ag,NS,165
OG0000384,-0.4188898247744504,0.896012273633124,Ag,NS,1697
OG0000386,0.08270877519883285,0.406487944333781,Ag,NS,684
OG0000390,0.951587794814754,0.385558832174547,Ag,NS,106
OG0000402,-0.4087097816760635,0.423372215032549,Ag,NS,1678
OG0000403,-0.9213901653036336,0.0983615399826012,Ag,NS,2107
OG0000405,-0.40827478436338693,0.054481163605303,Ag,NS,1677
OG0000406,-0.9268652953697848,1,Ag,NS,2110
OG0000423,-0.1827860757416734,1,Ag,NS,1220
OG0000433,-1.945633608636037,0.00633849050220367,Ag,DOWN,2237
OG0000434,-0.09751304007590951,0.0405096600101967,Ag,NS,1032
OG0000461,0.9312427558630445,0.149865098113652,Ag,NS,113
OG0000462,-0.39576250121494466,1,Ag,NS,1650
OG0000464,-0.488026018218199,0.507687214443909,Ag,NS,1799
OG0000468,0.3851548968843438,1,Ag,NS,305
OG0000486,-0.6208432940000909,1,Ag,NS,1935
OG0000495,-0.584241333477502,0.711637576539484,Ag,NS,1897
OG0000496,-0.03356953269370183,1,Ag,NS,905
OG0000498,-0.13606154957602837,1,Ag,NS,1106
OG0000500,-0.1504009888485484,0.941802916254138,Ag,NS,1142
OG0000507,0.08246693380737068,0.849323099087131,Ag,NS,687
OG0000508,-0.1440103026915193,1,Ag,NS,1122
OG0000523,0.5651215892732776,0.0725841517429015,Ag,NS,215
OG0000527,-0.3833729906452994,1,Ag,NS,1630
OG0000528,-0.04651623135386371,0.983557657572412,Ag,NS,925
OG0000538,-0.7429341343004499,0.646472921515234,Ag,NS,2018
OG0000565,-0.6326571884121368,0.0534853094637296,Ag,NS,1946
OG0000591,-0.16673531103798023,1,Ag,NS,1190
OG0000595,-0.23616354110904855,1,Ag,NS,1317
OG0000596,-0.16167953563080198,0.598708247313232,Ag,NS,1179
OG0000620,0.28725326013487307,1,Ag,NS,389
OG0000628,-0.24127043154213737,0.763929512337463,Ag,NS,1327
OG0000630,0.08965870201714222,1,Ag,NS,676
OG0000642,1.7927758606526236,0.0291849831507072,Ag,UP,31
OG0000646,0.22266948334020717,0.228298660720295,Ag,NS,453
OG0000648,-0.3864683470820729,0.9884335455135,Ag,NS,1634
OG0000654,1.495101868467956,0.00892797863304662,Ag,UP,56
OG0000666,0.05519565424212462,1,Ag,NS,738
OG0000670,0.776525151421912,0.0120234515032532,Ag,NS,147
OG0000676,0.4318903482861805,0.783789503437232,Ag,NS,280
OG0000686,-0.5972778231543953,1,Ag,NS,1912
OG0000694,-0.00433459026389112,1,Ag,NS,842
OG0000704,-0.5500425163719965,0.447975840937219,Ag,NS,1862
OG0000708,-0.003958942415601491,1,Ag,NS,841
OG0000710,0.3978641427074079,0.004619067661094,Ag,NS,297
OG0000715,-2.1570034139372067,0.054481163605303,Ag,NS,2243
OG0000719,0.07789727950469248,1,Ag,NS,698
OG0000723,0.15574923267794483,1,Ag,NS,556
OG0000731,0.3021727997407522,0.626760215360637,Ag,NS,367
OG0000732,-0.588573754273535,0.533908371169981,Ag,NS,1902
OG0000736,-1.431571036285465,1,Ag,NS,2212
OG0000737,0.1951307804596203,1,Ag,NS,491
OG0000744,-0.017227665056546847,1,Ag,NS,865
OG0000746,-0.14880066140670606,1,Ag,NS,1134
OG0000750,0.6229303509201767,0.989478980343197,Ag,NS,185
OG0000758,-0.30757280191029224,0.469771274033523,Ag,NS,1470
OG0000762,-0.3346072289581085,0.434881089487579,Ag,NS,1527
OG0000763,-0.19264507794239588,0.924081817354573,Ag,NS,1243
OG0000764,-0.14241704461585192,1,Ag,NS,1119
OG0000769,-0.23956612532988847,1,Ag,NS,1324
OG0000776,0.15574923267794483,1,Ag,NS,556
OG0000787,-0.4320172108450656,0.174040804511685,Ag,NS,1725
OG0000799,-0.36215793967589505,0.494281567285362,Ag,NS,1588
OG0000800,0.025940783385650826,1,Ag,NS,789
OG0000803,0.07176266930009127,1,Ag,NS,705
OG0000807,0.21038886444540292,1,Ag,NS,474
OG0000812,-0.32606287452249005,0.781698118635393,Ag,NS,1513
OG0000815,-0.31099947958840235,0.18401681106304,Ag,NS,1477
OG0000820,-1.1046973786666932,0.244946226583561,Ag,NS,2163
OG0000823,0.5978387840809497,0.00494880244618342,Ag,NS,201
OG0000837,0.12697285625776553,1,Ag,NS,609
OG0000839,-0.1987705188059066,1,Ag,NS,1255
OG0000840,0.596526290867123,0.364657679654637,Ag,NS,202
OG0000851,0.06030735362555684,1,Ag,NS,729
OG0000861,0.16905415684984143,0.931051732815288,Ag,NS,536
OG0000863,1.4581121948051492,0.00246597991587249,Ag,UP,59
OG0000864,-0.6665762662748083,0.45385781945933,Ag,NS,1967
OG0000868,-0.1109159014018506,1,Ag,NS,1058
OG0000880,-0.4739469897143937,0.597149834475128,Ag,NS,1784
OG0000881,-0.4592865522050019,0.216142197807195,Ag,NS,1766
OG0000882,-0.12658049656514306,1,Ag,NS,1092
OG0000884,-0.49207853504267185,1,Ag,NS,1804
OG0000885,-0.3057883922321094,1,Ag,NS,1465
OG0000889,-0.8613670510574363,0.137705730108158,Ag,NS,2081
OG0000890,-0.12621435168155157,1,Ag,NS,1091
OG0000894,-0.6529013293777317,1,Ag,NS,1959
OG0000904,-0.39166779110490185,0.56992213633744,Ag,NS,1643
OG0000906,-0.27137937140148205,1,Ag,NS,1389
OG0000915,-0.588573754273535,0.764017957451203,Ag,NS,1902
OG0000926,-0.4405023500372799,1,Ag,NS,1741
OG0000929,0.5360529002402097,1,Ag,NS,229
OG0000940,-0.5166356392866507,0.0771747727384529,Ag,NS,1822
OG0000941,-0.49898649771152037,0.250297872739521,Ag,NS,1811
OG0000942,-0.1440103026915193,1,Ag,NS,1122
OG0000943,-1.4305089080412838,0.0651428434102598,Ag,NS,2211
OG0000945,0.5646220524369807,0.207337601566967,Ag,NS,216
OG0000955,0.5538519681811257,1,Ag,NS,218
OG0000962,0.05935527761642124,1,Ag,NS,730
OG0000966,-0.2159148572652431,1,Ag,NS,1285
OG0000973,-0.434939160155132,0.931231434340841,Ag,NS,1729
OG0000976,0.3867095658242138,0.0562400122696242,Ag,NS,303
OG0000979,0.02005765234125347,1,Ag,NS,797
OG0000980,-0.0291463456595165,1,Ag,NS,895
OG0000989,0.7280582169862923,0.658648495630068,Ag,NS,156
OG0000994,-0.9885043611621706,0.00798050512168255,Ag,NS,2131
OG0001000,-0.07704103576382801,1,Ag,NS,988
OG0001003,0.3038462478577756,1,Ag,NS,365
OG0001014,-0.01374924638901712,1,Ag,NS,862
OG0001025,-0.45997273074249273,1,Ag,NS,1767
OG0001032,-0.3291596641184381,1,Ag,NS,1518
OG0001033,-0.5522238680057208,0.0962859166388103,Ag,NS,1871
OG0001038,-0.5367497608832399,0.903479112667252,Ag,NS,1846
OG0001043,0.2582173895360179,1,Ag,NS,417
OG0001047,-0.3186584192847716,0.356874901304614,Ag,NS,1492
OG0001055,-0.5311560570253625,0.47971503019751,Ag,NS,1839
OG0001058,-0.4579896444633908,1,Ag,NS,1764
OG0001069,-0.10963834078020504,1,Ag,NS,1057
OG0001070,0.2558028366027179,1,Ag,NS,422
OG0001074,-0.028978120957157887,1,Ag,NS,894
OG0001076,-0.8747568727391344,0.0888979226052492,Ag,NS,2088
