GO.ID,Term,Annotated,Significant,Expected,elimFisher
GO:0007017,microtubule-based process,33,31,18.86,2.3e-06
GO:0000278,mitotic cell cycle,31,29,17.72,6.5e-06
GO:0009226,nucleotide-sugar biosynthetic process,20,20,11.43,1.2e-05
GO:0016192,vesicle-mediated transport,35,34,20,3.3e-05
GO:0072657,protein localization to membrane,27,25,15.43,5.0e-05
GO:0007010,cytoskeleton organization,41,35,23.43,8.5e-05
GO:0006833,water transport,15,15,8.57,0.00021
GO:0034440,lipid oxidation,19,18,10.86,0.00033
GO:0006338,chromatin remodeling,34,29,19.43,0.00038
GO:0071669,plant-type cell wall organization or bio...,18,17,10.29,0.00056
GO:0071695,anatomical structure maturation,13,13,7.43,0.00066
GO:0008202,steroid metabolic process,13,13,7.43,0.00066
GO:0030243,cellulose metabolic process,12,12,6.86,0.00116
GO:0048193,Golgi vesicle transport,12,12,6.86,0.00116
GO:0071555,cell wall organization,24,21,13.72,0.00137
GO:0006310,DNA recombination,11,11,6.29,0.00204
GO:0009739,response to gibberellin,11,11,6.29,0.00204
GO:0051276,chromosome organization,11,11,6.29,0.00204
GO:0006633,fatty acid biosynthetic process,23,20,13.15,0.00214
GO:0006355,regulation of DNA-templated transcriptio...,29,24,16.58,0.00302
GO:0016050,vesicle organization,10,10,5.72,0.00360
GO:0051289,protein homotetramerization,10,10,5.72,0.00360
GO:0006730,one-carbon metabolic process,10,10,5.72,0.00360
GO:0006556,S-adenosylmethionine biosynthetic proces...,10,10,5.72,0.00360
GO:0009800,cinnamic acid biosynthetic process,10,10,5.72,0.00360
GO:0006366,transcription by RNA polymerase II,10,10,5.72,0.00360
GO:0014070,response to organic cyclic compound,18,16,10.29,0.00400
GO:0006886,intracellular protein transport,18,16,10.29,0.00400
GO:0031408,oxylipin biosynthetic process,18,16,10.29,0.00400
GO:0061024,membrane organization,14,13,8,0.00436
GO:0055085,transmembrane transport,77,55,44.01,0.00535
GO:0009987,cellular process,960,568,548.7,0.00618
GO:0042546,cell wall biogenesis,17,15,9.72,0.00634
GO:0006508,proteolysis,53,39,30.29,0.00855
GO:0022402,cell cycle process,16,14,9.15,0.00998
GO:0023052,signaling,46,34,26.29,0.01255
GO:0051640,organelle localization,15,13,8.57,0.01558
GO:0051290,protein heterotetramerization,11,10,6.29,0.01917
GO:0051291,protein heterooligomerization,11,10,6.29,0.01917
GO:0031324,negative regulation of cellular metaboli...,21,17,12,0.01947
GO:0006629,lipid metabolic process,93,74,53.16,0.02255
GO:0090558,plant epidermis development,14,12,8,0.02413
GO:0050794,regulation of cellular process,119,84,68.02,0.02495
GO:0048519,negative regulation of biological proces...,26,20,14.86,0.02856
GO:0009888,tissue development,23,18,13.15,0.02877
GO:0007165,signal transduction,43,31,24.58,0.02927
GO:0016042,lipid catabolic process,10,9,5.72,0.03100
GO:0006631,fatty acid metabolic process,39,33,22.29,0.03539
GO:0015031,protein transport,34,29,19.43,0.03613
GO:0048523,negative regulation of cellular process,25,19,14.29,0.03967
