"gene","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021",-0.274646653460064,0.371043522425168,0.88386081813725,"NS","NS","NS"
"Td00001aa000041",0.358086517134357,0.873918193577519,0.00599599145451239,"NS","NS","NS"
"Td00001aa000042",0.30943636313487,0.390358942566416,0.38504673095196,"NS","NS","NS"
"Td00001aa000049",-0.434382126384521,-0.241688785954814,0.436922978376361,"NS","NS","NS"
"Td00001aa000068",0.204843751223453,-0.28467991826067,0.528722352911893,"NS","NS","NS"
"Td00001aa000081",0.545370381201773,0.635455735035495,0.291710471598641,"NS","NS","NS"
"Td00001aa000082",0.213620045430633,-0.0836711068962277,0.931040131889226,"NS","NS","NS"
"Td00001aa000084",-0.13311773875421,0.153705633733113,0.787801556745888,"NS","NS","NS"
"Td00001aa000086",0.260198076368496,0.296158809795861,0.504353903395437,"NS","NS","NS"
"Td00001aa000108",-0.827835158654415,0.372344970888396,0.617367162480667,"NS","NS","NS"
"Td00001aa000109",0.332113025576376,0.162844055182442,0.836783103672169,"NS","NS","NS"
"Td00001aa000119",-0.283669615612606,0.255992317732484,0.548323607813644,"NS","NS","NS"
"Td00001aa000122",0.14499307725311,0.528110913061733,0.484193264666689,"NS","NS","NS"
"Td00001aa000125",-1.29745636601591,-0.226910058726434,0.725517589391047,"Down","NS","NS"
"Td00001aa000146",-0.246199701198674,0.294484505521829,0.499867134472942,"NS","NS","NS"
"Td00001aa000149",-0.407621992274098,-0.76930510293847,0.522983477180553,"NS","NS","NS"
"Td00001aa000157",-0.330372421535031,0.449264062556411,0.375071560940185,"NS","NS","NS"
"Td00001aa000161",-0.44418938607766,0.979851169591981,0.0688242991307986,"NS","NS","NS"
"Td00001aa000234",-0.518443691781518,0.773570100536338,0.0884088613087597,"NS","NS","NS"
"Td00001aa000235",-0.2209148991614,-0.86601159290748,0.124014885266368,"NS","NS","NS"
"Td00001aa000236",1.12866969617372,2.86272094118695,7.00567929983523e-06,"Up","Up","Up"
"Td00001aa000271",-0.0290344445825285,-0.416414734469026,0.237251663990821,"NS","NS","NS"
"Td00001aa000272",-0.378363026531093,0.41512789950652,0.580810818798006,"NS","NS","NS"
"Td00001aa000301",-0.429867290922598,0.645822937133075,0.0475815192105299,"NS","NS","NS"
"Td00001aa000336",0.472118669204543,1.00050162862441,0.00953206942553777,"NS","Up","NS"
"Td00001aa000346",0.46536899041462,1.26311573450241,0.047045137750992,"NS","Up","NS"
"Td00001aa000350",0.279118970882132,-0.377994025244811,0.559669571117549,"NS","NS","NS"
"Td00001aa000354",0.025665273948463,0.558227456328725,0.308852959948657,"NS","NS","NS"
"Td00001aa000358",-0.0494384487837783,-0.078641949455215,0.916579081418451,"NS","NS","NS"
"Td00001aa000380",-0.294079981656887,0.703876037256312,0.60599432205345,"NS","NS","NS"
"Td00001aa000422",0.254003908899631,0.583030134993719,0.322383750426996,"NS","NS","NS"
"Td00001aa000432",0.0984452788174932,0.288320128978481,0.690173413829456,"NS","NS","NS"
"Td00001aa000433",0.240662954644162,0.150259250034119,0.705078993206687,"NS","NS","NS"
"Td00001aa000441",-1.11556383427043,-1.12109183451726,0.444323721487548,"NS","NS","NS"
"Td00001aa000442",-0.306415083069813,1.32654636121747,0.275082270084781,"NS","NS","NS"
"Td00001aa000457",-0.051393624622311,0.748757075526082,0.0741498010582491,"NS","NS","NS"
"Td00001aa000466",0.252302047513788,0.823717774272632,0.00391722019658178,"NS","NS","NS"
"Td00001aa000490",0.027287125133165,0.24325506080862,0.706608384200446,"NS","NS","NS"
"Td00001aa000499",-0.13657687807507,0.404885411279373,0.192330126628711,"NS","NS","NS"
"Td00001aa000504",-0.2999727074264,-0.0179021910609913,0.98084109249837,"NS","NS","NS"
"Td00001aa000547",-0.0767024401281531,0.387022810597756,0.36292252462364,"NS","NS","NS"
"Td00001aa000549",-1.79129524444636,0.185472515079503,0.647177078838514,"Down","NS","NS"
"Td00001aa000573",-0.262386219234289,0.404083946878001,0.658524093495837,"NS","NS","NS"
