"gene","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021",-0.274646653460064,0.904735705914663,0.0282695402415639,"NS","NS","NS"
"Td00001aa000041",0.358086517134357,0.497540500789765,0.019070216368463,"NS","NS","NS"
"Td00001aa000042",0.30943636313487,0.168542067865796,0.489975274791173,"NS","NS","NS"
"Td00001aa000049",-0.434382126384521,0.484370518343156,0.00168659077506606,"NS","NS","NS"
"Td00001aa000068",0.204843751223453,-1.2836231791844,1.79250656414099e-16,"NS","Down","NS"
"Td00001aa000081",0.545370381201773,-0.127715195009865,0.656553500899474,"NS","NS","NS"
"Td00001aa000082",0.213620045430633,1.05057974146763,0.164766003962814,"NS","NS","NS"
"Td00001aa000084",-0.13311773875421,-2.35799424026261,5.76351599727515e-32,"NS","Down","NS"
"Td00001aa000086",0.260198076368496,-0.909343467659329,1.67783698551628e-07,"NS","NS","NS"
"Td00001aa000108",-0.827835158654415,-1.45168633710765,0.00131964728088949,"NS","Down","NS"
"Td00001aa000109",0.332113025576376,0.944509098835847,3.1498534718813e-08,"NS","NS","NS"
"Td00001aa000119",-0.283669615612606,0.568165397944259,1.9370756973366e-09,"NS","NS","NS"
"Td00001aa000122",0.14499307725311,-2.96011518435396,3.8101358353889e-27,"NS","Down","NS"
"Td00001aa000125",-1.29745636601591,-3.45121020309334,7.94071542544555e-07,"Down","Down","Down"
"Td00001aa000146",-0.246199701198674,-0.642949072912163,1.07964336557727e-07,"NS","NS","NS"
"Td00001aa000149",-0.407621992274098,-1.16057235056321,5.85124168538915e-06,"NS","Down","NS"
"Td00001aa000157",-0.330372421535031,-0.294934373725339,0.00619695169341692,"NS","NS","NS"
"Td00001aa000161",-0.44418938607766,-0.29900129016327,0.0667513249856498,"NS","NS","NS"
"Td00001aa000234",-0.518443691781518,0.546117132978518,3.72638679524848e-05,"NS","NS","NS"
"Td00001aa000235",-0.2209148991614,-0.179603315822218,0.434536328594426,"NS","NS","NS"
"Td00001aa000236",1.12866969617372,0.531860146172638,0.0023748836422261,"Up","NS","NS"
"Td00001aa000271",-0.0290344445825285,-0.0511441511484231,0.841541893337987,"NS","NS","NS"
"Td00001aa000272",-0.378363026531093,-0.879832419377401,5.15640582450254e-09,"NS","NS","NS"
"Td00001aa000301",-0.429867290922598,-3.05831709618475,2.06811674103749e-19,"NS","Down","NS"
"Td00001aa000336",0.472118669204543,-0.468324017294427,0.000130497114994357,"NS","NS","NS"
"Td00001aa000346",0.46536899041462,0.434694386615861,0.0783411822980575,"NS","NS","NS"
"Td00001aa000350",0.279118970882132,0.380300308392404,0.0153807671930696,"NS","NS","NS"
"Td00001aa000354",0.025665273948463,-0.971493396549372,7.38564678108793e-09,"NS","NS","NS"
"Td00001aa000358",-0.0494384487837783,-1.104717506084,2.42768234830056e-12,"NS","Down","NS"
"Td00001aa000380",-0.294079981656887,-0.329136625002811,0.774908528116743,"NS","NS","NS"
"Td00001aa000422",0.254003908899631,1.67078720537447,4.82330877172198e-17,"NS","Up","NS"
"Td00001aa000432",0.0984452788174932,0.429406277130843,0.00029344814716797,"NS","NS","NS"
"Td00001aa000433",0.240662954644162,-0.173968771383362,0.0271205647877904,"NS","NS","NS"
"Td00001aa000441",-1.11556383427043,-2.41369566271849,0.000220257830791996,"NS","Down","NS"
"Td00001aa000442",-0.306415083069813,0.051810604439879,0.99785962308036,"NS","NS","NS"
"Td00001aa000457",-0.051393624622311,0.872831409610685,2.10660417862775e-21,"NS","NS","NS"
"Td00001aa000466",0.252302047513788,0.443523776978465,0.00343620955866315,"NS","NS","NS"
"Td00001aa000490",0.027287125133165,0.439850997974461,6.45774908997522e-05,"NS","NS","NS"
"Td00001aa000499",-0.13657687807507,-1.11024125968246,1.54545198653101e-46,"NS","Down","NS"
"Td00001aa000504",-0.2999727074264,1.31051463172213,1.84420294361284e-14,"NS","Up","NS"
"Td00001aa000547",-0.0767024401281531,1.23396673571607,1.22573719273787e-28,"NS","Up","NS"
