"gene","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021",-0.274646653460064,-1.41575515382266,0.621328568612021,"NS","NS","NS"
"Td00001aa000041",0.358086517134357,-0.383868351729274,0.809976108804358,"NS","NS","NS"
"Td00001aa000042",0.30943636313487,-0.341799684219437,0.755266260794086,"NS","NS","NS"
"Td00001aa000049",-0.434382126384521,-0.358966548459238,0.469881447602423,"NS","NS","NS"
"Td00001aa000068",0.204843751223453,-0.0977415816885077,0.941993082815916,"NS","NS","NS"
"Td00001aa000081",0.545370381201773,0.313122472562109,0.755710225250491,"NS","NS","NS"
"Td00001aa000082",0.213620045430633,-0.345181629301238,0.939215664455402,"NS","NS","NS"
"Td00001aa000084",-0.13311773875421,0.270668764743274,0.787753660242377,"NS","NS","NS"
"Td00001aa000086",0.260198076368496,-0.234901843282593,0.885388862556097,"NS","NS","NS"
"Td00001aa000108",-0.827835158654415,2.09955202505072,0.176919231491086,"NS","NS","NS"
"Td00001aa000109",0.332113025576376,0.271911891097326,0.749548074668818,"NS","NS","NS"
"Td00001aa000119",-0.283669615612606,0.522063547124107,0.548066974408274,"NS","NS","NS"
"Td00001aa000122",0.14499307725311,-0.849913555276448,0.346995490748332,"NS","NS","NS"
"Td00001aa000125",-1.29745636601591,0.432375029415406,0.905327656589703,"Down","NS","NS"
"Td00001aa000146",-0.246199701198674,0.259842885745274,0.840735102039828,"NS","NS","NS"
"Td00001aa000149",-0.407621992274098,-0.521658129184314,0.886505470250413,"NS","NS","NS"
"Td00001aa000157",-0.330372421535031,-0.0937262555747957,0.938603713807354,"NS","NS","NS"
"Td00001aa000161",-0.44418938607766,0.111683167776788,0.944547297151038,"NS","NS","NS"
"Td00001aa000234",-0.518443691781518,1.20707399433446,0.00720224144463436,"NS","Up","NS"
"Td00001aa000235",-0.2209148991614,-2.38278936532904,0.0335155360006204,"NS","Down","NS"
"Td00001aa000236",1.12866969617372,1.40144556058322,0.000160815971954748,"Up","Up","Up"
"Td00001aa000271",-0.0290344445825285,-0.896948922841516,0.312706674062784,"NS","NS","NS"
"Td00001aa000272",-0.378363026531093,-0.479833066249231,0.798158347515344,"NS","NS","NS"
"Td00001aa000301",-0.429867290922598,-0.647151492774152,0.198076966440609,"NS","NS","NS"
"Td00001aa000336",0.472118669204543,0.0963212077614469,0.929211131639345,"NS","NS","NS"
"Td00001aa000346",0.46536899041462,-0.269589187146526,0.867446570773122,"NS","NS","NS"
"Td00001aa000350",0.279118970882132,0.133660345796149,0.94458293532948,"NS","NS","NS"
"Td00001aa000354",0.025665273948463,-0.130033009930617,0.905675029196429,"NS","NS","NS"
"Td00001aa000358",-0.0494384487837783,-0.0933213879491972,0.953126929414143,"NS","NS","NS"
"Td00001aa000380",-0.294079981656887,-0.949346349945741,NA,"NS","NS","NS"
"Td00001aa000422",0.254003908899631,-1.04809995194223,0.485147174929792,"NS","NS","NS"
"Td00001aa000432",0.0984452788174932,0.201115673670841,0.850305241165544,"NS","NS","NS"
"Td00001aa000433",0.240662954644162,-0.0136516646882307,0.984664513545382,"NS","NS","NS"
"Td00001aa000442",-0.306415083069813,1.47343896537382,0.125069706045187,"NS","NS","NS"
"Td00001aa000457",-0.051393624622311,-0.00266016895772206,0.998027974154428,"NS","NS","NS"
"Td00001aa000466",0.252302047513788,0.295556707737852,0.650968102098867,"NS","NS","NS"
"Td00001aa000490",0.027287125133165,0.411995157394637,0.705646324443428,"NS","NS","NS"
"Td00001aa000499",-0.13657687807507,0.100428115392217,0.927902751069136,"NS","NS","NS"
"Td00001aa000504",-0.2999727074264,1.01465972881547,0.332172801914914,"NS","NS","NS"
"Td00001aa000547",-0.0767024401281531,0.435192041861917,0.626613643679704,"NS","NS","NS"
"Td00001aa000549",-1.79129524444636,0.596348624212883,0.416087455433473,"Down","NS","NS"
"Td00001aa000573",-0.262386219234289,0.459535665525185,0.630315306492457,"NS","NS","NS"
"Td00001aa000601",0.512657430742397,0.327496950013554,0.765303439488113,"NS","NS","NS"
"Td00001aa000663",0.105117409106508,0.201872375156646,0.853310907456154,"NS","NS","NS"
"Td00001aa000684",0.424881518206327,0.166372146280819,0.872088101842381,"NS","NS","NS"
"Td00001aa000699",0.180013716128597,-0.117061645493275,0.975731182161502,"NS","NS","NS"
"Td00001aa000706",-0.004206585633171,0.136175033079231,0.896974160892535,"NS","NS","NS"
"Td00001aa000708",0.264035956613083,0.637259944363862,0.625835594412673,"NS","NS","NS"
"Td00001aa000745",-0.122876948682168,-0.590411277300799,0.787753660242377,"NS","NS","NS"
"Td00001aa000756",0.16938941461832,-0.283620041942215,0.836606242545811,"NS","NS","NS"
"Td00001aa000777",0.310130323247967,3.25063476367107,0.000536646881297991,"NS","Up","NS"
"Td00001aa000799",-0.343491545505003,0.0210236368931184,0.988274645856764,"NS","NS","NS"
"Td00001aa000801",-0.787305176089579,0.72961222562487,0.387615278575136,"NS","NS","NS"
"Td00001aa000807",0.603916076057652,0.537862379208413,0.493314923984654,"NS","NS","NS"
"Td00001aa000820",-0.250219365481899,0.225912987451847,0.962169514037815,"NS","NS","NS"
"Td00001aa000830",0.229122788870867,-0.847411108766869,0.364281480923073,"NS","NS","NS"
