"gene","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021",-0.274646653460064,1.3186672606814,NA,"NS",NA,"NS"
"Td00001aa000041",0.358086517134357,0.243819223098706,0.847538795647936,"NS","NS","NS"
"Td00001aa000042",0.30943636313487,-0.303763541282709,0.738231726726802,"NS","NS","NS"
"Td00001aa000049",-0.434382126384521,-0.881627264104712,0.185379226236736,"NS","NS","NS"
"Td00001aa000068",0.204843751223453,-0.325514514267391,0.675917333314201,"NS","NS","NS"
"Td00001aa000081",0.545370381201773,-0.175161543235299,0.904855671743992,"NS","NS","NS"
"Td00001aa000082",0.213620045430633,-1.50887848554418,0.41524351930866,"NS","NS","NS"
"Td00001aa000084",-0.13311773875421,0.240484729734872,0.880089791926175,"NS","NS","NS"
"Td00001aa000086",0.260198076368496,-0.0866536368150444,0.958792312086725,"NS","NS","NS"
"Td00001aa000108",-0.827835158654415,-0.816086856773988,0.404766473264011,"NS","NS","NS"
"Td00001aa000109",0.332113025576376,0.226190866214575,0.882379592866017,"NS","NS","NS"
"Td00001aa000119",-0.283669615612606,0.416173162116745,0.649560059437048,"NS","NS","NS"
"Td00001aa000122",0.14499307725311,1.32728069787519,0.252634534360444,"NS","NS","NS"
"Td00001aa000125",-1.29745636601591,0.188489756993967,0.93590906388606,"Down","NS","NS"
"Td00001aa000146",-0.246199701198674,0.168724946610645,0.945278798527608,"NS","NS","NS"
"Td00001aa000149",-0.407621992274098,-0.963051363829471,0.629384999570277,"NS","NS","NS"
"Td00001aa000157",-0.330372421535031,-0.263607396294909,0.817339705835598,"NS","NS","NS"
"Td00001aa000161",-0.44418938607766,0.239323649006631,0.879920711068433,"NS","NS","NS"
"Td00001aa000234",-0.518443691781518,0.748848190885988,0.174083059831841,"NS","NS","NS"
"Td00001aa000235",-0.2209148991614,-1.64627616000999,0.0134817389906146,"NS","Down","NS"
"Td00001aa000236",1.12866969617372,4.0278867887866,2.49864478452974e-17,"Up","Up","Up"
"Td00001aa000271",-0.0290344445825285,-0.460609012512206,0.610324116170579,"NS","NS","NS"
"Td00001aa000272",-0.378363026531093,0.354175944327345,0.871764319782824,"NS","NS","NS"
"Td00001aa000301",-0.429867290922598,0.870033941167218,0.448041226784482,"NS","NS","NS"
"Td00001aa000336",0.472118669204543,0.0957900034259811,0.902848266290631,"NS","NS","NS"
"Td00001aa000346",0.46536899041462,0.251511440332282,0.885360751207859,"NS","NS","NS"
"Td00001aa000350",0.279118970882132,0.522735918822819,0.724388168445161,"NS","NS","NS"
"Td00001aa000354",0.025665273948463,0.334050081065207,0.710756891985016,"NS","NS","NS"
"Td00001aa000358",-0.0494384487837783,0.034273287281662,0.985272952358706,"NS","NS","NS"
"Td00001aa000380",-0.294079981656887,0.0678753191799818,0.970387385163239,"NS","NS","NS"
"Td00001aa000422",0.254003908899631,0.258679894859511,0.874750421480161,"NS","NS","NS"
"Td00001aa000432",0.0984452788174932,-0.281015253634395,0.817636616887251,"NS","NS","NS"
"Td00001aa000433",0.240662954644162,0.318647628018705,0.574047336744473,"NS","NS","NS"
"Td00001aa000442",-0.306415083069813,2.81190724014274,0.287132319314743,"NS","NS","NS"
"Td00001aa000457",-0.051393624622311,0.101934753914723,0.940722225714571,"NS","NS","NS"
"Td00001aa000466",0.252302047513788,0.0654002701605499,0.954092073785877,"NS","NS","NS"
"Td00001aa000490",0.027287125133165,-0.136779429953082,0.940722225714571,"NS","NS","NS"
"Td00001aa000499",-0.13657687807507,0.133568008108438,0.924643288622467,"NS","NS","NS"
"Td00001aa000504",-0.2999727074264,0.177017097699651,0.924045162086576,"NS","NS","NS"
"Td00001aa000547",-0.0767024401281531,0.463659131795869,0.512004955875391,"NS","NS","NS"
"Td00001aa000549",-1.79129524444636,0.220054885403948,0.795074604132388,"Down","NS","NS"
"Td00001aa000573",-0.262386219234289,0.338730570636004,0.819982680815551,"NS","NS","NS"
"Td00001aa000601",0.512657430742397,0.378775971476597,0.716031165630101,"NS","NS","NS"
"Td00001aa000663",0.105117409106508,0.030296843736286,0.98804694783309,"NS","NS","NS"
"Td00001aa000684",0.424881518206327,0.503159600801063,0.437890839468834,"NS","NS","NS"
"Td00001aa000699",0.180013716128597,0.613731974883158,0.817695466160181,"NS","NS","NS"
"Td00001aa000706",-0.004206585633171,-0.0702483737274659,0.964398102092721,"NS","NS","NS"
"Td00001aa000708",0.264035956613083,0.113707047153528,0.945278798527608,"NS","NS","NS"
"Td00001aa000745",-0.122876948682168,0.795989432730379,0.60231588674907,"NS","NS","NS"
"Td00001aa000756",0.16938941461832,0.050305450914892,0.972640481289041,"NS","NS","NS"
"Td00001aa000777",0.310130323247967,0.37176205319225,NA,"NS","NS","NS"
"Td00001aa000799",-0.343491545505003,0.161632083104724,0.867051195126585,"NS","NS","NS"
"Td00001aa000801",-0.787305176089579,0.653480853781677,0.305391126345584,"NS","NS","NS"
