"gene","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021",-0.274646653460064,-0.520187585540573,0.849271722156761,"NS","NS","NS"
"Td00001aa000041",0.358086517134357,0.345769023598187,0.659123163833953,"NS","NS","NS"
"Td00001aa000042",0.30943636313487,-0.0737627078957329,0.91629169277379,"NS","NS","NS"
"Td00001aa000049",-0.434382126384521,0.157862896203841,0.757205732867452,"NS","NS","NS"
"Td00001aa000068",0.204843751223453,0.173843231394479,0.806689309497617,"NS","NS","NS"
"Td00001aa000081",0.545370381201773,0.200288873930315,0.678335248204854,"NS","NS","NS"
"Td00001aa000082",0.213620045430633,0.0390909300534437,0.97589097120893,"NS","NS","NS"
"Td00001aa000084",-0.13311773875421,0.567109024694445,0.432236655807571,"NS","NS","NS"
"Td00001aa000086",0.260198076368496,-0.0931373571291888,0.865384525999562,"NS","NS","NS"
"Td00001aa000108",-0.827835158654415,-1.01681089354077,0.0321844489960274,"NS","Down","NS"
"Td00001aa000109",0.332113025576376,0.340297373713232,0.587211144208978,"NS","NS","NS"
"Td00001aa000119",-0.283669615612606,0.472077767127304,0.206096343496747,"NS","NS","NS"
"Td00001aa000122",0.14499307725311,0.208805366458714,0.783704741037094,"NS","NS","NS"
"Td00001aa000125",-1.29745636601591,-0.157981810385401,0.843061544030402,"Down","NS","NS"
"Td00001aa000146",-0.246199701198674,0.266674036837819,0.68241221543619,"NS","NS","NS"
"Td00001aa000149",-0.407621992274098,-0.678131873498725,0.431294716574739,"NS","NS","NS"
"Td00001aa000157",-0.330372421535031,0.0470532838979982,0.961035598598551,"NS","NS","NS"
"Td00001aa000161",-0.44418938607766,0.486594697486803,0.357975455415103,"NS","NS","NS"
"Td00001aa000234",-0.518443691781518,0.911371797143815,0.0166214965238975,"NS","NS","NS"
"Td00001aa000235",-0.2209148991614,-1.01721568389854,0.036464163980654,"NS","Down","NS"
"Td00001aa000236",1.12866969617372,2.03969216036329,5.98108789985105e-06,"Up","Up","Up"
"Td00001aa000271",-0.0290344445825285,-0.324482574279404,0.525071097682802,"NS","NS","NS"
"Td00001aa000272",-0.378363026531093,0.147966066499232,0.890523026186792,"NS","NS","NS"
"Td00001aa000301",-0.429867290922598,0.216979736452917,0.656648526329062,"NS","NS","NS"
"Td00001aa000336",0.472118669204543,0.381316700384457,0.502846631330325,"NS","NS","NS"
"Td00001aa000346",0.46536899041462,0.431829438879474,0.620191883734856,"NS","NS","NS"
"Td00001aa000350",0.279118970882132,0.28624724772484,0.732553743444506,"NS","NS","NS"
"Td00001aa000354",0.025665273948463,0.0230661594023785,0.977490986878503,"NS","NS","NS"
"Td00001aa000358",-0.0494384487837783,-0.0628546978313059,0.950464674675028,"NS","NS","NS"
"Td00001aa000380",-0.294079981656887,0.393310768551805,0.722801634687556,"NS","NS","NS"
"Td00001aa000422",0.254003908899631,0.20135884245351,0.788205695806379,"NS","NS","NS"
"Td00001aa000432",0.0984452788174932,0.923300312554908,0.0513911982844043,"NS","NS","NS"
"Td00001aa000433",0.240662954644162,0.341790395261447,0.248364643999643,"NS","NS","NS"
"Td00001aa000441",-1.11556383427043,0.524354493637431,NA,"NS","NS","NS"
"Td00001aa000442",-0.306415083069813,1.68859529501694,0.0701585825541245,"NS","NS","NS"
"Td00001aa000457",-0.051393624622311,0.21594427724718,0.767658848620949,"NS","NS","NS"
"Td00001aa000466",0.252302047513788,0.126780423414936,0.833991183800304,"NS","NS","NS"
"Td00001aa000490",0.027287125133165,0.387923270712091,0.522011146808012,"NS","NS","NS"
"Td00001aa000499",-0.13657687807507,0.29433269634351,0.544770067341904,"NS","NS","NS"
"Td00001aa000504",-0.2999727074264,-0.148094694212028,0.846118930314725,"NS","NS","NS"
"Td00001aa000547",-0.0767024401281531,0.0486680739585778,0.949844885371805,"NS","NS","NS"
"Td00001aa000549",-1.79129524444636,0.574486412177308,0.155986285765622,"Down","NS","NS"
"Td00001aa000573",-0.262386219234289,0.621779960693118,0.411167506524265,"NS","NS","NS"
"Td00001aa000601",0.512657430742397,0.31797184211573,0.774829018383635,"NS","NS","NS"
"Td00001aa000663",0.105117409106508,0.227885075756994,0.799025625911507,"NS","NS","NS"
"Td00001aa000684",0.424881518206327,0.0891107521164875,0.867663806781572,"NS","NS","NS"
"Td00001aa000699",0.180013716128597,0.541539665295178,0.650323292881297,"NS","NS","NS"
"Td00001aa000706",-0.004206585633171,0.558484323478034,0.111401623944748,"NS","NS","NS"
"Td00001aa000708",0.264035956613083,0.50810935039797,0.315925618037707,"NS","NS","NS"
"Td00001aa000745",-0.122876948682168,-0.200019782269374,0.861934492520788,"NS","NS","NS"
"Td00001aa000756",0.16938941461832,0.346307979235724,0.66097746861163,"NS","NS","NS"
"Td00001aa000777",0.310130323247967,-0.71275875008222,0.421018954225266,"NS","NS","NS"
"Td00001aa000799",-0.343491545505003,-0.00952320996048185,0.99005556169797,"NS","NS","NS"
"Td00001aa000801",-0.787305176089579,0.35447088046733,0.661226305688979,"NS","NS","NS"
"Td00001aa000807",0.603916076057652,0.479807074975088,0.190508878873402,"NS","NS","NS"
"Td00001aa000820",-0.250219365481899,-0.00882766035153295,0.996101148694775,"NS","NS","NS"
"Td00001aa000830",0.229122788870867,-0.043608134905564,0.960233109876809,"NS","NS","NS"
"Td00001aa000835",-0.261803427506601,0.0401674830197873,0.970436097077777,"NS","NS","NS"
"Td00001aa000845",0.258643917095294,1.94420148884366,0.448899653553025,"NS","NS","NS"
"Td00001aa000864",-0.118718634543276,0.189187511911333,0.768828487922692,"NS","NS","NS"
"Td00001aa000866",-0.0833543926189215,0.283875909684831,0.613531274078672,"NS","NS","NS"
"Td00001aa000868",-0.293441082248934,0.55755921835316,0.239308884121735,"NS","NS","NS"
"Td00001aa000869",-0.242299388535736,0.0937273350024067,0.924986209897564,"NS","NS","NS"
"Td00001aa000883",-0.572533965450662,-0.933345378561457,0.216558093057761,"NS","NS","NS"
"Td00001aa000885",0.304602059797985,0.296486650033674,0.49462431571595,"NS","NS","NS"
"Td00001aa000920",-1.02142851647663,-0.707391794030674,0.388243492424149,"Down","NS","NS"
"Td00001aa000926",0.501061649395165,0.294524497892702,0.715317384678522,"NS","NS","NS"
"Td00001aa000964",1.54233826640286,-0.364479750592042,0.802030427016538,"NS","NS","NS"
"Td00001aa000967",-2.4301876854992,0.393246785544277,0.527195784812654,"Down","NS","NS"
"Td00001aa000997",-0.666109409920855,1.07511185705798,0.0219646964105849,"NS","Up","NS"
"Td00001aa001066",-0.549456031244427,-0.166417202854565,0.837831902339217,"NS","NS","NS"
"Td00001aa001073",0.131705243921801,1.12234852343601,0.0215317180407235,"NS","Up","NS"
"Td00001aa001084",-0.24177447331367,-0.289639659091698,0.740351600822871,"NS","NS","NS"
"Td00001aa001111",0.104358825322308,0.502194857488525,0.408445164420808,"NS","NS","NS"
"Td00001aa001113",-0.352731551074132,-0.175350895758408,0.921775807961405,"NS","NS","NS"
"Td00001aa001118",-0.310374173700864,0.256661124162689,0.524601540792929,"NS","NS","NS"
"Td00001aa001127",-0.266970889457843,0.643374981850817,0.368103968400557,"NS","NS","NS"
"Td00001aa001141",0.116627352051774,1.19236896092547,0.00192095563698442,"NS","Up","NS"
"Td00001aa001142",-0.419392714010002,0.531501536068869,0.454941695284902,"NS","NS","NS"
"Td00001aa001145",0.010434966519388,-0.0472297397417747,0.963202270668891,"NS","NS","NS"
"Td00001aa001192",-0.0496447335729645,0.480982127760952,0.225250525315687,"NS","NS","NS"
"Td00001aa001210",-0.160483497393999,-0.598915079885114,0.397196500810934,"NS","NS","NS"
"Td00001aa001215",-0.61286807429131,-0.469753076245837,0.74402450255897,"NS","NS","NS"
"Td00001aa001245",-0.477422803773205,-0.052564207832481,0.945441239728154,"NS","NS","NS"
"Td00001aa001265",0.164057615640154,-0.177592540740098,0.823376001317957,"NS","NS","NS"
"Td00001aa001267",-0.299052183114762,-0.237381057928331,0.710139124943307,"NS","NS","NS"
"Td00001aa001268",1.73772474526649,-0.932111673742518,0.75366341243971,"Up","NS","NS"
"Td00001aa001283",0.165303736166903,0.385315720627576,0.498997655516874,"NS","NS","NS"
"Td00001aa001300",-0.223106212937194,0.423045644228518,0.314095539970638,"NS","NS","NS"
"Td00001aa001301",-0.275392240517324,0.204228346087179,0.732695519552572,"NS","NS","NS"
"Td00001aa001319",0.026608436143676,0.621229181599714,0.353066139500688,"NS","NS","NS"
"Td00001aa001322",0.466429326778566,0.109212946863689,0.91101554445902,"NS","NS","NS"
"Td00001aa001355",-1.53327227649445,-0.632518291022015,0.204277059751966,"Down","NS","NS"
"Td00001aa001373",0.243307604366518,-0.175710707629089,0.865384525999562,"NS","NS","NS"
"Td00001aa001418",-0.108137150743551,0.0404268226801776,0.958929145321689,"NS","NS","NS"
"Td00001aa001425",0.294559986297624,-0.488890036233799,0.369744840281299,"NS","NS","NS"
"Td00001aa001489",-0.668578590662571,0.00964984271273719,0.993795102172911,"NS","NS","NS"
"Td00001aa001495",-0.034555187407228,-0.188292999031412,0.891185745859748,"NS","NS","NS"
"Td00001aa001498",-0.429558566409382,-0.168637489248375,0.900432139915173,"NS","NS","NS"
"Td00001aa001519",-0.683741194506434,0.181722777484706,0.895983450365165,"NS","NS","NS"
"Td00001aa001541",0.981271887018479,0.496062857454643,0.71690384799503,"NS","NS","NS"
"Td00001aa001544",-0.23505961969154,-0.346136570452055,0.686671432100161,"NS","NS","NS"
"Td00001aa001550",-0.250615806787889,0.963333891326232,0.194053043231969,"NS","NS","NS"
"Td00001aa001578",-0.256756615264432,0.195996310648989,0.796475499780831,"NS","NS","NS"
"Td00001aa001591",-0.0302608183380191,-0.0242972969891319,0.973575027071844,"NS","NS","NS"
"Td00001aa001592",-0.985033487144169,-0.018505347528806,0.989815775850457,"NS","NS","NS"
"Td00001aa001617",-0.101186301286003,0.514746859736536,0.46448205584542,"NS","NS","NS"
"Td00001aa001626",0.0663365368609204,0.0383031580781241,0.976671875365015,"NS","NS","NS"
"Td00001aa001703",0.0311692068075966,0.287218385293783,0.738374397637883,"NS","NS","NS"
"Td00001aa001768",0.599435047175013,-0.104877274153248,0.809612867262568,"NS","NS","NS"
"Td00001aa001816",0.081893689496664,0.0384586977812764,0.957189147780099,"NS","NS","NS"
"Td00001aa001856",-1.19614780372824,-0.502490874082899,0.751925856268038,"Down","NS","NS"
"Td00001aa001865",0.141599435940143,2.82547597296317,5.52712115781232e-08,"NS","Up","NS"
"Td00001aa001885",0.139228526542513,0.242240897377561,0.938213346568039,"NS","NS","NS"
"Td00001aa001943",-0.129947943004872,0.26307588702077,0.535814791005002,"NS","NS","NS"
"Td00001aa001961",-0.246542795324653,-0.132075091348872,0.851109937289337,"NS","NS","NS"
"Td00001aa001965",0.603368928747713,-0.0336720456443349,0.972737815871434,"NS","NS","NS"
