Name,Color
ABA hormone signaling,#D2D841
Amino acid and peptide biosynthesis,#C6B18B
Carbohydrate metabolism,#66C2A5
Defense response and pathogen resistance,#E78AC3
Energy generation (glyoxylate malate cycles),#CCBBA3
Lipid transport and metabolism,#B3B3B3
Nucleotide biosynthesis and metabolism,#FFD92F
Other,white
Oxidative stress response and ROS detox,#B1A783
polysaccharide catabolism,#F2CE61
Protein folding and stress chaperones,#FC8D62
Response to heat,#A6D854
RNA processing and gene regulation,#BA95C7
Specialized metabolite biosynthesis,#C49696
Water deficit and cold stress responses,#8DA0CB
