query_id,uniprot_id,Description,BP_terms,MF_terms,CC_terms
Ag00001aa009144_T001,P35493,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",glucose catabolic process; glycolytic process,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; manganese ion binding",cytoplasm
Ag00001aa009716_T001,Q10P60,"26.7 kDa heat shock protein, chloroplastic",response to heat,,chloroplast
Ag00001aa012571_T001,Q6YZX6,"Putative aconitate hydratase, cytoplasmic",citrate metabolic process; glyoxylate cycle; tricarboxylic acid cycle,"4 iron, 4 sulfur cluster binding; aconitate hydratase activity; iron-responsive element binding; metal ion binding",cytosol; mitochondrion
Ag00001aa012894_T001,P33679,Zeamatin,defense response; defense response to fungus; killing of cells of another organism,,
Ag00001aa013246_T001,P42813,Ribonuclease 1,anthocyanin-containing compound biosynthetic process; cellular response to phosphate starvation; response to wounding,ribonuclease T2 activity; RNA binding; RNA nuclease activity,extracellular region
Ag00001aa014453_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa015316_T001,P84516,Cationic peroxidase SPC4,hydrogen peroxide catabolic process; response to oxidative stress; response to stress,calcium ion binding; heme binding; lactoperoxidase activity; peroxidase activity,extracellular region; plant-type cell wall
Ag00001aa019394_T001,P09189,Heat shock cognate 70 kDa protein,,ATP binding; ATP-dependent protein folding chaperone,
Ag00001aa022279_T001,P09189,Heat shock cognate 70 kDa protein,,ATP binding; ATP-dependent protein folding chaperone,
Ag00001aa047463_T001,Q0JIL1,Probable nucleoredoxin 2,,protein-disulfide reductase (NAD(P)H) activity,
Ag00001aa052871_T001,Q7XUW5,23.2 kDa heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,endoplasmic reticulum
Ag00001aa064445_T001,Q9Z729,UPF0098 protein CPn_0877/CP_0992/CPj0877/CpB0906,,,
