rank,species,protein_id,orthogroup,log2FC,DAP,description,short_description,BP,cold_related_category
1,Ag,Ag00001aa069057_T001,OG0013692,2.7204973705,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,PEBP,NA,Lipid metabolism
1,Mg,Misin09G141100.1.v7.1,OG0022377,2.9847771773,Up,NADH-ubiquinone reductase complex 1 MLRQ subunit,NDUFS1,NA,Metabolism / osmoregulation
1,Pv,PvWBCH1.9NG479100.4.v1.1,NA,3.8516990771,Up,Embryonic protein DC-8,Embryonic protein DC-8,response to water deprivation,Protein aggregation / membrane stability
1,Sn,Sn00001aa067886_T001,NA,3.0652276228,Up,Barwin domain-containing protein,Barwin,defense response to fungus,Other
1,Trip19,Td00001aa022594_T002,OG0022470,5.0016221196,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
1,Trip22,Td00001aa022594_T002,OG0022470,5.1528698373,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
2,Ag,Ag00001aa124402_T001,OG0010710,2.705756782,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
2,Mg,Misin01G469600.1.v7.1,OG0008582,2.6118457949,Up,Embryonic protein DC-8,Embryonic protein DC-8,response to water deprivation,Protein aggregation / membrane stability
2,Pv,PvWBCH1.3NG170900.1.v1.1,OG0022470,3.628890219,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
2,Sn,Sn00001aa051893_T001,OG0006941,3.0321008432,Up,Zeamatin,Zeamatin,defense response to fungus,Antifreeze
2,Trip19,Td00001aa029496_T001,OG0016115,4.3402774048,Up,22.0 kDa class IV heat shock protein-like,HSP22.0,protein folding,Protein folding / stability
2,Trip22,Td00001aa040338_T001,OG0051958,4.4620958198,Up,Abscisic stress ripening,Abscisic stress ripening,NA,Cold signal transduction
3,Ag,Ag00001aa071693_T001,OG0012032,2.6850430895,Up,Actin-depolymerizing factor 2,Actin-depolymerizing 2,actin filament depolymerization,Cytoskeleton stability
3,Mg,Misin12G126200.1.v7.1,OG0013447,2.3808166245,Up,Malate synthase,Malate synthase,glyoxylate cycle,Metabolism / osmoregulation
3,Pv,PvWBCH1.9KG072500.1.v1.1,OG0004932,3.5320675523,Up,Isoflavone 2'-hydroxylase,Isoflavone hydroxylase,NA,Other
3,Sn,Sn00001aa056018_T001,OG0022470,2.8155754289,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
3,Trip19,Td00001aa040338_T001,OG0051958,3.8142427798,Up,Abscisic stress ripening,Abscisic stress ripening,NA,Cold signal transduction
3,Trip22,Td00001aa042603_T001,OG0020846,4.0171673289,Up,NA,NA,NA,Other
4,Ag,Ag00001aa122642_T001,OG0011610,2.6470842126,Up,Subtilisin-chymotrypsin inhibitor-2A,Subtilisin-chymotrypsin,response to wounding,Protein folding / stability
4,Mg,Misin17G174300.1.v7.1,OG0013697,2.2404548128,Up,NADP-dependent oxidoreductase domain-containing protein,Aldose reductase,NA,Detoxification / ROS scavenging
4,Pv,PvWBCH1.3KG225700.1.v1.1,OG0013692,3.2889491046,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,PEBP,NA,Lipid metabolism
4,Sn,Sn00001aa050399_T001,OG0001959,2.7855505517,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
4,Trip19,Td00001aa013159_T001,OG0006288,3.6923155992,Up,TLC domain-containing protein,TLC,NA,Lipid metabolism
4,Trip22,Td00001aa014362_T001,OG0016578,3.7521018762,Up,"Heat shock protein, chloroplastic","HSP, chloroplastic",response to heat,Protein folding / stability
5,Ag,Ag00001aa157044_T001,OG0016166,2.6366826172,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
5,Mg,Misin17G041200.1.v7.1,OG0000837,2.1873280477,Up,NA,NA,NA,Other
5,Pv,PvWBCH1.1KG182300.1.v1.1,OG0002545,3.1333991254,Up,Dehydrin,Dehydrin,cold acclimation,Protein aggregation / membrane stability
5,Sn,Sn00001aa069853_T001,NA,2.6509942693,Up,NA,NA,NA,Other
5,Trip19,Td00001aa022969_T001,OG0013697,3.6585542607,Up,Aldose reductase,Aldose reductase,prostaglandin biosynthetic process,Detoxification / ROS scavenging
5,Trip22,Td00001aa029496_T001,OG0016115,3.6293200966,Up,22.0 kDa class IV heat shock protein-like,HSP22.0,protein folding,Protein folding / stability
6,Ag,Ag00001aa069574_T002,OG0022470,2.5955036605,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
6,Mg,MisinT394200.1.v7.1,OG0008494,2.068829852,Up,UDP-glucose 4-epimerase,UDP-glucose 4-epimerase,galactose metabolic process,Metabolism / osmoregulation
6,Pv,PvWBCH1.6NG112900.1.v1.1,OG0016166,3.1276332797,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
6,Sn,Sn00001aa062552_T001,OG0001959,2.525818322,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
6,Trip19,Td00001aa027412_T001,OG0024318,3.4317566602,Up,Dehydrin,Dehydrin,NA,Protein aggregation / membrane stability
6,Trip22,Td00001aa033307_T001,OG0000288,3.6236119988,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
7,Ag,Ag00001aa111933_T001,OG0022470,2.5410191531,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
7,Mg,Misin17G219700.1.v7.1,OG0022470,2.0503121708,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
7,Pv,PvWBCH1.3KG178100.1.v1.1,OG0022470,2.9980149293,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
7,Sn,Sn00001aa004579_T001,OG0009444,2.4987614657,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
7,Trip19,Td00001aa005038_T001,OG0009930,3.2985116928,Up,Seed biotin-containing protein SBP65,SBP65,cold acclimation,Metabolism / osmoregulation
7,Trip22,Td00001aa039438_T001,OG0015161,3.5610624549,Up,WIBG Mago-binding domain-containing protein,WIBG Mago-binding,NA,Other
8,Ag,Ag00001aa114791_T001,OG0002925,2.453649266,Up,NA,NA,NA,Other
8,Mg,Misin07G519500.1.v7.1,OG0005715,2.0452056317,Up,Eukaryotic translation initiation factor 3 subunit G,TIF3 subunit G,formation of cytoplasmic translation initiation complex,Other
8,Pv,PvWBCH1.8KG137800.1.v1.1,OG0022377,2.9575432008,Up,NADH-ubiquinone reductase complex 1 MLRQ subunit,NDUFS1,NA,Metabolism / osmoregulation
8,Sn,Sn00001aa010391_T001,NA,2.4753443371,Up,UDP-glucose 4-epimerase GEPI48,UDP-glucose 4-epimerase,galactose metabolic process,Metabolism / osmoregulation
8,Trip19,Td00001aa023916_T001,OG0014428,3.2226500225,Up,Polygalacturonase inhibitor,PG inhibitor,chromatin remodeling,Other
8,Trip22,Td00001aa012719_T001,OG0010710,3.4911594666,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
9,Ag,Ag00001aa020048_T001,OG0008483,2.451540833,Up,NA,NA,NA,Other
9,Mg,Misin01G106600.1.v7.1,OG0021805,2.0414640206,Up,Luminal-binding protein,HSP70 BIP2,protein folding,Protein folding / stability
9,Pv,PvWBCH1.5KG009700.1.v1.1,OG0012263,2.945982186,Up,Water stress and hypersensitive response domain-containing protein,LEA14-A,response to desiccation,Protein aggregation / membrane stability
9,Sn,Sn00001aa092671_T001,OG0013697,2.4081683707,Up,Aldehyde reductase,Aldose reductase,L-ascorbic acid biosynthetic process,Detoxification / ROS scavenging
9,Trip19,Td00001aa014362_T001,OG0016578,3.1080225625,Up,"Heat shock protein, chloroplastic","HSP, chloroplastic",response to heat,Protein folding / stability
9,Trip22,Td00001aa026590_T004,OG0016454,3.3104892364,Up,"39 kDa EF-Hand containing protein, putative, expressed",EFHD,NA,Cold signal transduction
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895372,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
10,Mg,Misin01G486600.1.v7.1,OG0015799,2.0226196017,Up,Beta-amylase,Beta-amylase,starch metabolic process,Metabolism / osmoregulation
10,Pv,PvWBCH1.9NG029700.1.v1.1,OG0012032,2.8669079781,Up,Actin-depolymerizing factor 3,Actin-depolymerizing 3,actin filament depolymerization,Cytoskeleton stability
10,Sn,Sn00001aa030610_T001,OG0022407,2.3233700691,Up,ATP-dependent 6-phosphofructokinase 2,ATP-PFK 2,fructose 6-phosphate metabolic process,Metabolism / osmoregulation
10,Trip19,Td00001aa004040_T001,OG0009809,3.0662614423,Up,Dehydrin,Dehydrin,cold acclimation,Protein aggregation / membrane stability
10,Trip22,Td00001aa033192_T001,OG0000288,3.1060043983,Up,16.9 kDa class I heat shock protein 1,HSP16.9A,protein folding,Protein folding / stability
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
11,Mg,Misin12G096700.1.v7.1,OG0039078,1.9997715628,Up,NADP-dependent oxidoreductase domain-containing protein,Aldose reductase,NA,Detoxification / ROS scavenging
11,Pv,PvWBCH1.3KG337600.1.v1.1,OG0002524,2.8288346495,Up,GRAM domain-containing protein,GEM-like protein 5,maintenance of seed dormancy by absisic acid,Other
11,Sn,Sn00001aa010629_T001,OG0008528,2.3115031155,Up,Safener induced1,Protein IN2-1,NA,Detoxification / ROS scavenging
11,Trip19,Td00001aa026590_T004,OG0016454,2.949908398,Up,"39 kDa EF-Hand containing protein, putative, expressed",EFHD,NA,Cold signal transduction
