Ag00001aa009144_T001	sp|P35493|PMGI_RICCO	82.2	0.0	945
Ag00001aa019394_T001	sp|P09189|HSP7C_PETHY	89.5	0.0	1147
Ag00001aa052871_T001	sp|Q7XUW5|HS232_ORYSJ	68.6	2.43e-88	262
Ag00001aa076340_T001	sp|P28522|RIPX_MAIZE	45.7	4.53e-64	205
Ag00001aa099855_T001	sp|P02879|RICI_RICCO	47.9	2.75e-154	459
Ag00001aa106444_T001	sp|P09444|LEA34_GOSHI	47.4	1.60e-20	88.6
Ag00001aa114791_T001	sp|Q6Z6L5|HSP19_ORYSJ	71.4	4.23e-79	236
Ag00001aa116892_T001	sp|P04399|RIP2_HORVU	53.7	2.06e-92	278
Ag00001aa122642_T001	sp|P01053|ICI2_HORVU	61.9	2.23e-19	80.1
Ag00001aa129885_T002	sp|P09444|LEA34_GOSHI	47.4	2.23e-20	88.2
Ag00001aa157044_T001	sp|P09444|LEA34_GOSHI	48.1	3.00e-21	90.5
Misin01G389000.1.v7.1	sp|Q05736|PR1_ASPOF	40.5	2.02e-30	110
Misin03G046400.1.v7.1	sp|Q42529|TRPA2_ARATH	70.5	8.78e-137	393
Misin05G140500.1.v7.1	sp|Q0WMZ5|OP162_ARATH	53.1	3.39e-55	175
Misin07G047300.1.v7.1	sp|Q9XI37|PV42A_ARATH	44.9	6.05e-97	298
Misin12G126200.1.v7.1	sp|P49081|MASY_MAIZE	94.8	0.0	1056
Misin13G081800.1.v7.1	sp|P09444|LEA34_GOSHI	47.8	2.10e-20	88.2
MisinT036500.1.v7.1	sp|P43284|TRPB2_MAIZE	97.6	1.55e-297	811
MisinT206400.1.v7.1	sp|Q5VQG4|RFS_ORYSJ	83.4	0.0	1352
PvWBCH1.7KG090500.2.v1.1	sp|Q08047|GLGB_MAIZE	76.7	0.0	1302
Sn00001aa008159_T001	sp|B0R0B1|ZNG1_DANRE	35.4	1.78e-62	211
Sn00001aa010391_T001	sp|Q8LNZ3|UGE1_ORYSJ	85.5	3.37e-226	623
Sn00001aa065278_T001	sp|Q43139|F16P2_SACHY	85.9	1.09e-225	620
Sn00001aa067886_T001	sp|O64393|WHW2_WHEAT	79.8	4.74e-71	213
Sn00001aa069853_T001	sp|Q6Z6L5|HSP19_ORYSJ	39.9	2.81e-21	89.0
Sn00001aa072988_T001	sp|Q654V6|ODPA2_ORYSJ	62.3	1.11e-148	429
Sn00001aa073864_T002	sp|Q9MAH3|DJ1B_ARATH	65.9	7.24e-170	486
Sn00001aa089776_T001	sp|O22765|TRPA1_ARATH	69.7	1.65e-97	290
Td00001aa013828_T001	sp|P09444|LEA34_GOSHI	54.1	7.08e-71	222
Td00001aa017063_T004	sp|A4UHT7|SALR_PAPBR	47.3	5.82e-83	255
Td00001aa020796_T002	sp|Q69T99|GLGS1_ORYSJ	88.0	0.0	882
Td00001aa022969_T001	sp|P23901|ALDR_HORVU	87.8	6.23e-217	596
Td00001aa024452_T001	sp|A2XMN2|GSTU1_ORYSI	65.7	6.28e-102	297
Td00001aa029174_T001	sp|P29022|CHIA_MAIZE	90.5	3.77e-186	514
Td00001aa033307_T001	sp|P27777|HS16A_ORYSJ	86.2	2.07e-78	231
Td00001aa042603_T001	sp|P10968|AGI1_WHEAT	61.7	4.52e-15	74.3
