protein_id	protein_id_base	orthogroup	short_name	species	log2FC	padj	description
Ag00001aa002576_T001	Ag00001aa002576	OG0000110	Ag00001aa002576	Ag	0.5170236720645808	0.956654496694318	Heat shock protein 90
Ag00001aa002578_T001	Ag00001aa002578	OG0000110	Ag00001aa002578	Ag	0.11103131238874396	0.989681356114419	Heat shock protein 90
Ag00001aa007822_T001	Ag00001aa007822	OG0011004	Ag00001aa007822	Ag	-1.1456053222468994	0.0470481969298305	SHSP domain-containing protein
Ag00001aa009517_T001	Ag00001aa009517	OG0000034	Ag00001aa009517	Ag	0.776525151421912	0.372216567010805	Heat shock protein 70
Ag00001aa009579_T001	Ag00001aa009579	OG0001787	Ag00001aa009579	Ag	1.227741075839128	0.0165152325061983	Small heat shock protein HSP
Ag00001aa009716_T001	Ag00001aa009716	OG0016578	Ag00001aa009716	Ag	1.7523204284596705	0.00588758169832603	Small heat shock protein 26
Ag00001aa009888_T001	Ag00001aa009888	OG0021022	Ag00001aa009888	Ag	1.3561438102252754	0.0386516085968259	Heat shock 70 kDa protein 8
Ag00001aa011538_T001	Ag00001aa011538	OG0002396	Ag00001aa011538	Ag	0.4646682670034442	1	Heat shock 70 kDa protein, mitochondrial
Ag00001aa011817_T001	Ag00001aa011817	OG0000110	Ag00001aa011817	Ag	0.04963076772460043	1	Heat shock protein 90
Ag00001aa011864_T001	Ag00001aa011864	OG0009129	Ag00001aa011864	Ag	0.08270258933024935	1	Heat shock 70 kDa protein, mitochondrial
Ag00001aa014453_T001	Ag00001aa014453	OG0000288	Ag00001aa014453	Ag	2.3881895371560837	0.0182821379212072	Class I heat shock protein 1
Ag00001aa016177_T002	Ag00001aa016177	OG0000034	Ag00001aa016177	Ag	1.0908534304511135	0.0672049938477323	Heat shock protein 70
Ag00001aa017786_T001	Ag00001aa017786	OG0010266	Ag00001aa017786	Ag	-1.5437195184892747	0.0315334853433296	15.7 kDa heat shock protein, peroxisomal-like
Ag00001aa019017_T001	Ag00001aa019017	OG0021022	Ag00001aa019017	Ag	1.05797006863733	0.0113333776272105	Heat shock 70 kDa protein 8
Ag00001aa022279_T001	Ag00001aa022279	OG0000034	Ag00001aa022279	Ag	1.892196710465485	0.0398858821811321	Heat shock protein 70
Ag00001aa023812_T001	Ag00001aa023812	OG0020906	Ag00001aa023812	Ag	-1.0709665213541435	0.021883683304724	SHSP domain-containing protein
Ag00001aa028038_T001	Ag00001aa028038	OG0012144	Ag00001aa028038	Ag	-0.888968687611256	0.0264552610002779	SHSP domain-containing protein
Ag00001aa030648_T002	Ag00001aa030648	OG0004387	Ag00001aa030648	Ag	-0.35107444054687875	0.818751845619589	Heat shock 70 kDa protein 17
Ag00001aa031230_T001	Ag00001aa031230	OG0007520	Ag00001aa031230	Ag	0.8968530728967068	0.60791538946066	17.4 kDa class III heat shock protein
Ag00001aa034124_T002	Ag00001aa034124	OG0007848	Ag00001aa034124	Ag	-1.6038405109268454	0.0710118551530294	SHSP domain-containing protein
Ag00001aa034482_T001	Ag00001aa034482	OG0000110	Ag00001aa034482	Ag	-0.08314123530024586	1	Heat shock protein 90
Ag00001aa038464_T002	Ag00001aa038464	OG0000034	Ag00001aa038464	Ag	0.9358368736840252	0.00305750071933148	Heat shock protein 70
