Ag_peptides	Ag_protein	Mg_protein_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Ag00001aa121662_T001_1	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	22	0	0	1	22	197	218	2.31e-9	49.3
Ag00001aa121662_T001_2	Ag00001aa121662_T001	Misin01G145800.1.v7.1	100	22	0	0	1	22	367	388	0.000000883	42
Ag00001aa121662_T001_3	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	24	0	0	1	24	146	169	0.0000000122	47.4
Ag00001aa121662_T001_6	Ag00001aa121662_T001	Misin01G145800.1.v7.1	100	21	0	0	1	21	590	610	0.00000215	40.8
Ag00001aa121662_T001_10	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	174	189	0.000863	33.1
Ag00001aa121662_T001_11	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	557	572	0.00000576	39.3
Ag00001aa121662_T001_12	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	557	572	0.00000576	39.3
Ag00001aa121662_T001_19	Ag00001aa121662_T001	Misin01G145800.1.v7.1	100	22	0	0	1	22	589	610	0.000000472	42.7
Ag00001aa121662_T001_20	Ag00001aa121662_T001	Misin01G145800.1.v7.1	100	22	0	0	1	22	426	447	0.0000000206	46.6
Ag00001aa121662_T001_22	Ag00001aa121662_T001	Misin15G179100.1.v7.1	100	17	0	0	1	17	740	756	0.000488	33.9
Ag00001aa121662_T001_23	Ag00001aa121662_T001	Misin15G179100.1.v7.1	100	17	0	0	1	17	740	756	0.000488	33.9
Ag00001aa121662_T001_24	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	21	0	0	1	21	428	448	0.0000000937	44.7
Ag00001aa121662_T001_26	Ag00001aa121662_T001	Misin01G145800.1.v7.1	100	17	0	0	1	17	477	493	0.0000398	37
Ag00001aa121662_T001_29	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	19	0	0	1	19	719	737	5.06e-9	48.1
Ag00001aa121662_T001_30	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	28	0	0	1	28	495	522	5.5e-14	62.8
Ag00001aa121662_T001_31	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	28	0	0	1	28	495	522	5.5e-14	62.8
Ag00001aa121662_T001_32	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	23	0	0	1	23	298	320	0.0000000062	48.1
Ag00001aa121662_T001_35	Ag00001aa121662_T001	Misin01G145800.1.v7.1	100	15	0	0	1	15	618	632	0.0000356	37
Ag00001aa121662_T001_38	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	17	0	0	1	17	254	270	0.0000744	36.2
Ag00001aa121662_T001_43	Ag00001aa121662_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	39	56	5.17e-10	48.1
Ag00001aa121662_T001_44	Ag00001aa121662_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	39	56	5.17e-10	48.1
Ag00001aa121662_T001_45	Ag00001aa121662_T001	Misin15G179100.1.v7.1	100	16	0	0	1	16	741	756	0.000631	33.5
Ag00001aa121662_T001_46	Ag00001aa121662_T001	Misin15G179100.1.v7.1	100	16	0	0	1	16	741	756	0.000631	33.5
Ag00001aa121662_T001_47	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	690	705	0.00000421	39.7
Ag00001aa121662_T001_49	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	26	0	0	1	26	56	81	3.96e-12	57.4
Ag00001aa121662_T001_50	Ag00001aa121662_T001	Misin14G168800.1.v7.1	100	26	0	0	1	26	56	81	3.96e-12	57.4
Ag00001aa121662_T001_51	Ag00001aa121662_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	9	26	0.000000017	44.3
Ag00001aa121662_T001_52	Ag00001aa121662_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	9	26	0.000000017	44.3
Ag00001aa096403_T001_1	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	17	0	0	1	17	227	243	0.00000611	39.3
Ag00001aa096403_T001_5	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	24	0	0	1	24	431	454	1.53e-10	52.8
Ag00001aa096403_T001_9	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	24	0	0	1	24	5	28	1.03e-12	58.9
Ag00001aa096403_T001_10	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	25	0	0	1	25	430	454	4.61e-11	54.3
Ag00001aa096403_T001_11	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	27	0	0	1	27	575	601	1.99e-11	55.5
Ag00001aa096403_T001_12	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	29	0	0	1	29	575	603	1.8e-12	58.5
Ag00001aa096403_T001_14	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	26	0	0	1	26	576	601	1.24e-10	53.1
Ag00001aa096403_T001_15	Ag00001aa096403_T001	Misin01G106600.1.v7.1	100	17	0	0	1	17	213	229	0.0000213	37.7
