Orthogroup	Td_ID	Td-FL_9056069_6	Data	Zm_ID
OG0005337	Td00001aa001030	Td00001aa001030_T002	Zm00001eb000020_P003	Zm00001eb000020
OG0005337	Td00001aa001030	Td00001aa001030_T001	Zm00001eb000020_P003	Zm00001eb000020
OG0010811	Td00001aa001027	Td00001aa001027_T001	Zm00001eb000020_P001	Zm00001eb000020
OG0008149	Td00001aa040778	Td00001aa040778_T001	Zm00001eb000100_P001	Zm00001eb000100
OG0004712	Td00001aa013402	Td00001aa013402_T001	Zm00001eb000170_P004	Zm00001eb000170
OG0004712	Td00001aa013402	Td00001aa013402_T001	Zm00001eb000170_P003	Zm00001eb000170
OG0004712	Td00001aa013402	Td00001aa013402_T001	Zm00001eb000170_P002	Zm00001eb000170
OG0022445	Td00001aa013405	Td00001aa013405_T002	Zm00001eb000190_P001	Zm00001eb000190
OG0022444	Td00001aa013404	Td00001aa013404_T001	Zm00001eb000200_P001	Zm00001eb000200
OG0004713	Td00001aa013409	Td00001aa013409_T004	Zm00001eb000210_P001	Zm00001eb000210
OG0004713	Td00001aa013409	Td00001aa013409_T003	Zm00001eb000210_P002	Zm00001eb000210
OG0022446	Td00001aa013410	Td00001aa013410_T002	Zm00001eb000220_P001	Zm00001eb000220
OG0022447	Td00001aa013411	Td00001aa013411_T003	Zm00001eb000230_P001	Zm00001eb000230
OG0009276	Td00001aa013412	Td00001aa013412_T001	Zm00001eb000240_P002	Zm00001eb000240
OG0009276	Td00001aa013412	Td00001aa013412_T001	Zm00001eb000240_P003	Zm00001eb000240
OG0022448	Td00001aa013413	Td00001aa013413_T001	Zm00001eb000320_P002	Zm00001eb000320
OG0022449	Td00001aa013414	Td00001aa013414_T001	Zm00001eb000330_P001	Zm00001eb000330
OG0000183	Td00001aa013419	Td00001aa013419_T004	Zm00001eb000340_P002	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T004	Zm00001eb000340_P001	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T005	Zm00001eb000340_P002	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T005	Zm00001eb000340_P001	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T001	Zm00001eb000340_P002	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T001	Zm00001eb000340_P001	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T003	Zm00001eb000340_P002	Zm00001eb000340
OG0000183	Td00001aa013419	Td00001aa013419_T003	Zm00001eb000340_P001	Zm00001eb000340
OG0022450	Td00001aa013420	Td00001aa013420_T001	Zm00001eb000370_P001	Zm00001eb000370
OG0022451	Td00001aa013421	Td00001aa013421_T001	Zm00001eb000380_P001	Zm00001eb000380
OG0009277	Td00001aa013422	Td00001aa013422_T001	Zm00001eb000390_P001	Zm00001eb000390
OG0009277	Td00001aa013422	Td00001aa013422_T002	Zm00001eb000390_P001	Zm00001eb000390
OG0022453	Td00001aa013424	Td00001aa013424_T001	Zm00001eb000400_P001	Zm00001eb000400
OG0022452	Td00001aa013423	Td00001aa013423_T001	Zm00001eb000410_P001	Zm00001eb000410
OG0004714	Td00001aa013425	Td00001aa013425_T001	Zm00001eb000420_P003	Zm00001eb000420
OG0004714	Td00001aa013425	Td00001aa013425_T001	Zm00001eb000420_P002	Zm00001eb000420
OG0004714	Td00001aa013425	Td00001aa013425_T001	Zm00001eb000420_P004	Zm00001eb000420
OG0022454	Td00001aa013429	Td00001aa013429_T001	Zm00001eb000430_P001	Zm00001eb000430
OG0009278	Td00001aa013428	Td00001aa013428_T001	Zm00001eb000440_P001	Zm00001eb000440
OG0009278	Td00001aa013428	Td00001aa013428_T001	Zm00001eb000440_P003	Zm00001eb000440
OG0022455	Td00001aa013430	Td00001aa013430_T001	Zm00001eb000450_P001	Zm00001eb000450
OG0022457	Td00001aa013432	Td00001aa013432_T001	Zm00001eb000460_P001	Zm00001eb000460
OG0022456	Td00001aa013431	Td00001aa013431_T001	Zm00001eb000470_P001	Zm00001eb000470
OG0004715	Td00001aa013433	Td00001aa013433_T002	Zm00001eb000480_P001	Zm00001eb000480
OG0004715	Td00001aa013433	Td00001aa013433_T002	Zm00001eb000480_P004	Zm00001eb000480
OG0004715	Td00001aa013433	Td00001aa013433_T002	Zm00001eb000480_P002	Zm00001eb000480
OG0012985	Td00001aa025391	Td00001aa025391_T001	Zm00001eb000490_P002	Zm00001eb000490
OG0022458	Td00001aa013434	Td00001aa013434_T001	Zm00001eb000490_P003	Zm00001eb000490
OG0004716	Td00001aa013435	Td00001aa013435_T001	Zm00001eb000500_P001	Zm00001eb000500
OG0004716	Td00001aa013435	Td00001aa013435_T001	Zm00001eb000500_P003	Zm00001eb000500
OG0004716	Td00001aa013435	Td00001aa013435_T001	Zm00001eb000500_P002	Zm00001eb000500
OG0022459	Td00001aa013438	Td00001aa013438_T001	Zm00001eb000510_P001	Zm00001eb000510
OG0022460	Td00001aa013438	Td00001aa013438_T002	Zm00001eb000510_P002	Zm00001eb000510
OG0000809	Td00001aa013439	Td00001aa013439_T002	Zm00001eb000520_P003	Zm00001eb000520
OG0000809	Td00001aa013439	Td00001aa013439_T001	Zm00001eb000520_P005	Zm00001eb000520
OG0000809	Td00001aa013439	Td00001aa013439_T001	Zm00001eb000520_P004	Zm00001eb000520
OG0000809	Td00001aa013439	Td00001aa013439_T001	Zm00001eb000520_P001	Zm00001eb000520
OG0000809	Td00001aa013439	Td00001aa013439_T001	Zm00001eb000520_P002	Zm00001eb000520
OG0000810	Td00001aa013441	Td00001aa013441_T003	Zm00001eb000540_P001	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T003	Zm00001eb000540_P004	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T003	Zm00001eb000540_P003	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T003	Zm00001eb000540_P002	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T002	Zm00001eb000540_P001	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T002	Zm00001eb000540_P004	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T002	Zm00001eb000540_P003	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T002	Zm00001eb000540_P002	Zm00001eb000540
OG0000810	Td00001aa013441	Td00001aa013441_T001	Zm00001eb000540_P001	Zm00001eb000540
