orthogroup	protein_id	description
OG0000012	Td00001aa039642_T001	Actin
OG0000014	Ag00001aa002239_T001	NA
OG0000014	PvWBCH1.1KG289200.1.v1.1	NA
OG0000014	Td00001aa019942_T001	Histone H2A/H2B/H3 domain-containing protein
OG0000017	PvWBCH1.4KG239800.1.v1.1	Tubulin beta chain
OG0000017	PvWBCH1.5KG130100.1.v1.1	Tubulin beta chain
OG0000017	PvWBCH1.5KG340100.1.v1.1	Tubulin beta chain
OG0000017	Sn00001aa021927_T001	Tubulin beta chain
OG0000017	Td00001aa008491_T001	Tubulin beta chain
OG0000017	Td00001aa009575_T001	Tubulin beta chain
OG0000017	Td00001aa013434_T001	Tubulin beta chain
OG0000017	Td00001aa018507_T001	Tubulin beta chain
OG0000017	Td00001aa025123_T001	Tubulin beta chain
OG0000017	Td00001aa027665_T001	Tubulin beta chain
OG0000017	Td00001aa034793_T001	Tubulin beta chain
OG0000034	Ag00001aa022279_T001	Heat shock protein 70
OG0000034	Ag00001aa047169_T001	Heat shock protein 70
OG0000034	PvWBCH1.5KG363600.1.v1.1	Heat shock protein 70
OG0000034	PvWBCH1.5NG350300.1.v1.1	Heat shock protein 70
OG0000034	Td00001aa019280_T001	Heat shock protein 70
OG0000034	Td00001aa024202_T001	Heat shock protein 70
OG0000047	MisinT397300.1.v7.1	Tubulin alpha chain
OG0000047	PvWBCH1.3KG248000.1.v1.1	Tubulin alpha chain
OG0000047	PvWBCH1.9KG097200.1.v1.1	Tubulin alpha chain
OG0000047	PvWBCH1.9NG063900.1.v1.1	Tubulin alpha chain
OG0000047	Sn00001aa000746_T001	Tubulin alpha chain
OG0000047	Td00001aa000549_T001	Tubulin alpha chain
OG0000047	Td00001aa024805_T002	Tubulin alpha chain
OG0000047	Td00001aa027429_T002	Tubulin alpha chain
OG0000047	Td00001aa027648_T001	Tubulin alpha chain
OG0000059	PvWBCH1.1KG237200.1.v1.1	Phenylalanine ammonia-lyase
OG0000059	PvWBCH1.1KG237300.1.v1.1	Phenylalanine ammonia-lyase
OG0000060	Td00001aa036572_T002	E2 ubiquitin-conjugating protein UBC5
OG0000088	Misin01G032900.1.v7.1	ADP-ribosylation factor
OG0000110	Ag00001aa156538_T001	Heat shock protein 83
OG0000110	Td00001aa041578_T002	Heat shock protein 83
OG0000116	Td00001aa031102_T001	Calmodulin-7 isoform X1
OG0000161	Ag00001aa122903_T001	S-adenosylmethionine synthase
OG0000161	Misin05G145900.1.v7.1	S-adenosylmethionine synthase
OG0000161	MisinT386500.1.v7.1	S-adenosylmethionine synthase
OG0000161	Td00001aa009680_T001	S-adenosylmethionine synthase
OG0000161	Td00001aa030296_T001	S-adenosylmethionine synthase
OG0000161	Td00001aa042790_T001	S-adenosylmethionine synthase
OG0000185	PvWBCH1.2KG082400.1.v1.1	NA
OG0000185	Td00001aa020748_T003	NA
OG0000197	PvWBCH1.3NG219800.1.v1.1	Ras- protein RABE1c
OG0000200	PvWBCH1.7KG055700.1.v1.1	Probable aldo-keto reductase 2
OG0000224	PvWBCH1.1KG063300.1.v1.1	H(+)-exporting diphosphatase
OG0000224	PvWBCH1.4KG219500.1.v1.1	H(+)-exporting diphosphatase
OG0000227	Td00001aa001768_T001	60S ribosomal protein L34
OG0000229	Ag00001aa040662_T001	Glutamine synthetase
OG0000252	PvWBCH1.9KG207500.1.v1.1	ALOG domain-containing protein
OG0000260	Td00001aa039925_T001	Peroxidase
OG0000269	Td00001aa006424_T002	Amino acid transporter transmembrane domain-containing protein
OG0000286	PvWBCH1.9KG499400.1.v1.1	Cell division cycle protein 48 homolog
OG0000286	Td00001aa013792_T002	Cell division cycle protein 48 homolog
OG0000288	Ag00001aa014453_T001	Class I heat shock protein 1
OG0000288	Ag00001aa078823_T001	Class I heat shock protein 1
OG0000288	Ag00001aa097918_T001	Class I heat shock protein 1
OG0000288	Ag00001aa097924_T001	Class I heat shock protein 1
OG0000288	Ag00001aa118595_T001	Small heat shock protein HSP
OG0000288	Ag00001aa143736_T001	Class I heat shock protein 1
OG0000288	Sn00001aa041377_T001	Class I heat shock protein 1
OG0000288	Td00001aa033192_T001	16.9 kDa class I heat shock protein 1
OG0000288	Td00001aa033307_T001	Class I heat shock protein 1
OG0000288	Td00001aa033308_T001	Class I heat shock protein 1
