qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
Sn00001aa000144_T001	2099.54272706	2.56348775497	4	4	1.44080599471	0.0205784183505	0.00411710783137	Blue fluorescent1	
Sn00001aa000144_T001	1760.81219133	25.8527991929	41	1446	1.38463761905	0.170401201137	5.29571282876e-06	Glycosyl transferase family 3 domain-containing protein	
Sn00001aa000144_T001	939.102249281	2.80864447771	4	60	1.00878685125	0.081407365402	2.39383846946e-06	Phosphoribosylanthranilate transferase	
Sn00001aa000144_T001	251.136378469	19.1768973434	31	39083	0.737409116938	0.0885929217697	1.58506381442e-05	Anthranilate phosphoribosyltransferase, chloroplastic	
Sn00001aa000544_T001	2054.26113091	0.574670910712	1	12	1.42196514426	0.0193591327807	1.75763044001e-05	RAB GTPase homolog A4A	
Sn00001aa000544_T001	1833.34735041	0.592212696665	1	16	1.34082142104	0.032985812759	5.6364769169e-09	GTP-BINDING protein 3	
Sn00001aa000544_T001	472.660839305	0.595014190521	1	243	0.787842442867	0.0165624650501	3.34380794017e-08	Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase	
Sn00001aa000544_T001	306.130932955	0.60202085256	1	593	0.712452373182	0.0	0.0	Ras-related protein Rab-25	
Sn00001aa000746_T001	1145.88371834	68.2061508074	100	16297	1.14043093731	0.173729589126	3.8386712701e-05	Tubulin alpha chain	
Sn00001aa001175_T001	801.854344724	62.2132145166	97	32254	1.00847999876	0.184409752054	5.46140167793e-05	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	
Sn00001aa001519_T001	888.889380634	41.4432311391	64	11995	1.03247196663	0.1639906844	5.75820828771e-05	Clp R domain-containing protein	
Sn00001aa001519_T001	239.76089206	18.2611275343	28	31987	0.709998450694	0.0454604450416	2.89991866965e-06	Chaperone protein ClpB3, chloroplastic	
Sn00001aa002111_T004	1113.6616126	1.26866744459	2	10	1.12828371773	0.175130252926	1.93196497846e-06	39 kDa EF-Hand containing protein, putative, expressed	
Sn00001aa002111_T004	1041.81154437	1.1868170095	2	5	1.07161626081	0.122421768335	0.000405291999109	SnRK2-interacting calcium sensor,SCS	
Sn00001aa002111_T004	501.242829431	0.571009876668	1	2	0.826370638303	0.0676858587104	7.07188486931e-08	Glycerol-3-phosphate dehydrogenase-2C mitochondrial	
Sn00001aa002111_T004	264.605322019	41.9844483385	70	193785	0.696876531935	0.00195170400889	1.29023711497e-10	EF-hand domain-containing protein	
Sn00001aa002111_T004	105.334750078	1.19354894483	2	989	0.632133900031	0.0	0.0	CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED	
Sn00001aa003072_T001	902.542111953	58.1302652657	91	22680	1.17138970667	0.41575139247	0.00123119389543	Endoglucanase	
Sn00001aa003072_T001	329.653032393	2.52981250768	4	322	0.737901859471	0.0302653612352	2.52972642523e-07	Glycoside hydrolase family 9 domain-containing protein	
Sn00001aa003072_T001	10.805946792	0.5956737796	1	16357	0.595375937393	0.00198784423376	6.1592744431e-08	cellulase	
Sn00001aa004935_T002	1612.88897407	63.5002149746	95	7813	1.23728091775	0.00401005300329	1.76175862556e-09	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	
Sn00001aa005345_T001	175.919045697	0.528324689818	1	656	0.663355500303	0.00563751305873	5.15374986789e-09	Glycosyl hydrolase family protein (Fragment)	
Sn00001aa005345_T001	145.338664651	4.89213333357	9	82373	0.649341272495	0.00227510615922	1.85045973791e-08	Beta-glucosidase	
Sn00001aa005515_T001	261.676806903	28.095582124	47	143839	1.08022290659	0.727448880708	0.000213852570708	Glutathione S-transferase	
