qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
PvWBCH1.1KG050400.2.v1.1	1346.08400282	57.6452049799	92	10704	1.25666763827	0.241911792938	0.00103934441065	hydroxymethylbilane synthase	
PvWBCH1.1KG050400.2.v1.1	465.198175471	0.720462135574	1	14	0.77707817674	0.00188472822254	2.96980642445e-08	Porphobilinogen deaminase, chloroplastic	
PvWBCH1.1KG060800.1.v1.1	2485.65166253	12.7570742641	20	145	1.6001777805	0.0300319113024	1.01246895578e-05	Chaperone protein ClpB3, mitochondrial	
PvWBCH1.1KG060800.1.v1.1	954.54055325	44.5595612521	69	11995	1.057179964	0.161061364649	6.09717532146e-05	Clp R domain-containing protein	
PvWBCH1.1KG060800.1.v1.1	875.017727873	1.90165068769	3	26	0.956337230541	0.0308115416336	1.1162887143e-06	Chaperone protein ClpB 2	
PvWBCH1.1KG060800.1.v1.1	405.179467431	0.622654627898	1	13	0.754535515589	0.00464854184412	7.19848569263e-08	Sigma-54 interaction domain	
PvWBCH1.1KG060800.1.v1.1	0	0.608920030485	1	1	0.592447604457	0.00461812134592	7.17914487706e-09	AAA domain-containing protein/Clp_N domain-containing protein/AAA_2 domain-containing protein/ClpB_D2-small domain-containing protein (Fragment)	
PvWBCH1.1KG063300.1.v1.1	1663.3580396	64.023268173	96	7427	1.47465610857	0.413790313049	0.00020134046667	H(+)-exporting diphosphatase	
PvWBCH1.1KG065800.2.v1.1	2794.3638979	57.677413945	91	2282	2.01846124029	0.586255607038	1.04698574297e-05	cinnamyl-alcohol dehydrogenase	
PvWBCH1.1KG065800.2.v1.1	239.519592456	4.55768676724	7	1939	0.697783584726	0.0225956215103	3.41717530543e-06	Cinnamyl alcohol dehydrogenase	
PvWBCH1.1KG065800.2.v1.1	5.89386186596	0.646003040489	1	60858	0.592409870292	9.87274401075e-05	1.34963426943e-10	Enoyl reductase (ER) domain-containing protein	
PvWBCH1.1KG077700.1.v1.1	1020.52008616	2.38942755046	4	121	1.04337279114	0.08521648895	8.76868841003e-07	Heat shock protein, mitochondrial	
PvWBCH1.1KG077700.1.v1.1	363.190733632	14.0577465256	24	33061	0.996265247873	0.492418505242	0.000357332087377	SHSP domain-containing protein	
PvWBCH1.1KG083600.2.v1.1	2071.71692441	4.73251686036	8	36	1.49771294107	0.149084869051	0.000559535430401	NSP (Nuclear shuttle protein)-interacting GTPase	
PvWBCH1.1KG083600.2.v1.1	981.615158288	41.586101178	72	12381	0.982646063315	0.0	0.0	Arf-GAP domain-containing protein	
PvWBCH1.1KG083600.2.v1.1	660.539193491	2.39901513478	4	91	0.87355382971	0.0364826167587	0.000118271556016	Putative ADP-ribosylation factor GTPase-activating protein AGD14	
PvWBCH1.1KG083600.2.v1.1	406.41187466	3.63876834833	6	553	0.777586258611	0.0472102835306	2.92377284327e-06	Putative ARF GTPase-activating domain family protein isoform 1	
PvWBCH1.1KG083600.2.v1.1	11.7524485448	0.521771838999	1	13427	0.599386474983	0.00884053789079	5.24132204351e-07	ENTH domain-containing protein	
PvWBCH1.1KG099100.2.v1.1	2180.95377792	9.62093307413	15	171	1.52398484747	0.116224289052	0.000223155265036	Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1-like	
PvWBCH1.1KG099100.2.v1.1	1214.95967868	1.29608633609	2	2	1.09728816614	0.040045486818	0.00400933251728	Salmon silks1	
