protein_id	protein_id_base	orthogroup	short_name	species	log2FC	padj	description
Ag00001aa010286_T001	Ag00001aa010286	OG0008582	Ag00001aa010286	Ag	1.5714341158765093	0.314779888028316	Embryonic protein DC-8
Ag00001aa015171_T001	Ag00001aa015171	OG0008582	Ag00001aa015171	Ag	1.0982847957234223	0.0337246713565923	Embryonic protein DC-8
Ag00001aa018649_T001	Ag00001aa018649	OG0008582	Ag00001aa018649	Ag	1.729008870337863	0.00930750702063028	Embryonic protein DC-8
Ag00001aa021532_T001	Ag00001aa021532	OG0008582	Ag00001aa021532	Ag	1.674008608617225	0.0313766423007211	Embryonic protein DC-8
Ag00001aa022599_T001	Ag00001aa022599	OG0022536	Ag00001aa022599	Ag	2.069014677915181	0.410962455252071	Late embryogenesis abundant protein 1
Ag00001aa027609_T001	Ag00001aa027609	OG0024318	Ag00001aa027609	Ag	1.56900492681818	0.0282133710027534	Dehydrin
Ag00001aa028565_T001	Ag00001aa028565	OG0009444	Ag00001aa028565	Ag	2.249445341085839	0.00405002597770291	Low-temperature-induced 65 kDa protein
Ag00001aa030383_T001	Ag00001aa030383	OG0009809	Ag00001aa030383	Ag	2.1106973165449348	0.0683343179056598	Dehydrin
Ag00001aa039706_T001	Ag00001aa039706	OG0009291	Ag00001aa039706	Ag	-1.139235797371172	0.203036164283361	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Ag00001aa041516_T001	Ag00001aa041516	OG0009444	Ag00001aa041516	Ag	2.106348319505147	0.00588758169832603	Low-temperature-induced 65 kDa protein
Ag00001aa055898_T001	Ag00001aa055898	OG0009809	Ag00001aa055898	Ag	1.611172380044005	0.00403003622526269	Dehydrin
Ag00001aa058164_T001	Ag00001aa058164	OG0009809	Ag00001aa058164	Ag	1.95345150136626	0.231062700186199	Dehydrin
Ag00001aa064944_T001	Ag00001aa064944	OG0022470	Ag00001aa064944	Ag	2.339137384919585	0.00225512916095834	Late embryogenesis abundant protein 3
Ag00001aa065279_T001	Ag00001aa065279	OG0022194	Ag00001aa065279	Ag	0.12829340100981756	1	Desiccation protectant protein Lea
Ag00001aa069574_T002	Ag00001aa069574	OG0022470	Ag00001aa069574	Ag	2.595503660502742	0.00791923289200934	Late embryogenesis abundant protein 3
Ag00001aa102225_T001	Ag00001aa102225	OG0022536	Ag00001aa102225	Ag	2.0028825085331214	1	Late embryogenesis abundant protein 1
Ag00001aa103253_T001	Ag00001aa103253	OG0008582	Ag00001aa103253	Ag	1.0014419741739062	0.382347554139405	Embryonic protein DC-8
Ag00001aa111607_T001	Ag00001aa111607	OG0022194	Ag00001aa111607	Ag	-0.4500844463780446	1	Desiccation protectant protein Lea
Ag00001aa111933_T001	Ag00001aa111933	OG0022470	Ag00001aa111933	Ag	2.541019153133559	0.00186323575114624	Late embryogenesis abundant protein 3
Ag00001aa121107_T001	Ag00001aa121107	OG0009444	Ag00001aa121107	Ag	2.0721058004804194	0.00818696507132179	Low-temperature-induced 65 kDa protein
Ag00001aa142355_T001	Ag00001aa142355	OG0011762	Ag00001aa142355	Ag	-0.1187269385707514	1	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Ag00001aa142962_T001	Ag00001aa142962	OG0012263	Ag00001aa142962	Ag	1.582556003014061	0.372216567010805	Water stress and hypersensitive response domain-containing protein
Misin01G369600.1.v7.1	Misin01G369600.1.v7.1	OG0022536	Misin01G369600	Mg	1.1620842482251297	0.483526022211174	Late embryogenesis abundant protein 1
Misin01G469600.1.v7.1	Misin01G469600.1.v7.1	OG0008582	Misin01G469600	Mg	2.611845794872104	4.6552747012636e-4	Embryonic protein DC-8
Misin02G173100.1.v7.1	Misin02G173100.1.v7.1	OG0009444	Misin02G173100	Mg	1.825056923791063	0.00239062435580122	Low-temperature-induced 65 kDa protein
Misin05G015300.1.v7.1	Misin05G015300.1.v7.1	OG0012263	Misin05G015300	Mg	1.4617897896903558	0.132664765767868	Water stress and hypersensitive response domain-containing protein
Misin07G438800.1.v7.1	Misin07G438800.1.v7.1	OG0009809	Misin07G438800	Mg	0.667855509069501	0.364355788813844	Dehydrin
Misin08G235000.1.v7.1	Misin08G235000.1.v7.1	OG0009809	Misin08G235000	Mg	0.6524693200794329	1	Dehydrin
Misin16G248000.1.v7.1	Misin16G248000.1.v7.1	OG0022194	Misin16G248000	Mg	1.7977212366360331	0.00289496454708747	Desiccation protectant protein Lea
Misin17G219700.1.v7.1	Misin17G219700.1.v7.1	OG0022470	Misin17G219700	Mg	2.05031217075348	0.00195809546838156	Late embryogenesis abundant protein 3
Misin17G258000.1.v7.1	Misin17G258000.1.v7.1	OG0022194	Misin17G258000	Mg	-0.12756528669381578	1	Desiccation protectant protein Lea
PvWBCH1.1KG182300.1.v1.1	PvWBCH1.1KG182300.1.v1.1	OG0002545	PvWBCH1.1KG182300	Pv	3.1333991254171982	4.3897539035585e-4	Dehydrin
PvWBCH1.1KG267300.1.v1.1	PvWBCH1.1KG267300.1.v1.1	OG0009809	PvWBCH1.1KG267300	Pv	1.1309308698264486	0.764385015218581	Dehydrin
PvWBCH1.1NG251700.1.v1.1	PvWBCH1.1NG251700.1.v1.1	OG0009809	PvWBCH1.1NG251700	Pv	2.0717626693000915	1.9818176229473e-4	Dehydrin
PvWBCH1.3KG148200.1.v1.1	PvWBCH1.3KG148200.1.v1.1	OG0022194	PvWBCH1.3KG148200	Pv	1.4724877714627436	0.00533698654126045	Desiccation protectant protein Lea
PvWBCH1.3KG178100.1.v1.1	PvWBCH1.3KG178100.1.v1.1	OG0022470	PvWBCH1.3KG178100	Pv	2.9980149292696834	6.9205363636414e-4	Late embryogenesis abundant protein 3
PvWBCH1.3NG170900.1.v1.1	PvWBCH1.3NG170900.1.v1.1	OG0022470	PvWBCH1.3NG170900	Pv	3.6288902190278183	3.8319283596315e-4	Late embryogenesis abundant protein 3
PvWBCH1.5KG009700.1.v1.1	PvWBCH1.5KG009700.1.v1.1	OG0012263	PvWBCH1.5KG009700	Pv	2.945982185997463	0.00329401430459845	Water stress and hypersensitive response domain-containing protein
PvWBCH1.9KG018600.1.v1.1	PvWBCH1.9KG018600.1.v1.1	OG0009291	PvWBCH1.9KG018600	Pv	-0.63486740654747	0.582972999266391	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
PvWBCH1.9KG185700.1.v1.1	PvWBCH1.9KG185700.1.v1.1	OG0009444	PvWBCH1.9KG185700	Pv	2.580627910457265	4.6207307258412e-4	Low-temperature-induced 65 kDa protein
PvWBCH1.9KG488800.1.v1.1	PvWBCH1.9KG488800.1.v1.1	OG0008582	PvWBCH1.9KG488800	Pv	2.3239464554216678	0.0115091727062528	Embryonic protein DC-8
PvWBCH1.9NG181900.1.v1.1	PvWBCH1.9NG181900.1.v1.1	OG0009444	PvWBCH1.9NG181900	Pv	2.5563067842249767	0.00040611630780450003	Low-temperature-induced 65 kDa protein
Sn00001aa004579_T001	Sn00001aa004579	OG0009444	Sn00001aa004579	Sn	2.498761465671852	0.0399442766170372	Low-temperature-induced 65 kDa protein
Sn00001aa005195_T001	Sn00001aa005195	OG0024318	Sn00001aa005195	Sn	2.0734775096789684	0.155550155634203	Dehydrin
Sn00001aa010814_T002	Sn00001aa010814	OG0008582	Sn00001aa010814	Sn	1.8781367666269475	0.368624741046371	Embryonic protein DC-8
Sn00001aa021887_T001	Sn00001aa021887	OG0004448	Sn00001aa021887	Sn	3.00880955531959	0.0762282521987959	Embryonic protein DC-8
Sn00001aa050014_T001	Sn00001aa050014	OG0022809	Sn00001aa050014	Sn	2.4688439429746376	0.374752984143843	Seed albumin protein of a late embryogenesis abundant group 1
Sn00001aa056018_T001	Sn00001aa056018	OG0022470	Sn00001aa056018	Sn	2.8155754288625725	0.0441446150359094	Late embryogenesis abundant protein 3
Sn00001aa067140_T001	Sn00001aa067140	OG0002545	Sn00001aa067140	Sn	3.5874850104898672	0.214603433294817	Dehydrin
Sn00001aa091362_T001	Sn00001aa091362	OG0009809	Sn00001aa091362	Sn	1.9478531433870163	0.158626132836003	Dehydrin
Td00001aa004040_T001	Td00001aa004040	OG0009809	Td00001aa004040	Trip	2.94775029750144	3.14539115131224e-24	Dehydrin
Td00001aa004055_T001	Td00001aa004055	OG0015291	Td00001aa004055	Trip	-1.10159814000781	0.00540612051416545	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa008157_T001	Td00001aa008157	OG0024150	Td00001aa008157	Trip	-0.0513991525066443	0.698662625240492	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa013898_T001	Td00001aa013898	OG0008582	Td00001aa013898	Trip	1.20726817311203	0.111776960685358	Embryonic protein DC-8
