qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
Ag00001aa000654_T001	MF	0005484	SNAP receptor activity	10.8180080506	0.782273550829	1	99
Ag00001aa000654_T001	BP	0048278	vesicle docking	10.0042569334	0.763960437113	1	92
Ag00001aa000654_T001	CC	0031201	SNARE complex	9.67953408873	0.756445508416	1	92
Ag00001aa000654_T001	MF	0000149	SNARE binding	9.32006327157	0.747977866306	2	92
Ag00001aa000654_T001	CC	0012505	endomembrane system	4.46943307268	0.611667809792	2	92
Ag00001aa000654_T001	BP	0006906	vesicle fusion	9.38915377158	0.749617862681	4	92
Ag00001aa000654_T001	CC	0005886	plasma membrane	2.3546480808	0.527507404889	5	93
Ag00001aa000654_T001	BP	0006887	exocytosis	8.45012008657	0.726783190603	7	92
Ag00001aa000654_T001	MF	0008168	methyltransferase activity	0.0476360085608	0.33639087998	7	1
Ag00001aa000654_T001	BP	0006886	intracellular protein transport	6.78018259602	0.682783140168	12	99
Ag00001aa000654_T001	BP	0032259	methylation	0.0454687453971	0.335661579061	33	1
Ag00001aa001505_T001	MF	0015267	channel activity	6.15427157827	0.664909319501	1	94
Ag00001aa001505_T001	BP	0055085	transmembrane transport	2.72912257606	0.544571216356	1	94
Ag00001aa001505_T001	CC	0005886	plasma membrane	1.12092762961	0.458428858879	1	40
Ag00001aa001505_T001	CC	0032991	protein-containing complex	0.0366170443856	0.332484862992	4	1
Ag00001aa001505_T001	BP	0006833	water transport	1.6454534603	0.490955633798	5	12
Ag00001aa001505_T001	MF	0005372	water transmembrane transporter activity	1.69808110441	0.49391076039	6	12
Ag00001aa001505_T001	BP	0051290	protein heterotetramerization	0.236223556603	0.37527131636	8	1
Ag00001aa001505_T001	MF	0005515	protein binding	0.0619644051035	0.340844128588	8	1
Ag00001aa001505_T001	BP	0051289	protein homotetramerization	0.183437162066	0.366888528085	10	1
Ag00001aa004029_T001	MF	0051213	dioxygenase activity	7.4967342187	0.702259992205	1	4
Ag00001aa004423_T002	BP	0042744	hydrogen peroxide catabolic process	9.52996141025	0.752941628601	1	99
Ag00001aa004423_T002	MF	0140825	lactoperoxidase activity	8.73655977951	0.733877398396	1	68
Ag00001aa004423_T002	CC	0005576	extracellular region	5.2944771611	0.638801292674	1	98
Ag00001aa004423_T002	CC	0005840	ribosome	0.0303357512657	0.329989718412	2	1
Ag00001aa004423_T002	BP	0006979	response to oxidative stress	7.26346308851	0.69602580139	4	99
Ag00001aa004423_T002	BP	0098869	cellular oxidant detoxification	6.9955080331	0.688739810023	5	100
Ag00001aa004423_T002	MF	0020037	heme binding	5.39391170186	0.641924044467	5	99
Ag00001aa004423_T002	MF	0046872	metal ion binding	2.45289399194	0.532108140021	8	99
Ag00001aa004820_T001	CC	0048046	apoplast	11.0124273868	0.786545874832	1	7
Ag00001aa004820_T001	BP	0009699	phenylpropanoid biosynthetic process	10.972068043	0.785662108105	1	6
Ag00001aa004820_T001	BP	0009987	cellular process	0.379406750269	0.394137395379	7	6
Ag00001aa004824_T001	CC	0048046	apoplast	11.0122134483	0.786541194398	1	6
Ag00001aa004824_T001	BP	0009699	phenylpropanoid biosynthetic process	10.9448478269	0.78506513667	1	5
Ag00001aa004824_T001	BP	0009987	cellular process	0.378465493462	0.394026385448	7	5
Ag00001aa004825_T001	CC	0048046	apoplast	11.0123552854	0.786544297441	1	7
Ag00001aa004825_T001	BP	0009699	phenylpropanoid biosynthetic process	10.9603847519	0.785405970568	1	6
Ag00001aa004825_T001	BP	0009987	cellular process	0.379002749904	0.394089765277	7	6
Ag00001aa005889_T001	MF	0003872	6-phosphofructokinase activity	11.0486457791	0.787337587541	1	6
Ag00001aa005889_T001	BP	0061615	glycolytic process through fructose-6-phosphate	10.68842869	0.779404718334	1	6
Ag00001aa005889_T001	CC	0005737	cytoplasm	0.816886022288	0.435934296902	1	3
Ag00001aa005889_T001	BP	0006002	fructose 6-phosphate metabolic process	9.32747238396	0.748154026219	2	5
Ag00001aa005889_T001	MF	0046872	metal ion binding	2.47578175129	0.533166640221	7	6
Ag00001aa005889_T001	MF	0005524	ATP binding	1.62051639038	0.489538880864	11	3
Ag00001aa006944_T001	MF	0070577	lysine-acetylated histone binding	12.8899357732	0.826005123228	1	1
Ag00001aa006944_T001	CC	0008023	transcription elongation factor complex	10.2545997331	0.769671113464	1	1
Ag00001aa006944_T001	BP	0045893	positive regulation of DNA-templated transcription	6.97263803774	0.688111536935	1	1
Ag00001aa006944_T001	MF	0003682	chromatin binding	8.66022267536	0.73199828115	5	1
