rank,species,protein_id,orthogroup,log2FC,DAP,description,BP
1,Ag,Ag00001aa069057_T001,OG0013692,2.7204973704823456,Up,Phospholipid-binding protein,NA
2,Ag,Ag00001aa124402_T001,OG0010710,2.7057567820497974,Up,chitinase,polysaccharide catabolic process
3,Ag,Ag00001aa071693_T001,OG0012032,2.685043089476681,Up,Actin-depolymerizing factor 2,actin filament depolymerization
4,Ag,Ag00001aa122642_T001,OG0011610,2.6470842126289535,Up,Subtilisin-chymotrypsin inhibitor-2A,response to wounding
5,Ag,Ag00001aa157044_T001,OG0016166,2.636682617168484,Up,SMP domain-containing protein,NA
6,Ag,Ag00001aa069574_T002,OG0022470,2.595503660502742,Up,Late embryogenesis abundant protein 3,cold acclimation
7,Ag,Ag00001aa111933_T001,OG0022470,2.541019153133559,Up,Late embryogenesis abundant protein 3,cold acclimation
8,Ag,Ag00001aa114791_T001,OG0002925,2.453649266043291,Up,NA,NA
9,Ag,Ag00001aa020048_T001,OG0008483,2.4515408330178317,Up,NA,NA
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895371560837,Up,Class I heat shock protein 1,protein folding
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117420255,Up,Class I heat shock protein 1,protein folding
12,Ag,Ag00001aa064944_T001,OG0022470,2.339137384919585,Up,Late embryogenesis abundant protein 3,cold acclimation
13,Ag,Ag00001aa120298_T001,OG0008270,2.283329168051641,Up,GH18 domain-containing protein,carbohydrate metabolic process
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656403565,Up,Class I heat shock protein 1,protein folding
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,protein folding
16,Ag,Ag00001aa028565_T001,OG0009444,2.249445341085839,Up,Low-temperature-induced 65 kDa protein,response to abscisic acid
17,Ag,Ag00001aa013246_T001,OG0005269,2.211012193485512,Up,Ribonuclease 1,anthocyanin-containing compound biosynthetic process
18,Ag,Ag00001aa143736_T001,OG0000288,2.125320473714413,Up,Class I heat shock protein 1,protein folding
19,Ag,Ag00001aa006944_T001,OG0020442,2.120351940365222,Up,NA,positive regulation of DNA-templated transcription
