orthogroup	protein_id	description
OG0021202	Td00001aa000001_T003	Mediator of RNA polymerase II transcription subunit 33A
OG0029608	Td00001aa000002_T001	Integrase catalytic domain-containing protein
OG0001860	Td00001aa000003_T001	Probable calcium-binding protein CML32
OG0014815	Td00001aa000004_T001	Acid phosphatase
OG0012001	Td00001aa000005_T001	Putative inactive receptor kinase
OG0004098	Td00001aa000006_T001	Translation initiation factor IF2/IF5 domain-containing protein
OG0022711	Td00001aa000007_T001	Non-specific serine/threonine protein kinase
OG0004097	Td00001aa000008_T001	Probable zinc-ribbon domain-containing protein
OG0009273	Td00001aa000010_T003	E3 ubiquitin-protein ligase SHPRH
OG0028940	Td00001aa000011_T001	"Transposon protein, putative, Mutator sub-class"
OG0000193	Td00001aa000012_T001	Reverse transcriptase zinc-binding domain-containing protein
OG0004096	Td00001aa000013_T001	WRKY domain-containing protein
OG0023015	Td00001aa000016_T001	Vacuolar-sorting receptor 1
OG0005305	Td00001aa000017_T002	B3 domain-containing transcription repressor VAL2
OG0002775	Td00001aa000018_T002	Transcription factor RF2b
OG0003331	Td00001aa000019_T001	F-box domain containing protein-like
OG0002774	Td00001aa000020_T001	PAP/OAS1 substrate-binding domain superfamily
OG0015923	Td00001aa000021_T002	Alpha-galactosidase
OG0004095	Td00001aa000023_T001	Transcription repressor
OG0014814	Td00001aa000024_T001	OVATE domain-containing protein
OG0012000	Td00001aa000025_T001	Potassium transporter
OG0011393	Td00001aa000026_T001	non-specific serine/threonine protein kinase
OG0006995	Td00001aa000027_T001	non-specific serine/threonine protein kinase
OG0009272	Td00001aa000031_T001	Peroxidase
OG0000433	Td00001aa000033_T001	Peroxidase
OG0002773	Td00001aa000034_T001	Peroxidase
OG0026852	Td00001aa000035_T001	Peroxidase
OG0009271	Td00001aa000036_T001	Transcription factor SCREAM2
OG0006994	Td00001aa000038_T001	ELM2 domain-containing protein
OG0021609	Td00001aa000039_T002	Pectinesterase
OG0005303	Td00001aa000040_T001	Ethylene-responsive transcription factor RAP2-3
OG0000595	Td00001aa000041_T001	Ribosomal protein L18e/L15P domain-containing protein
OG0001137	Td00001aa000042_T001	Ribosomal protein L22e
OG0013894	Td00001aa000044_T001	Ultraviolet-B-repressible protein
OG0016839	Td00001aa000045_T001	F-actin-capping protein subunit alpha
OG0001313	Td00001aa000047_T001	Ribosome biogenesis protein NSA2 homolog
OG0002374	Td00001aa000048_T001	Glycosyltransferase
OG0009268	Td00001aa000049_T001	Stress-related protein (Fragment)
OG0014526	Td00001aa000050_T002	Histone-arginine methyltransferase CARM1
OG0002373	Td00001aa000051_T001	Rapid alkalinization factor 1
OG0028126	Td00001aa000053_T002	Indole-3-acetic acid-amido synthetase GH3.9
OG0005299	Td00001aa000054_T001	HMA domain-containing protein
OG0019833	Td00001aa000056_T001	Flowering-promoting factor 1-like protein 3
OG0009265	Td00001aa000057_T001	Autophagy-related protein 18a
OG0011998	Td00001aa000058_T001	C2 domain-containing protein
OG0009264	Td00001aa000060_T001	Pentatricopeptide repeat-containing protein
OG0005298	Td00001aa000061_T002	CW-type Zinc Finger
OG0010552	Td00001aa000063_T001	Potassium transporter
OG0006991	Td00001aa000064_T001	Nucleolar protein 58
OG0003330	Td00001aa000065_T001	Frizzy panicle
OG0006990	Td00001aa000068_T001	Xylose isomerase
OG0023162	Td00001aa000069_T003	DNA polymerase
OG0021201	Td00001aa000071_T003	Receptor-like cytoplasmic kinase 185
OG0023013	Td00001aa000072_T005	Fungal lipase-like domain-containing protein
OG0004094	Td00001aa000073_T001	Zinc finger CCCH domain-containing protein 54
OG0019832	Td00001aa000074_T001	GDSL esterase/lipase
