"gene_td","gene_zm","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021","Zm00001eb330650",-0.274646653460064,0.620356261071281,0.186791661387013,"NS","NS","NS"
"Td00001aa000041","Zm00001eb330480",0.358086517134357,-0.163696155622704,0.646815810518188,"NS","NS","NS"
"Td00001aa000042","Zm00001eb330470",0.30943636313487,0.21975414677364,0.421625555311023,"NS","NS","NS"
"Td00001aa000068","Zm00001eb330180",0.204843751223453,0.361493223286735,0.269403921038101,"NS","NS","NS"
"Td00001aa000081","Zm00001eb330020",0.545370381201773,0.295061092715613,0.357179659642842,"NS","NS","NS"
"Td00001aa000082","Zm00001eb330010",0.213620045430633,0.152285570493134,0.946958655380529,"NS","NS","NS"
"Td00001aa000084","Zm00001eb329980",-0.13311773875421,0.229693868078614,0.710507746033822,"NS","NS","NS"
"Td00001aa000086","Zm00001eb329960",0.260198076368496,0.239421656746869,0.545535950569586,"NS","NS","NS"
"Td00001aa000108","Zm00001eb329730",-0.827835158654415,-0.548998692169326,0.225142579611496,"NS","NS","NS"
"Td00001aa000109","Zm00001eb329710",0.332113025576376,0.150558712071488,0.784664072193325,"NS","NS","NS"
"Td00001aa000119","Zm00001eb329590",-0.283669615612606,0.178080150729368,0.70133812254558,"NS","NS","NS"
"Td00001aa000122","Zm00001eb329550",0.14499307725311,1.76612932785318,7.00406829999112e-05,"NS","Up","NS"
"Td00001aa000125","Zm00001eb329520",-1.29745636601591,1.69293173614331,NA,"Down",NA,NA
"Td00001aa000146","Zm00001eb329270",-0.246199701198674,0.313164211669085,0.365387519391613,"NS","NS","NS"
"Td00001aa000149","Zm00001eb329240",-0.407621992274098,-1.10961900893471,0.00671152037546356,"NS","Down","NS"
"Td00001aa000157","Zm00001eb329150",-0.330372421535031,0.554412118643484,0.0198715570752554,"NS","NS","NS"
"Td00001aa000161","Zm00001eb329090",-0.44418938607766,0.43593157826361,0.21943182925649,"NS","NS","NS"
"Td00001aa000234","Zm00001eb328410",-0.518443691781518,0.340801881893553,0.41388655808534,"NS","NS","NS"
"Td00001aa000235","Zm00001eb328400",-0.2209148991614,-0.583485938557943,0.181824220355188,"NS","NS","NS"
"Td00001aa000236","Zm00001eb328390",1.12866969617372,3.57058358921911,1.01962623964457e-08,"Up","Up","Up"
"Td00001aa000271","Zm00001eb328080",-0.0290344445825285,-0.404487352291482,0.228369908348378,"NS","NS","NS"
"Td00001aa000272","Zm00001eb328070",-0.378363026531093,1.30161417014055,0.0125241378152379,"NS","Up","NS"
"Td00001aa000301","Zm00001eb327800",-0.429867290922598,-0.671025843818854,0.0045479039148948,"NS","NS","NS"
"Td00001aa000336","Zm00001eb327430",0.472118669204543,0.289155939431793,0.277988085909332,"NS","NS","NS"
"Td00001aa000346","Zm00001eb327330",0.46536899041462,0.0380840090874809,0.936350289857757,"NS","NS","NS"
"Td00001aa000350","Zm00001eb327290",0.279118970882132,0.074881997154341,0.91089826234385,"NS","NS","NS"
"Td00001aa000380","Zm00001eb327030",-0.294079981656887,-0.590934119866257,0.5055440266608,"NS","NS","NS"
"Td00001aa000432","Zm00001eb326640",0.0984452788174932,0.153028114699045,0.82552904179735,"NS","NS","NS"
"Td00001aa000441","Zm00001eb326560",-1.11556383427043,-2.4178839391975,NA,"NS",NA,"NS"
"Td00001aa000442","Zm00001eb326540",-0.306415083069813,1.60920757413701,0.039452532413928,"NS","Up","NS"
"Td00001aa000457","Zm00001eb326410",-0.051393624622311,0.0190304647051955,0.980009878844948,"NS","NS","NS"
"Td00001aa000466","Zm00001eb326230",0.252302047513788,-0.0507768021875973,0.88836420525306,"NS","NS","NS"
"Td00001aa000490","Zm00001eb325940",0.027287125133165,-0.0369151149874938,0.947235334670222,"NS","NS","NS"
"Td00001aa000499","Zm00001eb325880",-0.13657687807507,0.545192640555384,0.0259664702155905,"NS","NS","NS"
"Td00001aa000504","Zm00001eb325820",-0.2999727074264,1.65158163688686,7.70773849301686e-08,"NS","Up","NS"
"Td00001aa000547","Zm00001eb325270",-0.0767024401281531,-0.0797224963650378,0.857478334002413,"NS","NS","NS"
"Td00001aa000549","Zm00001eb325230",-1.79129524444636,0.569789644098523,0.189868015165751,"Down","NS","NS"
"Td00001aa000573","Zm00001eb325150",-0.262386219234289,0.0880145362411484,0.872721566301897,"NS","NS","NS"
"Td00001aa000601","Zm00001eb324850",0.512657430742397,0.380230528202641,0.463926547423617,"NS","NS","NS"
"Td00001aa000663","Zm00001eb324100",0.105117409106508,0.408970198810411,0.389510377310436,"NS","NS","NS"
"Td00001aa000684","Zm00001eb323810",0.424881518206327,0.325583692099624,0.276199983106233,"NS","NS","NS"
"Td00001aa000699","Zm00001eb323700",0.180013716128597,0.176448702694702,0.666401019504478,"NS","NS","NS"
"Td00001aa000706","Zm00001eb323620",-0.004206585633171,0.281868765730534,0.479404692119425,"NS","NS","NS"
"Td00001aa000708","Zm00001eb323600",0.264035956613083,0.459732308267837,0.156752610363877,"NS","NS","NS"
"Td00001aa000756","Zm00001eb323170",0.16938941461832,0.53672912195409,0.108150109324637,"NS","NS","NS"
"Td00001aa000777","Zm00001eb322950",0.310130323247967,-1.19777575214498,0.0400560660200054,"NS","Down","NS"
"Td00001aa000799","Zm00001eb322650",-0.343491545505003,0.34166228001704,0.369825991208511,"NS","NS","NS"
"Td00001aa000801","Zm00001eb322620",-0.787305176089579,0.347999569612552,0.227642464661635,"NS","NS","NS"
"Td00001aa000807","Zm00001eb322580",0.603916076057652,0.764640152872381,0.038998441225931,"NS","NS","NS"
"Td00001aa000820","Zm00001eb322470",-0.250219365481899,-0.0440009711956625,0.950331997944263,"NS","NS","NS"
"Td00001aa000830","Zm00001eb322370",0.229122788870867,-0.732984049973044,0.0140525324560461,"NS","NS","NS"
"Td00001aa000835","Zm00001eb322340",-0.261803427506601,0.0212569652351151,0.966759135013562,"NS","NS","NS"
"Td00001aa000845","Zm00001eb322210",0.258643917095294,-2.13957990782958,0.171896222739806,"NS","NS","NS"
"Td00001aa000864","Zm00001eb322060",-0.118718634543276,0.296778106160674,0.466321894257992,"NS","NS","NS"
"Td00001aa000866","Zm00001eb322040",-0.0833543926189215,0.482674987177145,0.0777903323646159,"NS","NS","NS"
"Td00001aa000868","Zm00001eb321990",-0.293441082248934,-0.0064567309814053,0.992600124047161,"NS","NS","NS"
"Td00001aa000869","Zm00001eb321980",-0.242299388535736,0.723597199237273,0.0409415931806215,"NS","NS","NS"
"Td00001aa000883","Zm00001eb321830",-0.572533965450662,-0.81461965203569,0.439062195661515,"NS","NS","NS"
"Td00001aa000920","Zm00001eb321360",-1.02142851647663,-0.9984015207352,0.0138283071672359,"Down","NS","NS"
"Td00001aa000926","Zm00001eb321330",0.501061649395165,0.569770612990307,0.0901848025520308,"NS","NS","NS"
"Td00001aa000967","Zm00001eb320870",-2.4301876854992,0.375764077466526,0.330141804830379,"Down","NS","NS"
"Td00001aa000997","Zm00001eb104590",-0.666109409920855,-0.3329813910983,0.487162415109593,"NS","NS","NS"
"Td00001aa001066","Zm00001eb319930",-0.549456031244427,0.246982344337834,0.538880456904205,"NS","NS","NS"
"Td00001aa001073","Zm00001eb331700",0.131705243921801,0.518504248025393,0.278221914723209,"NS","NS","NS"
"Td00001aa001084","Zm00001eb331770",-0.24177447331367,-0.752119310437347,0.0839158952851052,"NS","NS","NS"
"Td00001aa001111","Zm00001eb331970",0.104358825322308,-0.625807622873483,0.150927901915429,"NS","NS","NS"
"Td00001aa001113","Zm00001eb332000",-0.352731551074132,-0.040059459024681,0.959675342724436,"NS","NS","NS"
"Td00001aa001118","Zm00001eb332040",-0.310374173700864,-0.138842218943602,0.755057489581689,"NS","NS","NS"
"Td00001aa001127","Zm00001eb319820",-0.266970889457843,0.388034367442437,0.459189056544595,"NS","NS","NS"
"Td00001aa001141","Zm00001eb319680",0.116627352051774,0.124675139085958,0.77602725683216,"NS","NS","NS"
"Td00001aa001142","Zm00001eb319660",-0.419392714010002,0.140411127788986,0.826174343777004,"NS","NS","NS"
"Td00001aa001143","Zm00001eb319670",-0.741156132510703,-0.272102027529054,0.689925116206363,"NS","NS","NS"
"Td00001aa001145","Zm00001eb319630",0.010434966519388,-0.134351027693774,0.886248776345547,"NS","NS","NS"
"Td00001aa001210","Zm00001eb318870",-0.160483497393999,-1.26506699364393,0.005038949234653,"NS","Down","NS"
"Td00001aa001215","Zm00001eb318780",-0.61286807429131,-0.670761512840362,0.243659349530564,"NS","NS","NS"
"Td00001aa001237","Zm00001eb318540",-0.170899515410049,-0.162778841113139,0.735784308901707,"NS","NS","NS"
"Td00001aa001245","Zm00001eb318400",-0.477422803773205,0.175694975145125,0.655294091855562,"NS","NS","NS"
"Td00001aa001265","Zm00001eb318180",0.164057615640154,-0.484984778500598,0.455527398444805,"NS","NS","NS"
"Td00001aa001267","Zm00001eb318160",-0.299052183114762,0.253376375675767,0.6762209225541,"NS","NS","NS"
"Td00001aa001268","Zm00001eb318150",1.73772474526649,1.25453322315656,0.309921439565044,"Up","NS","NS"
"Td00001aa001283","Zm00001eb317910",0.165303736166903,0.24047202262021,0.54727519518373,"NS","NS","NS"
"Td00001aa001300","Zm00001eb317720",-0.223106212937194,0.206103632647268,0.590299564168834,"NS","NS","NS"
"Td00001aa001301","Zm00001eb317710",-0.275392240517324,0.68259204673916,0.260413075591606,"NS","NS","NS"
"Td00001aa001319","Zm00001eb317480",0.026608436143676,0.155731374277253,0.694713667289148,"NS","NS","NS"
"Td00001aa001322","Zm00001eb102250",0.466429326778566,-0.474170959569338,0.291330767623695,"NS","NS","NS"
"Td00001aa001355","Zm00001eb317090",-1.53327227649445,-1.29666730982594,1.16931438288901e-06,"Down","Down","Down"
"Td00001aa001373","Zm00001eb316910",0.243307604366518,0.508819503441408,0.447599017099452,"NS","NS","NS"
"Td00001aa001418","Zm00001eb316500",-0.108137150743551,-0.0309111605803898,0.954950116250525,"NS","NS","NS"
"Td00001aa001425","Zm00001eb316410",0.294559986297624,-0.524326617820181,0.307928766178026,"NS","NS","NS"
"Td00001aa001489","Zm00001eb315770",-0.668578590662571,0.660667740876593,0.00626527921951111,"NS","NS","NS"
"Td00001aa001495","Zm00001eb315710",-0.034555187407228,0.543877495070812,0.29386975758672,"NS","NS","NS"
"Td00001aa001498","Zm00001eb315650",-0.429558566409382,0.404649495379113,0.645029317517855,"NS","NS","NS"
"Td00001aa001519","Zm00001eb315420",-0.683741194506434,0.790462346830255,0.0044343858502523,"NS","NS","NS"
