protein_id,species,orthogroup,rank,log2FC,DAP,description,go_id,Term,PPV
Ag00001aa069057_T001,Ag,OG0013692,1,2.7204973704823456,Up,Phospholipid-binding protein,NA,NA,NA
Ag00001aa124402_T001,Ag,OG0010710,2,2.7057567820497974,Up,chitinase,GO:0000272,polysaccharide catabolic process,0.705267852507
Ag00001aa071693_T001,Ag,OG0012032,3,2.685043089476681,Up,Actin-depolymerizing factor 2,NA,NA,NA
Ag00001aa122642_T001,Ag,OG0011610,4,2.6470842126289535,Up,Subtilisin-chymotrypsin inhibitor-2A,NA,NA,NA
Ag00001aa157044_T001,Ag,OG0016166,5,2.636682617168484,Up,SMP domain-containing protein,NA,NA,NA
Ag00001aa069574_T002,Ag,OG0022470,6,2.595503660502742,Up,Late embryogenesis abundant protein 3,NA,NA,NA
Ag00001aa111933_T001,Ag,OG0022470,7,2.541019153133559,Up,Late embryogenesis abundant protein 3,GO:0009631,cold acclimation,0.645392507067
Ag00001aa114791_T001,Ag,OG0002925,8,2.453649266043291,Up,NA,NA,NA,NA
Ag00001aa020048_T001,Ag,OG0008483,9,2.4515408330178317,Up,NA,NA,NA,NA
Ag00001aa014453_T001,Ag,OG0000288,10,2.3881895371560837,Up,Class I heat shock protein 1,GO:0006457,protein folding,0.577105383792
Ag00001aa078823_T001,Ag,OG0000288,11,2.3801753117420255,Up,Class I heat shock protein 1,GO:0006457,protein folding,0.556172254577
Ag00001aa064944_T001,Ag,OG0022470,12,2.339137384919585,Up,Late embryogenesis abundant protein 3,GO:0009631,cold acclimation,0.449147515482
Ag00001aa120298_T001,Ag,OG0008270,13,2.283329168051641,Up,GH18 domain-containing protein,NA,NA,NA
Ag00001aa097918_T001,Ag,OG0000288,14,2.2764966656403565,Up,Class I heat shock protein 1,GO:0006457,protein folding,0.606852305724
Ag00001aa097924_T001,Ag,OG0000288,15,2.25368678273227,Up,Class I heat shock protein 1,GO:0006457,protein folding,0.535630812239
Ag00001aa028565_T001,Ag,OG0009444,16,2.249445341085839,Up,Low-temperature-induced 65 kDa protein,GO:0009737,response to abscisic acid,0.807268719963
Ag00001aa013246_T001,Ag,OG0005269,17,2.211012193485512,Up,Ribonuclease 1,NA,NA,NA
Ag00001aa143736_T001,Ag,OG0000288,18,2.125320473714413,Up,Class I heat shock protein 1,GO:0006457,protein folding,0.556299701565
Ag00001aa006944_T001,Ag,OG0020442,19,2.120351940365222,Up,NA,NA,NA,NA
Ag00001aa041516_T001,Ag,OG0009444,20,2.106348319505147,Up,Low-temperature-induced 65 kDa protein,GO:0009737,response to abscisic acid,0.807307512259
Ag00001aa100594_T001,Ag,OG0015134,21,2.0854246562526777,Up,"Heat shock protein, mitochondrial",GO:0009408,response to heat,0.725993030941
Ag00001aa052871_T001,Ag,NA,22,2.0765590951316044,Up,23.2 kDa heat shock protein-like,GO:0006457,protein folding,0.67602899037
Ag00001aa121107_T001,Ag,OG0009444,23,2.0721058004804194,Up,Low-temperature-induced 65 kDa protein,GO:0009737,response to abscisic acid,0.807381594606
Ag00001aa116892_T001,Ag,OG0025357,24,2.0538064436957937,Up,rRNA N-glycosylase,NA,NA,NA
Ag00001aa023522_T001,Ag,OG0016454,25,2.0538064436957937,Up,"39 kDa EF-Hand containing protein, putative, expressed",NA,NA,NA
Ag00001aa009144_T001,Ag,NA,26,2.035975743665129,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",GO:0006096,glycolytic process,0.703680961869
Ag00001aa064445_T001,Ag,OG0013692,27,2.034919984349159,Up,Phospholipid-binding protein,NA,NA,NA
Ag00001aa102742_T001,Ag,OG0016578,28,2.032100843167024,Up,Small heat shock protein 26,GO:0009408,response to heat,0.726089967443
Ag00001aa076340_T001,Ag,OG0026292,29,1.973794929652606,Up,NA,NA,NA,NA
Ag00001aa064448_T001,Ag,OG0008398,30,1.9392265777282087,Up,pyruvate decarboxylase,NA,NA,NA
Ag00001aa047463_T001,Ag,OG0008092,31,1.9263790251998787,Up,protein-disulfide reductase,NA,NA,NA
Ag00001aa099855_T001,Ag,OG0041136,32,1.9160944229383583,Up,Preproricin (Fragment),NA,NA,NA
Ag00001aa015316_T001,Ag,OG0005796,33,1.8999489861896717,Up,Peroxidase,NA,NA,NA
Ag00001aa004824_T001,Ag,OG0000654,34,1.899562360154693,Up,Dirigent protein (Fragment),NA,NA,NA
Ag00001aa022279_T001,Ag,OG0000034,35,1.892196710465485,Up,Heat shock protein 70,GO:0006457,protein folding,0.676287961717
Ag00001aa156538_T001,Ag,OG0000110,36,1.8675011509223944,Up,Heat shock protein 83,GO:0006457,protein folding,0.676287770305
Ag00001aa129885_T002,Ag,OG0016166,37,1.8483975995281936,Up,Late embryogenesis abundant,NA,NA,NA
Ag00001aa106444_T001,Ag,OG0016166,38,1.8387501183331385,Up,Late embryogenesis abundant,NA,NA,NA
Ag00001aa004820_T001,Ag,OG0000654,39,1.8213020398895297,Up,Dirigent protein (Fragment),NA,NA,NA
Ag00001aa110604_T001,Ag,OG0001296,40,1.8184415757641648,Up,Thioredoxin domain-containing protein,GO:0009409,response to cold,0.497848551068
Ag00001aa151368_T001,Ag,OG0010082,41,1.8122928448732711,Up,Peroxidase,NA,NA,NA
Ag00001aa012571_T001,Ag,OG0022704,42,1.811881996218668,Up,Aconitate hydratase,NA,NA,NA
Ag00001aa141013_T001,Ag,OG0010191,43,1.8069426645777624,Up,Malic enzyme,GO:0006090,pyruvate metabolic process,0.665183571088
Ag00001aa012894_T001,Ag,OG0006941,44,1.7845039829295666,Up,Zeamatin,GO:0050832,defense response to fungus,0.798757740756
