"motif_id","Name","Class","Family","Type","UniprotID","SpeciesName","BaseID","TaxGroup","Cluster","ClusterDesc"
"MA0082.2","squamosa","MADS box factors","Type II","","Q38742","Antirrhinum majus","MA0082","plants","cluster_23","MIKC"
"MA0097.1","bZIP911","Basic leucine zipper factors (bZIP)","Group S","SELEX","O22677","Antirrhinum majus","MA0097","plants","cluster_14","BZIP_TGA"
"MA0123.1","abi4","AP2/EREBP","ERF/DREB","SELEX","Q8L7W9","Zea mays","MA0123","plants","cluster_24","ERF_DREB_B"
"MA0128.1","EmBP-1","Basic leucine zipper factors (bZIP)","Group G","SELEX","P25032","Triticum aestivum","MA0128","plants","cluster_07","BHLH_CAMTA"
"MA0548.3","AGL15","MADS box factors","Type II","","Q38847","Arabidopsis thaliana","MA0548","plants","cluster_23","MIKC"
"MA0549.2","BZR2","Basic helix-loop-helix factors (bHLH)","BES/BZR","ChIP-chip","Q9LN63","Arabidopsis thaliana","MA0549","plants","cluster_07","BHLH_CAMTA"
"MA0550.3","BZR1","Basic helix-loop-helix factors (bHLH)","BES/BZR","ChIP-chip","Q8S307","Arabidopsis thaliana","MA0550","plants","cluster_07","BHLH_CAMTA"
"MA0553.1","SMZ","AP2/EREBP","AP2","ChIP-chip","Q6PV68","Arabidopsis thaliana","MA0553","plants","cluster_36","SMZ_RAP2-7_TOE2"
"MA0554.2","SOC1","MADS box factors","Type II","","O64645","Arabidopsis thaliana","MA0554","plants","cluster_23","MIKC"
"MA0555.2","SVP","MADS box factors","Type II","","Q9FVC1","Arabidopsis thaliana","MA0555","plants","cluster_23","MIKC"
"MA0556.2","AP3","MADS box factors","Type II","","P35632","Arabidopsis thaliana","MA0556","plants","cluster_23","MIKC"
"MA0557.2","FHY3","GCM domain factors","FRS/FRF","ChIP-seq","Q9LIE5","Arabidopsis thaliana","MA0557","plants","cluster_07","BHLH_CAMTA"
"MA0558.2","FLC","MADS box factors","Type II","","Q5Q9J1","Arabidopsis thaliana","MA0558","plants","cluster_23","MIKC"
"MA0559.1","PI","MADS box factors","MIKC","ChIP-seq","P48007","Arabidopsis thaliana","MA0559","plants","cluster_23","MIKC"
"MA0560.2","PIF3","Basic helix-loop-helix factors (bHLH)","bHLH","ChIP-seq","O80536","Arabidopsis thaliana","MA0560","plants","cluster_07","BHLH_CAMTA"
"MA0561.1","PIF4","Basic helix-loop-helix factors (bHLH)","bHLH","ChIP-seq","Q8W2F3","Arabidopsis thaliana","MA0561","plants","cluster_07","BHLH_CAMTA"
"MA0562.1","PIF5","Basic helix-loop-helix factors (bHLH)","bHLH","ChIP-seq","Q84LH8","Arabidopsis thaliana","MA0562","plants","cluster_07","BHLH_CAMTA"
"MA0563.2","SEP3","MADS box factors","Type II","","O22456","Arabidopsis thaliana","MA0563","plants","cluster_23","MIKC"
"MA0565.3","FUS3","B3","LAV","DAP-seq","Q9LW31","Arabidopsis thaliana","MA0565","plants","cluster_29","ABI"
"MA0566.1","MYC2","Basic helix-loop-helix factors (bHLH)","bHLH","PBM","Q39204","Arabidopsis thaliana","MA0566","plants","cluster_07","BHLH_CAMTA"
"MA0567.1","ERF1B","AP2/EREBP","ERF/DREB","PBM","Q8LDC8","Arabidopsis thaliana","MA0567","plants","cluster_24","ERF_DREB_B"
"MA0570.3","ABF1","Basic leucine zipper factors (bZIP)","Group A","ChIP-seq","Q9M7Q5","Arabidopsis thaliana","MA0570","plants","cluster_07","BHLH_CAMTA"
