Ag_protein,Mg_protein_id,n_peptides,sum_bitscore,median_pident
Ag00001aa000044_T001,Misin18G124900.1.v7.1,2,72.4,88.2
Ag00001aa000067_T001,Misin03G032900.1.v7.1,1,36.6,100
Ag00001aa000089_T001,Misin03G032300.1.v7.1,2,140.2,92.1
Ag00001aa000091_T001,Misin04G158300.1.v7.1,1,42.4,80
Ag00001aa000107_T002,Misin03G031300.1.v7.1,4,161.4,100
Ag00001aa000113_T001,Misin03G030800.1.v7.1,2,74.4,100
Ag00001aa000131_T001,Misin03G029900.1.v7.1,1,34.7,100
Ag00001aa000346_T001,Misin02G365700.1.v7.1,1,33.9,76.5
Ag00001aa000390_T003,Misin04G036700.1.v7.1,6,259.4,100
Ag00001aa000452_T001,Misin05G238200.1.v7.1,2,96.3,97.6
Ag00001aa000491_T002,Misin02G049800.1.v7.1,2,72.8,100
Ag00001aa000513_T001,Misin03G017200.1.v7.1,1,38.9,85.7
Ag00001aa000538_T001,Misin04G026600.1.v7.1,2,70.5,100
Ag00001aa000539_T001,Misin17G022500.1.v7.1,3,122.4,100
Ag00001aa000553_T001,Misin03G014100.1.v7.1,2,71.3,100
Ag00001aa000608_T001,Misin03G011500.1.v7.1,1,43.9,100
Ag00001aa000636_T001,Misin03G002200.1.v7.1,1,35,93.8
Ag00001aa000647_T004,Misin03G006900.1.v7.1,4,209.20000000000002,100
Ag00001aa000654_T001,Misin03G005300.1.v7.1,1,47.8,100
Ag00001aa000662_T001,Misin03G009100.1.v7.1,2,75.5,100
Ag00001aa000695_T001,Misin03G058600.1.v7.1,2,94.69999999999999,100
Ag00001aa000699_T001,Misin03G039300.1.v7.1,1,34.3,82.6
Ag00001aa000745_T001,Misin04G050500.1.v7.1,1,48.9,100
Ag00001aa000786_T001,Misin04G055000.1.v7.1,3,127.5,100
Ag00001aa000788_T001,Misin04G055400.1.v7.1,2,74.69999999999999,100
Ag00001aa000789_T001,Misin03G046100.1.v7.1,2,74.69999999999999,100
Ag00001aa000793_T002,Misin03G046400.1.v7.1,4,168.7,100
Ag00001aa000800_T001,Misin03G047700.1.v7.1,1,43.5,94.4
Ag00001aa000802_T001,Misin03G047800.1.v7.1,4,181.8,96.3
Ag00001aa000814_T002,Misin04G059500.1.v7.1,1,37.4,86.2
Ag00001aa000853_T005,Misin03G052000.1.v7.1,2,89.7,100
Ag00001aa000885_T002,Misin04G060900.1.v7.1,4,170.6,100
Ag00001aa000897_T005,Misin03G055000.1.v7.1,4,149,100
Ag00001aa000977_T001,Misin04G083200.1.v7.1,1,37.4,100
Ag00001aa000981_T001,Misin04G082700.1.v7.1,3,108.5,100
Ag00001aa000982_T001,Misin03G086100.1.v7.1,2,86.19999999999999,96.15
Ag00001aa000991_T001,Misin03G087100.1.v7.1,1,63.5,100
Ag00001aa001040_T001,MisinT118600.1.v7.1,1,50.1,100
Ag00001aa001061_T001,Misin02G018300.1.v7.1,1,39.7,100
Ag00001aa001145_T001,Misin03G069600.1.v7.1,1,38.5,100
Ag00001aa001166_T002,Misin03G067000.1.v7.1,3,105.5,100
Ag00001aa001206_T001,Misin04G310500.1.v7.1,1,37.7,81.8
Ag00001aa001210_T001,Misin04G310800.1.v7.1,3,141,91.7
Ag00001aa001251_T001,Misin03G088100.1.v7.1,2,78.5,100
Ag00001aa001253_T001,Misin03G088300.1.v7.1,2,73.1,100
Ag00001aa001280_T001,Misin04G102100.1.v7.1,1,43.5,100
Ag00001aa001281_T003,Misin07G194600.1.v7.1,1,36.2,100
Ag00001aa001282_T004,Misin03G091000.1.v7.1,3,149.4,100
Ag00001aa001363_T001,Misin03G096300.1.v7.1,1,34.3,100
Ag00001aa001397_T001,Misin03G098200.1.v7.1,3,114.4,100
Ag00001aa001409_T002,Misin03G098600.1.v7.1,2,142.4,97.1
