qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
Ag00001aa000654_T001	543.564152731	42.5487195621	66	39716	0.953016243166	0.274696782707	6.4361945339e-05	t-SNARE coiled-coil homology domain-containing protein	
Ag00001aa000654_T001	362.248912436	7.59292757135	12	2848	0.74889017762	0.0263968849044	1.31823197621e-05	Syntaxin N-terminal domain-containing protein	
Ag00001aa000654_T001	223.680986827	0.608630714723	1	48	0.688310248234	0.0166751788463	4.35725332462e-07	Target SNARE coiled-coil domain	
Ag00001aa000654_T001	32.9471013008	0.607986991758	1	2204	0.608483160029	0.0100081499593	1.50099164137e-09	Receptor-like protein kinase	
Ag00001aa001505_T001	531.021928879	22.6457497845	34	20479	0.905018902472	0.193599802888	0.000111769460789	Aquaporin	
Ag00001aa001505_T001	623.702775616	0.743407904913	1	16	0.843868910601	0.00827886334995	1.38968359602e-07	Water channel protein	
Ag00001aa001505_T001	443.360096547	5.17286994468	8	1533	0.786477283884	0.0360997943816	1.77121265298e-05	Plasma membrane intrinsic protein	
Ag00001aa004029_T001	3779.17780767	2.26754123212	4	60	2.36657018672	0.49980949478	1.57082440597e-06	Alpha-ketoglutarate-dependent dioxygenase alkB-like protein 2	
Ag00001aa004423_T002	584.810122903	58.5757747166	99	61919	0.90435722725	0.151758115262	6.88499831459e-05	Peroxidase	
Ag00001aa004820_T001	1.30132727756e-11	0.631756169305	1	773	0.648724449691	0.110800571393	7.34264886634e-06	Dirigent protein (Fragment)	
Ag00001aa004824_T001	1.30132727756e-11	0.623395978744	1	773	0.665501614568	0.142455520302	9.4403923328e-06	Dirigent protein (Fragment)	
Ag00001aa004825_T001	1.30132727756e-11	0.643537278541	1	773	0.648721690214	0.110795364845	7.34230383332e-06	Dirigent protein (Fragment)	
Ag00001aa005889_T001	938.042016086	2.4817288153	4	41	1.02030117153	0.103932762132	5.80980248182e-08	ATP-dependent 6-phosphofructokinase 2	PFK
Ag00001aa005889_T001	708.14179934	56.07483479	90	36723	0.891122098015	0.0337080599265	5.32589510391e-06	ATP-dependent 6-phosphofructokinase	PFK
Ag00001aa007156_T002	1.42883714841e-09	0.50321266026	1	8100	0.76533701297	0.330823293173	3.3379406031e-05	CSD domain-containing protein	
Ag00001aa007270_T001	2129.55293289	40.6151347711	63	2665	1.51649974382	0.140902667714	7.8385756639e-06	V-type proton ATPase subunit D	
Ag00001aa007270_T001	536.452393928	4.60559564487	7	540	0.823757850917	0.0361827976047	5.30768643547e-07	Vacuolar ATP synthase subunit D	
Ag00001aa007822_T001	203.589673347	3.60699368111	6	30930	1.20118025114	0.999510858932	0.000181328127282	SHSP domain-containing protein	
Ag00001aa008378_T001	521.152106304	27.8095599188	46	36108	0.908277908061	0.207201556461	1.20307528925e-05	glutathione transferase	
Ag00001aa008535_T002	357.064086807	22.2706404343	37	61837	1.02812903279	0.557172671109	9.41189013334e-05	Peroxidase	
Ag00001aa009020_T002	523.339233425	61.0699819989	95	73048	0.800929830488	0.00300780587137	2.99664038928e-10	UDP-glucose 4-epimerase	
Ag00001aa009020_T002	11.919396035	1.10906529181	2	45373	0.594767758414	0.0	0.0	NAD(P)-binding domain-containing protein	
Ag00001aa009144_T001	801.851221623	62.217453263	97	32254	1.00774109753	0.18301797141	5.42018328756e-05	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	
Ag00001aa009579_T001	534.82622881	21.7860388567	34	12161	0.839191122496	0.0665293199548	4.56982222602e-06	Small heat shock protein HSP	
Ag00001aa009579_T001	379.20547658	24.6372416661	40	30930	0.783963132341	0.0797717209772	9.64795706188e-05	SHSP domain-containing protein	
Ag00001aa009716_T001	2404.38771062	7.59403273934	12	156	1.61435445651	0.118111601143	1.11828618726e-05	Small heat shock protein 26	
Ag00001aa009716_T001	289.573680175	13.3167110847	21	33061	0.878986477619	0.326703503174	0.000207443339481	SHSP domain-containing protein	
Ag00001aa009716_T001	70.8139466091	0.645279171306	1	1298	0.669689276969	0.0969126263244	3.18694937047e-07	Small heat-shock protein	
Ag00001aa009888_T001	1349.4811463	47.7888164046	77	8761	1.16769535451	0.0715143561483	1.43615849637e-05	Heat shock 70 kDa protein 8	
Ag00001aa009888_T001	542.408315369	0.648934828988	1	2	0.854523149996	0.0897346904969	2.18942624977e-05	78 kDa glucose-regulated protein-like protein	
Ag00001aa009888_T001	616.669422299	0.737780163654	1	2	0.838277582472	0.00303738215232	5.05771330438e-08	DnaK protein, expressed	
Ag00001aa010183_T001	1410.62586262	62.1482102808	96	10177	1.41292793121	0.488070620062	7.87661108013e-06	3-ketoacyl-CoA synthase	
Ag00001aa010183_T001	65.2511010683	0.70743227084	1	616	0.616540151861	0.000829641399882	7.45946232586e-08	FAE domain-containing protein	
Ag00001aa010523_T001	717.370020561	54.5020692611	87	36108	1.10297506693	0.426464381253	4.68321373102e-05	glutathione transferase	
Ag00001aa012571_T001	728.341952471	59.4646740596	96	38309	0.958267569533	0.145148228781	0.000111364538607	Aconitate hydratase	
Ag00001aa012571_T001	14.2837597413	0.6370836776	1	11322	0.597286927908	0.0029687172457	1.9354046846e-07	GYF domain-containing protein	
Ag00001aa012639_T001	1216.86262927	54.9090996793	83	11086	1.14070885332	0.120660740919	0.000680446347668	SUI1 domain-containing protein	
Ag00001aa012639_T001	124.509050039	4.20309900214	6	6200	0.644236153281	0.00836318973143	2.13536321656e-06	Translation initiation factor	
Ag00001aa012894_T001	3474.7293927	2.53730745619	4	20	2.13847506679	0.298560664932	0.0173078646338	Zeamatin	
Ag00001aa012894_T001	1261.08031317	0.651148442387	1	10	1.13596792635	0.0783694293341	1.76506928649e-07	Alpha-amylase/trypsin inhibitor	
Ag00001aa012894_T001	1276.46111379	0.659090186956	1	2	1.11701082878	0.0309913166875	4.9270773748e-05	Antifungal zeamatin-like protein	
Ag00001aa012894_T001	688.775467521	2.95207874827	5	689	0.90168531219	0.0682539999448	2.5260547722e-05	Thaumatin	
Ag00001aa012894_T001	0	0.655106010829	1	1	0.63337577161	0.0818326181708	0.000224198953892	Stress-induced protein1	
Ag00001aa012894_T001	0	0.574584014546	1	1	0.622031084231	0.0602088049464	0.00602088049464	Thaumatin-like protein TLP8	
Ag00001aa012894_T001	0	0.585964457477	1	1	0.605709109203	0.029639828361	8.60228104935e-09	Thaumatin-like protein isoform 2	
Ag00001aa012894_T001	0	0.629083429352	1	1	0.59	0.0	0.0	Zeamatin-like protein (Fragment)	
Ag00001aa012950_T001	2448.89103882	60.9578796459	96	3420	1.61871536877	0.0927525216865	5.83763149749e-06	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	
Ag00001aa013246_T001	2516.69185575	3.07393200129	5	169	1.8888792306	0.551325322238	3.37569661944e-06	Ribonuclease 1	
Ag00001aa014453_T001	2627.50877436	16.8004066144	26	238	1.66862700535	0.052119703612	2.63475244272e-06	Class I heat shock protein 1	
Ag00001aa014453_T001	536.523556322	39.1133308241	61	30930	0.876571656915	0.135768351226	0.000250411798893	SHSP domain-containing protein	
Ag00001aa014453_T001	159.800980535	0.607044841956	1	84	0.655129817187	0.00228193252977	3.65928885466e-08	Hsp20/alpha crystallin family	
Ag00001aa014453_T001	44.17714061	0.660005187218	1	1298	0.619142258398	0.0216441534733	4.06721712137e-08	Small heat-shock protein	
Ag00001aa014694_T001	1218.04793355	29.3662632968	56	7398	1.26461726156	0.353580658749	1.69501293057e-05	Subtilisin-like protease	
Ag00001aa014694_T001	538.782307386	1.59825133794	3	112	0.812891731178	0.0139222745804	1.34789271588e-07	Subtilisin-like serine endopeptidase family protein	
Ag00001aa014694_T001	53.8250827909	1.02359196829	2	4597	0.614994963368	0.00653756552125	1.02626147282e-06	Inhibitor I9 domain-containing protein	
Ag00001aa015316_T001	580.656415963	53.5968137021	91	57704	0.990916260206	0.318209476884	0.00013355360331	Peroxidase	
Ag00001aa015322_T001	316.520275805	16.8444703303	27	57645	1.12485244294	0.770268729295	9.53046003622e-05	Peroxidase	
Ag00001aa017786_T001	1327.854588	0.620504750134	1	7	1.1396302095	0.0348837209303	1.10383920587e-07	15.7 kDa heat shock protein, peroxisomal-like	
Ag00001aa017786_T001	255.508160286	6.86588757309	11	33061	1.11114358374	0.790443512517	0.000262899605046	SHSP domain-containing protein	
Ag00001aa017895_T001	4472.45849152	61.3017382944	97	1038	2.43259448207	0.101148819543	0.000110555341686	Thiamine thiazole synthase, chloroplastic	THI1
Ag00001aa018374_T001	493.244780302	3.56192741145	6	317	0.890233678012	0.194207104345	0.000300029414324	Anthocyanidin reductase	
Ag00001aa018374_T001	394.405797439	1.83092259628	3	131	0.880664136506	0.250743339676	0.000392375130415	Leucoanthocyanidin reductase	
Ag00001aa018374_T001	522.835768519	53.3508233953	89	63275	0.799134307408	0.0	0.0	NAD-dependent epimerase/dehydratase domain-containing protein	
Ag00001aa018455_T003	1952.81907424	60.3158153448	97	5433	1.37873250658	0.0143488206161	9.80264701157e-08	Beta-amylase	
Ag00001aa018649_T001	2.09161171141e-13	0.536189399994	1	98	0.722027669253	0.249107461621	3.57296990278e-05	Embryonic protein DC-8	
Ag00001aa018678_T003	3157.66566014	47.6090652097	77	1565	1.94258870218	0.168895270542	0.000397236729484	Sucrose transporter	
Ag00001aa018678_T003	10.4453298334	2.55242115033	4	383371	0.60222131652	0.0151758170711	7.69708303153e-08	Major facilitator superfamily (MFS) profile domain-containing protein	
Ag00001aa019017_T001	1349.63561659	47.6969906288	77	8760	1.16953431564	0.074867485377	1.50874915916e-05	Heat shock 70 kDa protein 8	
Ag00001aa019017_T001	541.324970918	0.646357204203	1	2	0.853974637934	0.0895173825369	2.18410891276e-05	78 kDa glucose-regulated protein-like protein	
Ag00001aa019017_T001	614.897265232	0.734204276682	1	2	0.837570645304	0.00304101546918	5.06376334159e-08	DnaK protein, expressed	
Ag00001aa019394_T001	1006.53008713	40.2190135415	60	11973	1.03129918292	0.0729939125664	1.87205110628e-05	Heat shock protein 70	
Ag00001aa019394_T001	595.730808836	1.49139052845	2	47	0.830267941832	0.00372750300194	2.08535103273e-06	Probable mediator of RNA polymerase II transcription subunit 37c	
Ag00001aa019394_T001	423.460260519	0.656056107964	1	18	0.759715711308	0.000625666915255	1.81778935358e-07	Molecular chaperones HSP70/HSC70, HSP70 superfamily	
Ag00001aa019743_T001	654.319139332	3.68122566402	6	183	0.96247590353	0.208950187341	0.000232425341927	Probable leucine-rich repeat receptor-like protein kinase At5g49770	
Ag00001aa019743_T001	130.433155647	54.9575077614	87	1020898	0.827074804348	0.348870651159	4.84876824316e-06	non-specific serine/threonine protein kinase	
Ag00001aa019936_T001	1550.42571358	6.19440379363	10	96	1.21788072552	0.0145479876696	3.31290381903e-07	Quinone-oxidoreductase homolog, chloroplastic	
Ag00001aa019936_T001	480.716713535	49.4415949796	79	63594	0.868198145538	0.16209643622	1.74463606701e-05	Enoyl reductase (ER) domain-containing protein	
Ag00001aa019936_T001	200.843004326	1.2767115801	2	243	0.67712469081	0.0128065720241	2.95319919067e-07	Chloroplast envelope quinone oxidoreductase	
Ag00001aa021281_T001	744.984974596	58.4567069339	94	36109	1.12080606114	0.439266077861	5.2501964847e-05	glutathione transferase	
Ag00001aa021282_T001	527.779995344	31.7954004181	53	40593	0.932371201925	0.247658249862	1.6568020783e-05	glutathione transferase	
Ag00001aa021483_T001	0	0.770321102923	1	1	0.590655364346	0.00123653602836	1.25278159165e-08	Probable histone H2A variant 1	
Ag00001aa021532_T001	2558.30420909	1.42911231067	3	98	2.01010156801	0.748629135442	0.000322129576351	Embryonic protein DC-8	
Ag00001aa022087_T001	1986.94605858	40.7908192096	63	2526	1.43912735869	0.10254382166	3.54890514772e-05	Small ribosomal subunit protein uS10 domain-containing protein	
Ag00001aa022087_T001	1090.52062892	13.642606511	21	938	1.05269625692	0.0499772548201	3.01508359273e-06	40S ribosomal protein S20-2	
Ag00001aa022087_T001	359.40773841	0.622848194313	1	18	0.764482045576	0.0579602024087	2.14674688299e-06	Small subunit ribosomal protein S20e	
Ag00001aa022279_T001	978.53324364	38.2948374501	57	12075	1.01754646401	0.0681751565785	1.66781476783e-05	Heat shock protein 70	
Ag00001aa022279_T001	434.01402903	0.655767334904	1	18	0.764136875236	0.00100237320648	2.91225778228e-07	Molecular chaperones HSP70/HSC70, HSP70 superfamily	
Ag00001aa022279_T001	425.076387433	1.38745537001	2	84	0.761088969524	0.00199696642843	1.11720258889e-06	Probable mediator of RNA polymerase II transcription subunit 37c	
Ag00001aa022335_T001	2494.21980972	2.44470859461	4	4	1.62151249229	0.0628709449879	0.0251483779952	Safener induced1	
Ag00001aa022335_T001	642.36072649	27.1370629282	44	18575	1.17511555623	0.619161958234	0.000771388457747	GST N-terminal domain-containing protein	
Ag00001aa022335_T001	40.5697679693	2.44230374034	4	37550	0.636533242905	0.0571798562176	5.96078909338e-07	Glutathione transferase	
Ag00001aa022335_T001	0	0.626897573629	1	1	0.617618820199	0.0520819231783	0.000770045727117	Glutathione S-transferase lambda1	
Ag00001aa022335_T001	0	0.624329410364	1	1	0.617618820199	0.0520819231783	0.000770045727117	Glutathione S-transferase lambda2	
Ag00001aa022644_T002	806.06696835	63.1074155887	98	32254	1.00933040471	0.182834949542	5.47058528774e-05	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	
Ag00001aa022823_T001	6038.9424143	38.9441288982	63	268	3.16785311835	0.306181342936	2.04379979961e-06	Branched-chain-amino-acid aminotransferase-like protein 1	
Ag00001aa022823_T001	1639.65145889	3.6537655874	6	32	1.27786158994	0.0603792445937	3.37664379523e-07	Branched-chain-amino-acid aminotransferase-like protein 1 isoform X2	
Ag00001aa022823_T001	1127.82529544	1.40493368953	2	3	1.04478944826	0.00690439288072	9.29556724792e-08	Branched-chain amino acid aminotransferase, putative, expressed	
Ag00001aa022823_T001	599.877232869	4.22725571414	7	320	0.853649827778	0.0447149686423	6.248875005e-08	Branched-chain-amino-acid aminotransferase-like protein 2	
Ag00001aa022823_T001	478.002133461	0.595449431157	1	3	0.79466853289	0.0254107077294	2.20439176127e-07	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein isoform 1	
Ag00001aa022823_T001	249.760831917	0.59847377036	1	37	0.689904332767	0.0	0.0	Branched-chain-amino-acid aminotransferase-like protein	
Ag00001aa022823_T001	24.3044484417	4.31427406398	7	198580	0.607885649018	0.0154035241802	9.12724320094e-08	Branched-chain-amino-acid aminotransferase	
Ag00001aa023126_T001	4360.91455989	6.62157072516	11	15	2.33436582396	0.0	0.0	Pathogenesis-related protein 1-21	
Ag00001aa023126_T001	907.831510053	1.84938062913	3	27	0.959118560898	0.0112652738482	0.000768086853288	Pathogenesis-related protein PRMS	
Ag00001aa023126_T001	535.216182406	42.5268161093	71	41064	0.936513734071	0.249853777457	0.000237952786676	SCP domain-containing protein	
Ag00001aa023126_T001	318.250389884	2.43548783995	4	381	0.734165387565	0.0318209460897	6.50917729729e-06	Pathogenesis related protein 1	
Ag00001aa023126_T001	83.3082039287	0.635092298378	1	378	0.624096447286	0.00145880322309	2.90677579956e-10	Pathogenesis-related protein 1	
Ag00001aa023126_T001	0	0.623131657856	1	1	0.595196107294	0.00980162015015	6.24307015933e-05	Pathogenesis-related protein PR1c	
Ag00001aa023522_T001	1112.3542638	1.27674687459	2	10	1.12221862896	0.164673371965	1.81509210844e-06	39 kDa EF-Hand containing protein, putative, expressed	
Ag00001aa023522_T001	1039.529274	1.19315936752	2	5	1.06624531153	0.114011351356	0.000379285349208	SnRK2-interacting calcium sensor,SCS	
Ag00001aa023522_T001	499.137341425	0.572905048055	1	2	0.823168071938	0.0632323283895	6.60657565567e-08	Glycerol-3-phosphate dehydrogenase-2C mitochondrial	
Ag00001aa023522_T001	261.081817896	41.7387552301	69	193785	0.695430108092	0.00188185081397	1.2440583992e-10	EF-hand domain-containing protein	
Ag00001aa023522_T001	82.0051064075	0.571065852804	1	368	0.655658985208	0.0619942307201	1.81426386183e-08	Calcium-binding protein 4	
Ag00001aa023522_T001	105.386570927	1.2031532169	2	989	0.632154628371	0.0	0.0	CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED	
Ag00001aa023590_T001	837.789182637	49.9782900941	79	23141	0.991541087717	0.125329917894	2.79089298003e-05	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-B	
Ag00001aa023590_T001	375.680295417	0.570554503619	1	15	0.751471888579	0.0211315046589	3.64713752506e-06	Complex I subunit NDUFS6	
Ag00001aa023590_T001	16.7045801404	0.595463094963	1	8209	0.596923913451	0.000456757343652	1.18568238825e-10	NADH-ubiquinone oxidoreductase	
Ag00001aa023590_T001	0	0.741294718703	1	1	0.591214200576	0.00229094283007	4.38256653417e-08	NADH-ubiquinone oxidoreductase, putative, expressed	
Ag00001aa023812_T001	186.010382497	3.0959622957	5	30930	1.19408329307	0.999388902469	0.000151088335269	SHSP domain-containing protein	
Ag00001aa023989_T001	589.312847482	55.3331094336	93	57320	0.993604077496	0.316747616803	0.000135079867136	Peroxidase	
Ag00001aa025656_T001	395.680760508	24.8183626694	41	49520	0.957656346198	0.395061702845	6.69743438094e-05	Peptidase A1 domain-containing protein	
Ag00001aa025656_T001	733.41271596	0.653618451086	1	9	0.888208617945	0.00913366749863	0.000134389350125	Nucleoid DNA-binding protein cnd41	
Ag00001aa025656_T001	381.302939441	1.19180016832	2	123	0.754028043619	0.0217108104268	6.91581666656e-06	Protein ASPARTIC PROTEASE IN GUARD CELL 2-like	
Ag00001aa025656_T001	77.6516013614	1.28825097057	2	3463	0.636823796443	0.0297404125236	3.68630571197e-05	Aspartyl protease AED1	
Ag00001aa026466_T001	284.214991593	42.1920586885	71	176993	0.912763549546	0.394476787185	0.000242785035156	Glutathione S-transferase T1	
Ag00001aa026466_T001	47.5701639762	2.72059841688	5	26191	0.618993308817	0.0188022452609	2.66192559686e-06	GST C-terminal domain-containing protein	
Ag00001aa027095_T003	632.669304151	64.5770342405	98	52376	0.929501547861	0.163082314528	9.97504420043e-06	Glutamate dehydrogenase	
