qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
Td00001aa000108_T001	MF	0004190	aspartic-type endopeptidase activity	7.85901337511	0.71175269112	1	100
Td00001aa000108_T001	BP	0006508	proteolysis	4.32382043599	0.60662594987	1	100
Td00001aa000108_T001	CC	0016020	membrane	0.0230957813759	0.326766474176	1	2
Td00001aa000108_T001	BP	0009987	cellular process	0.410473478135	0.397727032407	6	100
Td00001aa000125_T004	MF	0008422	beta-glucosidase activity	10.0983989308	0.766116242231	1	4
Td00001aa000125_T004	BP	0005975	carbohydrate metabolic process	4.15388489959	0.60063330582	1	4
Td00001aa000125_T004	BP	0009987	cellular process	0.410383020736	0.397716781505	4	4
Td00001aa000125_T004	MF	0047701	beta-L-arabinosidase activity	5.45999382125	0.643983462805	5	1
Td00001aa000125_T004	MF	0033907	beta-D-fucosidase activity	4.42284017237	0.610063580454	7	1
Td00001aa000125_T004	MF	0102726	DIMBOA glucoside beta-D-glucosidase activity	3.84206309273	0.589309152816	9	1
Td00001aa000125_T004	MF	0004567	beta-mannosidase activity	2.98403440635	0.555523676615	10	1
Td00001aa000125_T004	MF	0004565	beta-galactosidase activity	2.6981330591	0.543205444823	11	1
Td00001aa000236_T001	BP	1901259	chloroplast rRNA processing	10.815020261	0.78220759655	1	6
Td00001aa000236_T001	CC	0009535	chloroplast thylakoid membrane	4.66079286975	0.618170385371	1	4
Td00001aa000236_T001	MF	0003729	mRNA binding	3.94363915537	0.59304684333	1	9
Td00001aa000236_T001	BP	0006397	mRNA processing	4.10720160866	0.598965689137	6	4
Td00001aa000236_T001	MF	0008270	zinc ion binding	0.131627661975	0.357379324811	6	1
Td00001aa000236_T001	CC	1990904	ribonucleoprotein complex	2.78344616711	0.546946789203	16	4
Td00001aa000236_T001	BP	0009409	response to cold	0.296525934902	0.383767491086	24	1
Td00001aa000441_T001	MF	0008234	cysteine-type peptidase activity	7.93489749049	0.713713155275	1	15
Td00001aa000441_T001	BP	0006508	proteolysis	4.3229305302	0.606594877872	1	15
Td00001aa000441_T001	CC	0005764	lysosome	0.398881489329	0.396404058769	1	1
Td00001aa000441_T001	CC	0005615	extracellular space	0.377413331589	0.393902132073	3	1
Td00001aa000441_T001	BP	0009987	cellular process	0.410388996661	0.397717458749	6	15
Td00001aa000441_T001	MF	0004175	endopeptidase activity	0.308614763399	0.385363110536	7	1
Td00001aa000441_T001	BP	0030163	protein catabolic process	0.362515453975	0.392123840094	8	1
Td00001aa000549_T001	MF	0005200	structural constituent of cytoskeleton	10.0096415788	0.764084015602	1	98
Td00001aa000549_T001	CC	0005874	microtubule	7.77512913836	0.709574497381	1	100
Td00001aa000549_T001	BP	0007017	microtubule-based process	7.16233051367	0.693291946279	1	100
Td00001aa000549_T001	BP	0007010	cytoskeleton organization	6.65615278054	0.679309043295	2	98
Td00001aa000549_T001	MF	0005525	GTP binding	5.98809873335	0.66001299599	2	100
Td00001aa000549_T001	BP	0000278	mitotic cell cycle	0.552540483935	0.412631613184	7	7
Td00001aa000549_T001	CC	0005737	cytoplasm	0.184820843393	0.367122633989	13	12
Td00001aa000549_T001	MF	0016787	hydrolase activity	2.20840067803	0.520477199516	15	98
Td00001aa000549_T001	MF	0046872	metal ion binding	0.694922534008	0.425741643997	21	28
