qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
PvWBCH1.1KG050400.2.v1.1	MF	0004418	hydroxymethylbilane synthase activity	11.8506253607	0.804547185152	1	100
PvWBCH1.1KG050400.2.v1.1	BP	0006783	heme biosynthetic process	7.90032439168	0.712821128052	1	98
PvWBCH1.1KG050400.2.v1.1	CC	0005737	cytoplasm	1.25720826535	0.467505934003	1	82
PvWBCH1.1KG050400.2.v1.1	CC	0043231	intracellular membrane-bounded organelle	0.0849538484262	0.347021216718	5	4
PvWBCH1.1KG050400.2.v1.1	BP	0046501	protoporphyrinogen IX metabolic process	7.03730611414	0.689885418074	8	78
PvWBCH1.1KG050400.2.v1.1	BP	1900865	chloroplast RNA modification	0.605418150046	0.417678117678	13	4
PvWBCH1.1KG050400.2.v1.1	BP	0009987	cellular process	0.410473203751	0.397727001315	14	100
PvWBCH1.1KG060800.1.v1.1	BP	0034605	cellular response to heat	9.18129595328	0.744665487095	1	52
PvWBCH1.1KG060800.1.v1.1	MF	0016887	ATP hydrolysis activity	4.60073200062	0.61614408294	1	55
PvWBCH1.1KG060800.1.v1.1	CC	0005737	cytoplasm	1.53840336051	0.48479502932	1	55
PvWBCH1.1KG060800.1.v1.1	BP	0042026	protein refolding	8.79419137374	0.735290627511	2	53
PvWBCH1.1KG060800.1.v1.1	CC	0043231	intracellular membrane-bounded organelle	0.205160533317	0.370467832033	4	4
PvWBCH1.1KG060800.1.v1.1	MF	0005524	ATP binding	3.05184296547	0.558357500017	7	55
PvWBCH1.1KG063300.1.v1.1	MF	0009678	diphosphate hydrolysis-driven proton transmembrane transporter activity	12.144834947	0.810713874298	1	100
PvWBCH1.1KG063300.1.v1.1	CC	0012505	endomembrane system	4.88099386232	0.625489945041	1	100
PvWBCH1.1KG063300.1.v1.1	BP	1902600	proton transmembrane transport	4.76666464467	0.621710695987	1	100
PvWBCH1.1KG063300.1.v1.1	MF	0004427	inorganic diphosphate phosphatase activity	10.7990456557	0.781854808759	2	100
PvWBCH1.1KG063300.1.v1.1	CC	0016020	membrane	0.921546225059	0.444087933211	2	100
PvWBCH1.1KG065800.2.v1.1	BP	0009809	lignin biosynthetic process	13.7377595689	0.842876304292	1	97
PvWBCH1.1KG065800.2.v1.1	MF	0045551	cinnamyl-alcohol dehydrogenase activity	6.12127045502	0.663942243972	1	39
PvWBCH1.1KG065800.2.v1.1	CC	0005634	nucleus	0.0321479474334	0.33073414031	1	1
PvWBCH1.1KG065800.2.v1.1	MF	0008270	zinc ion binding	4.97857097503	0.628680571963	4	98
PvWBCH1.1KG065800.2.v1.1	BP	0009987	cellular process	0.398989970704	0.396416528019	9	97
PvWBCH1.1KG065800.2.v1.1	BP	0001522	pseudouridine synthesis	0.0759638680794	0.34471936118	10	1
PvWBCH1.1KG065800.2.v1.1	MF	0050268	coniferyl-alcohol dehydrogenase activity	1.24639216668	0.466804089726	11	6
